ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-09||Akron|W (1 OT)|74|70|26|57|.456|6|13|.462|16|25|.640|11|35|12|8|2|20|22||21|57|.368|11|33|.333|17|26|.654|13|33|13|13|4|17|21
2|2|2012-11-13|@|Mississippi|L|72|90|26|62|.419|6|16|.375|14|22|.636|14|37|17|6|3|19|20||33|65|.508|9|27|.333|15|25|.600|10|27|19|9|3|11|18
3|3|2012-11-15|@|Tennessee Tech|L|69|71|17|46|.370|6|16|.375|29|36|.806|11|30|8|7|2|14|17||25|52|.481|6|18|.333|15|21|.714|9|26|9|4|4|13|25
4|4|2012-11-20||Johnson & Wales (NC)|W|96|40|36|73|.493|3|12|.250|21|33|.636|26|58|13|15|1|13|15||14|58|.241|5|23|.217|7|12|.583|9|25|7|6|6|25|20
5|5|2012-11-24||Florida International|L|77|87|31|64|.484|4|16|.250|11|14|.786|10|28|12|11|2|19|22||29|55|.527|8|20|.400|21|26|.808|6|28|14|9|4|18|17
6|6|2012-11-28|@|Boston University|L|44|74|18|53|.340|2|12|.167|6|14|.429|12|28|8|5|0|23|21||25|50|.500|8|21|.381|16|21|.762|8|30|15|9|1|17|18
7|7|2012-12-06||Boston University|L|63|69|29|58|.500|1|7|.143|4|6|.667|8|22|10|10|3|13|13||26|50|.520|9|19|.474|8|9|.889|9|29|16|9|3|18|13
8|8|2012-12-13||Toccoa Falls|W|75|38|29|55|.527|3|14|.214|14|26|.538|17|36|18|15|3|12|16||11|35|.314|6|18|.333|10|12|.833|5|19|7|7|4|24|20
9|9|2012-12-19||Clemson|W|69|46|25|54|.463|9|23|.391|10|13|.769|11|36|16|13|1|14|15||17|53|.321|4|21|.190|8|14|.571|13|30|10|8|1|18|12
10|10|2012-12-22|@|College of Charleston|L|51|60|18|47|.383|2|10|.200|13|19|.684|8|22|5|8|1|11|15||20|48|.417|7|23|.304|13|18|.722|12|32|10|5|4|14|16
11|11|2012-12-30||Greensboro|W|85|65|37|68|.544|5|17|.294|6|16|.375|18|40|18|12|3|14|18||21|57|.368|11|34|.324|12|19|.632|12|28|13|5|2|20|18
12|12|2013-01-05|@|Longwood|W|80|72|29|55|.527|4|6|.667|18|24|.750|10|35|11|7|0|13|16||29|59|.492|6|21|.286|8|15|.533|7|26|20|3|0|10|20
13|13|2013-01-09||Presbyterian|W|61|43|21|54|.389|5|15|.333|14|19|.737|18|36|11|7|0|8|13||14|40|.350|9|21|.429|6|9|.667|6|20|6|1|5|17|20
14|14|2013-01-12|@|Liberty|L|56|64|19|65|.292|2|20|.100|16|21|.762|12|31|4|10|3|10|21||20|42|.476|7|15|.467|17|24|.708|7|31|10|1|5|17|19
15|15|2013-01-16|@|Gardner-Webb|L|65|66|26|53|.491|7|19|.368|6|15|.400|11|31|8|5|1|18|24||23|47|.489|6|12|.500|14|20|.700|7|25|14|6|3|16|21
16|16|2013-01-19||Virginia Military Institute|W|72|49|28|66|.424|4|15|.267|12|21|.571|10|44|16|8|1|14|18||17|56|.304|8|31|.258|7|14|.500|4|30|10|7|5|15|19
17|17|2013-01-23|@|North Carolina-Asheville|L|60|63|25|57|.439|4|17|.235|6|8|.750|10|27|8|11|0|15|20||21|45|.467|4|11|.364|17|24|.708|10|32|12|12|2|20|12
18|18|2013-01-26||Campbell|W|73|59|24|49|.490|3|5|.600|22|31|.710|7|32|10|9|2|12|14||21|56|.375|10|25|.400|7|12|.583|8|28|11|4|4|14|24
19|19|2013-01-30|@|Winthrop|L|48|61|18|46|.391|6|14|.429|6|11|.545|6|24|7|4|2|14|21||18|49|.367|7|19|.368|18|23|.783|14|37|10|5|0|13|21
20|20|2013-02-02||Radford|W|62|52|20|52|.385|4|11|.364|18|31|.581|14|40|9|3|5|7|23||16|56|.286|5|23|.217|15|24|.625|13|32|12|2|7|9|24
