ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-10||Western Michigan|W|63|55|23|57|.404|8|25|.320|9|14|.643|10|35|17|8|13|16|19||17|56|.304|3|14|.214|18|25|.720|9|31|4|8|3|15|14
2|2|2012-11-14||St. Bonaventure|L|68|72|21|52|.404|5|14|.357|21|28|.750|9|35|9|6|3|14|30||22|53|.415|2|14|.143|26|42|.619|11|34|13|10|2|13|24
3|3|2012-11-16||Saint Peter's|L|64|68|21|58|.362|7|22|.318|15|18|.833|8|32|12|5|5|9|13||27|58|.466|7|18|.389|7|11|.636|5|32|9|4|5|12|16
4|4|2012-11-18|@|Wisconsin|L|40|73|16|61|.262|2|15|.133|6|9|.667|8|26|7|9|2|18|17||27|67|.403|6|22|.273|13|14|.929|16|50|18|10|9|15|11
5|5|2012-11-20|@|Arizona State|L|53|64|19|54|.352|6|18|.333|9|11|.818|5|36|11|9|4|23|22||19|54|.352|8|27|.296|18|28|.643|6|33|12|14|11|14|15
6|6|2012-11-23|N|Presbyterian|W|89|55|33|58|.569|11|26|.423|12|17|.706|9|34|15|8|0|7|13||19|51|.373|5|17|.294|12|14|.857|7|22|9|2|2|14|16
7|7|2012-11-24|N|Longwood|W|84|78|31|58|.534|7|18|.389|15|18|.833|10|37|15|5|2|20|16||30|65|.462|9|22|.409|9|16|.563|12|30|14|8|2|16|21
8|8|2012-11-28||Stony Brook|L|53|76|16|46|.348|9|25|.360|12|18|.667|7|20|12|9|3|16|13||29|54|.537|7|19|.368|11|14|.786|11|35|14|10|4|15|14
9|9|2012-12-01||Colgate|W|70|63|26|65|.400|6|22|.273|12|18|.667|13|40|13|6|4|13|14||22|58|.379|8|29|.276|11|15|.733|8|36|12|6|2|15|16
10|10|2012-12-17|@|Vanderbilt|L|55|66|18|60|.300|5|28|.179|14|19|.737|10|31|9|4|5|8|17||23|45|.511|10|20|.500|10|19|.526|3|34|16|4|8|14|16
11|11|2012-12-19|@|Duke|L|47|88|20|55|.364|1|11|.091|6|8|.750|9|33|8|5|1|25|15||34|60|.567|7|21|.333|13|17|.765|4|28|23|11|7|10|11
12|12|2012-12-22|@|Boston University|L|57|70|24|54|.444|6|21|.286|3|5|.600|8|27|6|9|2|19|21||21|42|.500|9|19|.474|19|23|.826|3|23|14|9|0|15|10
13|13|2012-12-28|@|Saint Francis (PA)|W|79|67|29|57|.509|5|14|.357|16|23|.696|7|32|19|7|4|13|19||21|51|.412|10|27|.370|15|21|.714|4|27|15|4|7|18|20
14|14|2012-12-30|@|Binghamton|W|79|77|28|60|.467|11|31|.355|12|21|.571|9|27|14|9|2|10|22||24|49|.490|11|20|.550|18|23|.783|9|32|9|4|1|16|17
15|15|2013-01-02||Bucknell|L|56|72|20|55|.364|8|24|.333|8|18|.444|6|18|13|12|1|9|18||28|45|.622|7|15|.467|9|13|.692|3|32|20|4|5|14|14
16|16|2013-01-06|@|American|W|68|60|23|52|.442|8|15|.533|14|24|.583|10|32|12|8|4|10|19||22|64|.344|5|21|.238|11|14|.786|16|42|11|3|4|14|19
17|17|2013-01-12||Old Westbury|W|103|84|41|65|.631|13|22|.591|8|13|.615|10|39|26|12|6|21|12||31|62|.500|13|26|.500|9|11|.818|2|18|15|13|3|19|14
18|18|2013-01-19||Columbia|L|58|67|24|56|.429|8|19|.421|2|5|.400|12|28|13|4|3|13|19||23|43|.535|6|13|.462|15|18|.833|3|23|16|5|1|9|12
19|19|2013-01-26|@|Columbia|W|66|63|19|49|.388|3|12|.250|25|29|.862|8|34|6|4|3|11|20||22|61|.361|8|26|.308|11|17|.647|8|31|16|6|4|8|22
20|20|2013-02-01|@|Princeton|L|59|76|22|53|.415|4|15|.267|11|14|.786|7|28|8|5|2|14|19||27|51|.529|5|13|.385|17|25|.680|8|32|14|11|3|10|16
21|21|2013-02-02|@|Pennsylvania|W|71|69|28|55|.509|8|23|.348|7|10|.700|6|23|14|7|2|13|7||28|56|.500|12|24|.500|1|3|.333|6|27|24|5|5|16|12
22|22|2013-02-08||Harvard|L|65|67|24|49|.490|5|15|.333|12|16|.750|7|25|10|8|4|13|13||27|49|.551|8|18|.444|5|9|.556|3|21|15|3|2|12|14
23|23|2013-02-10||Dartmouth|W|79|56|29|57|.509|9|20|.450|12|16|.750|4|30|21|15|10|10|21||16|56|.286|4|17|.235|20|26|.769|12|36|8|4|1|18|19
24|24|2013-02-15|@|Yale|W|68|61|23|51|.451|7|17|.412|15|23|.652|7|27|11|4|4|13|23||21|45|.467|7|15|.467|12|26|.462|7|29|16|6|3|16|17
25|25|2013-02-16|@|Brown|W|69|66|23|54|.426|8|20|.400|15|25|.600|6|31|12|5|3|9|14||23|55|.418|8|20|.400|12|15|.800|7|39|15|5|5|16|21
26|26|2013-02-22||Pennsylvania|L|71|79|21|52|.404|10|27|.370|19|26|.731|9|24|11|3|3|10|19||28|51|.549|10|19|.526|13|18|.722|8|31|16|2|2|13|18
27|27|2013-02-23||Princeton|L|53|72|18|57|.316|2|9|.222|15|19|.789|13|24|3|10|0|7|21||22|38|.579|6|15|.400|22|25|.880|6|31|13|5|4|14|14
28|28|2013-03-01||Brown|L|65|84|26|56|.464|8|23|.348|5|7|.714|7|25|12|2|8|10|14||31|58|.534|13|27|.481|9|13|.692|10|34|19|8|7|8|9
29|29|2013-03-02||Yale|L|70|79|26|70|.371|10|26|.385|8|15|.533|19|37|10|4|3|10|21||24|51|.471|6|11|.545|25|31|.806|7|32|15|3|7|9|14
30|30|2013-03-08|@|Dartmouth|L|62|76|21|53|.396|5|15|.333|15|19|.789|8|27|6|5|2|12|20||25|48|.521|4|10|.400|22|26|.846|5|28|14|8|5|10|14
