ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-11||Alabama State|W|84|35|28|59|.475|8|24|.333|20|30|.667|13|46|18|10|4|12|8||12|56|.214|4|20|.200|7|10|.700|8|27|8|8|2|17|20
2|2|2012-11-14||Wisconsin|W|74|56|26|42|.619|6|12|.500|16|20|.800|9|39|9|2|2|20|15||21|59|.356|7|24|.292|7|14|.500|12|21|12|11|1|10|18
3|3|2012-11-18|N|Middle Tennessee|W|66|45|21|45|.467|7|21|.333|17|29|.586|9|27|14|5|3|10|15||16|50|.320|2|10|.200|11|16|.688|10|25|11|3|1|12|24
4|4|2012-11-20||Savannah State|W|58|40|17|48|.354|6|14|.429|18|28|.643|14|34|7|11|9|12|14||16|46|.348|2|4|.500|6|10|.600|10|32|6|5|2|20|21
5|5|2012-11-23||Central Florida|W|79|66|29|68|.426|10|33|.303|11|14|.786|16|36|17|10|2|9|14||22|47|.468|11|20|.550|11|14|.786|5|26|14|5|1|18|14
6|6|2012-11-29||Marquette|W|82|49|28|55|.509|9|24|.375|17|20|.850|13|32|16|5|5|8|9||21|51|.412|3|12|.250|4|9|.444|6|21|12|2|0|14|15
7|7|2012-12-05|@|Florida State|W|72|47|27|55|.491|7|23|.304|11|15|.733|13|33|15|14|2|15|17||16|46|.348|6|19|.316|9|12|.750|10|26|7|5|0|22|15
8|8|2012-12-15|@|Arizona|L|64|65|24|52|.462|10|18|.556|6|8|.750|11|27|13|4|2|14|12||20|44|.455|7|20|.350|18|21|.857|4|21|12|8|3|10|11
9|9|2012-12-19||Southeastern Louisiana|W|82|43|28|57|.491|10|32|.313|16|18|.889|7|36|20|8|5|8|12||16|55|.291|3|21|.143|8|10|.800|7|25|4|2|2|13|12
10|10|2012-12-22|N|Kansas State|L|61|67|23|57|.404|5|19|.263|10|15|.667|9|25|11|4|2|9|20||20|48|.417|7|17|.412|20|29|.690|11|35|16|5|7|10|16
11|11|2012-12-29|N|Air Force|W|78|61|28|52|.538|7|19|.368|15|23|.652|9|32|12|6|6|10|19||19|47|.404|9|20|.450|14|22|.636|5|23|11|6|0|10|22
12|12|2013-01-06|@|Yale|W|79|58|30|50|.600|9|17|.529|10|13|.769|4|27|19|10|2|13|16||21|49|.429|3|14|.214|13|20|.650|7|20|9|8|1|16|15
