ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-10||Youngstown State|L|73|80|23|57|.404|3|11|.273|24|38|.632|9|34|9|3|3|14|24||25|57|.439|6|15|.400|24|36|.667|12|43|12|8|5|12|26
2|2|2012-11-17|@|Boston University|W|72|59|24|46|.522|4|9|.444|20|22|.909|5|36|16|2|10|18|18||22|68|.324|7|20|.350|8|15|.533|13|28|10|8|3|7|19
3|3|2012-11-21|@|Notre Dame|L|48|65|22|67|.328|2|8|.250|2|4|.500|10|36|16|8|0|11|17||28|58|.483|3|13|.231|6|11|.545|6|39|20|9|5|10|8
4|4|2012-11-24||Hofstra|W|80|56|34|55|.618|3|6|.500|9|14|.643|8|38|26|8|8|15|19||19|60|.317|5|12|.417|13|20|.650|13|27|7|10|4|11|13
5|5|2012-11-26||Mount St. Mary's|L|56|65|24|47|.511|0|6|.000|8|17|.471|10|28|12|10|2|25|14||24|49|.490|8|15|.533|9|15|.600|4|20|6|15|1|17|18
6|6|2012-11-28|@|James Madison|W|54|53|21|55|.382|3|10|.300|9|14|.643|12|36|12|10|2|16|11||21|52|.404|4|9|.444|7|11|.636|8|25|12|11|8|15|12
7|7|2012-12-02|N|Manhattan|W|67|55|20|45|.444|3|8|.375|24|29|.828|11|37|11|7|7|21|19||19|56|.339|5|15|.333|12|20|.600|8|24|11|13|3|15|24
8|8|2012-12-04|@|Bradley|L|68|72|24|51|.471|5|13|.385|15|23|.652|12|39|13|9|8|22|15||31|62|.500|1|7|.143|9|17|.529|7|24|15|17|1|13|22
9|9|2012-12-08||Kansas State|L|62|65|22|53|.415|3|8|.375|15|20|.750|10|33|9|6|12|12|18||25|70|.357|6|18|.333|9|16|.563|20|42|11|7|6|10|18
10|10|2012-12-11|@|Rutgers|L|65|68|26|63|.413|4|20|.200|9|12|.750|18|40|15|9|5|23|19||25|58|.431|3|14|.214|15|23|.652|10|24|11|15|10|14|15
11|11|2012-12-22||Virginia Military Institute|W|76|67|27|67|.403|3|14|.214|19|22|.864|17|44|16|2|3|12|14||22|60|.367|9|21|.429|14|18|.778|9|30|12|9|6|10|17
12|12|2012-12-30||Sacred Heart|W|77|38|29|57|.509|3|10|.300|16|23|.696|12|41|18|12|6|13|11||14|59|.237|4|18|.222|6|10|.600|12|34|5|6|1|19|15
13|13|2013-01-04|@|Georgia|L|41|52|14|57|.246|0|12|.000|13|15|.867|9|27|7|12|2|14|18||19|39|.487|4|12|.333|10|17|.588|6|37|10|8|7|23|13
14|14|2013-01-09||St. Bonaventure|W|78|59|28|49|.571|6|12|.500|16|24|.667|8|32|16|5|7|15|16||23|59|.390|3|18|.167|10|11|.909|9|25|6|6|1|13|21
15|15|2013-01-12|@|Xavier|L|56|71|22|57|.386|4|13|.308|8|12|.667|9|23|10|4|4|9|16||28|49|.571|8|10|.800|7|13|.538|7|29|16|3|4|10|12
16|16|2013-01-16||Temple|L|53|55|19|50|.380|3|7|.429|12|19|.632|9|32|10|5|1|11|14||20|49|.408|4|17|.235|11|14|.786|4|25|11|7|4|12|15
17|17|2013-01-19|@|Massachusetts|W|79|76|28|57|.491|3|8|.375|20|31|.645|9|29|21|9|6|14|19||27|61|.443|4|14|.286|18|21|.857|9|29|17|8|7|16|21
18|18|2013-01-23|@|Rhode Island|W|66|65|25|49|.510|4|12|.333|12|24|.500|14|31|12|4|4|13|19||24|48|.500|6|15|.400|11|18|.611|6|23|12|8|4|13|23
19|19|2013-01-26||Charlotte|W|82|54|25|47|.532|5|11|.455|27|34|.794|12|37|17|11|4|15|20||18|57|.316|3|18|.167|15|21|.714|12|22|6|10|2|17|25
20|20|2013-02-02||La Salle|L|71|80|26|53|.491|3|11|.273|16|21|.762|8|30|13|5|7|15|14||26|61|.426|11|25|.440|17|19|.895|11|26|16|9|5|9|18
21|21|2013-02-06|@|Duquesne|W|79|57|32|63|.508|7|16|.438|8|18|.444|14|44|20|12|10|19|15||20|57|.351|9|24|.375|8|13|.615|4|21|12|9|4|18|17
22|22|2013-02-09||Butler|L|56|59|17|61|.279|1|12|.083|21|30|.700|16|39|7|9|6|13|18||21|55|.382|4|13|.308|13|21|.619|12|43|6|8|6|18|23
23|23|2013-02-16|@|Virginia Commonwealth|L|57|84|21|54|.389|1|7|.143|14|25|.560|13|33|8|9|5|25|15||32|60|.533|8|17|.471|12|15|.800|8|30|13|19|5|16|20
24|24|2013-02-20||Fordham|W|68|60|25|56|.446|1|8|.125|17|37|.459|15|34|9|17|5|14|17||20|53|.377|7|19|.368|13|17|.765|10|28|11|10|5|22|24
25|25|2013-02-23|@|Saint Joseph's|L|59|71|21|56|.375|3|10|.300|14|22|.636|11|31|13|7|4|10|15||28|62|.452|8|21|.381|7|9|.778|11|33|16|8|5|14|14
26|26|2013-02-27|@|Richmond|L|64|73|22|41|.537|1|6|.167|19|29|.655|4|30|13|5|2|22|31||21|52|.404|8|21|.381|23|32|.719|8|28|11|13|3|15|22
27|27|2013-03-02||Saint Louis|L|58|66|24|58|.414|2|7|.286|8|15|.533|10|31|12|9|6|14|24||20|48|.417|5|14|.357|21|24|.875|7|31|8|8|5|16|19
28|28|2013-03-06|@|La Salle|L|70|84|32|58|.552|1|8|.125|5|10|.500|11|25|23|7|1|16|16||28|46|.609|12|22|.545|16|18|.889|3|17|19|8|2|11|12
29|29|2013-03-09||Dayton|W (1 OT)|81|80|29|64|.453|3|10|.300|20|42|.476|18|37|6|9|6|13|24||27|47|.574|4|12|.333|22|32|.688|4|30|12|6|4|20|32
30|30|2013-03-14|N|Massachusetts|L|72|77|26|67|.388|0|8|.000|20|24|.833|21|40|13|8|1|16|18||28|62|.452|7|20|.350|14|20|.700|10|27|15|10|8|12|20
