ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-09|@|Duke|L|55|74|19|51|.373|5|14|.357|12|17|.706|9|31|4|7|0|16|21||24|47|.511|11|24|.458|15|23|.652|5|30|17|4|6|15|19
2|2|2012-11-13|@|Brigham Young|L|62|80|23|65|.354|3|22|.136|13|15|.867|11|32|9|13|3|14|14||31|60|.517|8|20|.400|10|12|.833|7|38|21|12|6|16|15
3|3|2012-11-19||Monmouth|W|62|49|21|41|.512|4|12|.333|16|27|.593|4|29|10|8|13|20|19||15|54|.278|4|20|.200|15|23|.652|11|30|8|7|2|18|22
4|4|2012-11-20||Tennessee State|W|59|57|21|48|.438|6|17|.353|11|19|.579|5|21|9|6|7|11|11||23|59|.390|8|27|.296|3|4|.750|12|31|17|3|5|12|18
5|5|2012-11-21||South Alabama|W|75|73|25|50|.500|11|18|.611|14|18|.778|6|22|14|10|5|15|14||28|61|.459|6|21|.286|11|12|.917|15|32|13|10|3|14|17
6|6|2012-11-26||East Carolina|L|53|62|19|50|.380|4|18|.222|11|18|.611|3|23|12|4|6|10|16||20|55|.364|7|24|.292|15|20|.750|15|44|14|6|6|15|17
7|7|2012-11-30||Louisiana Tech|L|68|86|25|72|.347|8|22|.364|10|18|.556|14|34|10|14|3|12|20||32|59|.542|7|20|.350|15|21|.714|9|41|21|5|7|19|16
8|8|2012-12-02|@|Liberty|W|67|66|26|58|.448|5|18|.278|10|13|.769|11|32|13|8|3|9|16||21|48|.438|12|24|.500|12|18|.667|7|30|16|5|2|16|14
9|9|2012-12-08||Southern Poly|W|86|58|33|64|.516|9|23|.391|11|20|.550|11|41|24|9|4|9|17||19|55|.345|12|31|.387|8|13|.615|4|24|11|5|1|15|21
10|10|2012-12-15|@|Troy|L|56|57|19|49|.388|3|13|.231|15|23|.652|11|34|4|5|3|12|14||23|54|.426|5|18|.278|6|10|.600|9|29|14|7|2|9|19
11|11|2012-12-18||Southern Mississippi|L|67|69|21|47|.447|10|24|.417|15|22|.682|9|21|14|8|2|14|17||23|46|.500|6|16|.375|17|23|.739|13|30|13|11|5|14|20
12|12|2012-12-22|@|Rhode Island|L|60|65|21|53|.396|4|17|.235|14|20|.700|5|29|6|9|5|6|19||21|47|.447|8|20|.400|15|21|.714|5|33|7|0|6|12|19
13|13|2012-12-29|@|Georgia Southern|L (1 OT)|64|68|24|55|.436|4|13|.308|12|18|.667|10|35|8|8|6|23|25||21|52|.404|6|20|.300|20|30|.667|9|28|13|6|3|16|19
14|14|2013-01-02||Drexel|L|60|77|23|53|.434|5|14|.357|9|12|.750|10|26|8|4|2|12|16||26|49|.531|10|21|.476|15|20|.750|7|29|13|5|0|7|15
15|15|2013-01-05||James Madison|W|68|52|24|51|.471|10|21|.476|10|18|.556|7|32|14|5|9|11|17||17|55|.309|4|19|.211|14|22|.636|14|37|7|2|5|10|15
16|16|2013-01-07|@|Hofstra|L|50|52|18|50|.360|2|20|.100|12|14|.857|12|29|6|3|5|7|13||21|46|.457|6|18|.333|4|8|.500|7|24|15|5|4|8|14
17|17|2013-01-12||Delaware|L|83|86|27|59|.458|9|20|.450|20|23|.870|5|28|13|3|1|7|22||27|52|.519|6|16|.375|26|37|.703|4|31|12|4|6|8|20
18|18|2013-01-16||William & Mary|W|74|58|22|51|.431|7|22|.318|23|25|.920|14|34|12|7|5|12|16||20|53|.377|4|15|.267|14|16|.875|11|27|14|2|3|13|22
19|19|2013-01-19|@|Old Dominion|W|69|54|23|57|.404|7|20|.350|16|22|.727|9|31|14|6|6|13|18||17|48|.354|7|19|.368|13|23|.565|13|35|13|5|9|16|18
20|20|2013-01-21|@|Towson|W|71|69|26|56|.464|11|22|.500|8|9|.889|8|31|13|4|5|10|15||22|56|.393|9|22|.409|16|22|.727|9|28|10|5|3|6|12
21|21|2013-01-23||North Carolina-Wilmington|W|81|63|28|55|.509|9|22|.409|16|22|.727|8|32|16|13|6|11|15||21|50|.420|8|22|.364|13|20|.650|6|25|11|7|5|17|17
22|22|2013-01-26|@|Drexel|L|57|68|13|47|.277|6|18|.333|25|29|.862|6|23|9|4|4|5|21||20|44|.455|7|21|.333|21|22|.955|4|31|16|2|2|9|19
23|23|2013-01-30|@|Northeastern|W|78|73|28|55|.509|11|26|.423|11|14|.786|10|27|20|8|2|12|15||26|49|.531|11|23|.478|10|14|.714|8|22|19|6|3|16|15
