ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-09||Tulane|W|79|61|32|57|.561|3|14|.214|12|19|.632|15|45|18|3|6|10|17||25|59|.424|3|12|.250|8|16|.500|6|21|6|4|1|4|17
2|2|2012-11-14||Presbyterian|W|52|38|19|57|.333|3|20|.150|11|16|.688|11|30|10|6|3|7|11||15|40|.375|5|15|.333|3|7|.429|1|22|10|3|1|18|20
3|3|2012-11-22|N|Rice|W|54|36|21|54|.389|3|18|.167|9|13|.692|15|50|12|6|3|14|14||11|48|.229|9|30|.300|5|9|.556|4|23|9|5|1|12|13
4|4|2012-11-23|N|California|L|57|68|24|61|.393|2|15|.133|7|10|.700|11|27|8|3|0|10|21||23|52|.442|3|14|.214|19|26|.731|12|38|15|3|3|15|12
5|5|2012-11-25|N|Saint Mary's (CA)|W|65|56|21|55|.382|7|19|.368|16|19|.842|7|24|11|4|1|11|17||17|46|.370|6|20|.300|16|21|.762|10|36|13|5|2|21|16
6|6|2012-11-28|@|Illinois|L|62|75|23|52|.442|8|21|.381|8|13|.615|6|28|12|7|6|17|15||27|57|.474|14|28|.500|7|18|.389|10|33|15|7|7|14|17
7|7|2012-12-04||Georgia|W|62|54|16|48|.333|9|21|.429|21|32|.656|10|32|10|8|6|9|17||18|57|.316|2|17|.118|16|22|.727|15|39|7|7|4|10|22
8|8|2012-12-08||North Carolina-Wilmington|W|73|66|27|51|.529|5|11|.455|14|24|.583|7|30|18|8|3|11|15||22|56|.393|9|20|.450|13|17|.765|11|33|13|4|2|13|19
9|9|2012-12-17||Alabama State|W|75|41|29|59|.492|8|19|.421|9|16|.563|12|48|20|8|9|19|15||15|60|.250|4|19|.211|7|14|.500|9|28|11|6|4|14|17
10|10|2012-12-22||Citadel|W|73|41|31|71|.437|5|18|.278|6|9|.667|18|48|15|11|4|12|13||15|59|.254|3|22|.136|8|12|.667|9|27|12|7|2|15|12
11|11|2012-12-29||Fordham|W|73|48|29|58|.500|5|16|.313|10|19|.526|8|37|20|6|6|8|18||16|57|.281|4|19|.211|12|18|.667|12|35|9|3|5|14|16
12|12|2013-01-02||Chattanooga|W|74|58|27|57|.474|6|18|.333|14|23|.609|13|39|16|4|6|13|15||21|50|.420|5|16|.313|11|19|.579|6|24|15|6|4|10|23
13|13|2013-01-05||Miami (FL)|L|49|62|17|52|.327|5|18|.278|10|15|.667|7|26|13|5|2|12|13||22|53|.415|7|19|.368|11|17|.647|10|38|13|8|5|13|13
14|14|2013-01-09|@|North Carolina State|L|70|83|27|73|.370|4|18|.222|12|16|.750|12|33|8|5|2|7|20||28|55|.509|7|16|.438|20|29|.690|8|38|16|4|8|12|16
15|15|2013-01-12||Virginia Tech|L (1 OT)|65|70|22|61|.361|8|24|.333|13|21|.619|8|30|13|6|6|9|19||24|58|.414|3|16|.188|19|24|.792|8|38|9|4|4|12|16
16|16|2013-01-17|@|Duke|L|57|73|22|58|.379|4|16|.250|9|18|.500|11|39|7|4|5|21|19||26|65|.400|10|21|.476|11|16|.688|14|38|12|10|5|13|18
17|17|2013-01-23|@|North Carolina|L|63|79|27|75|.360|4|15|.267|5|6|.833|16|48|8|8|3|19|23||30|70|.429|6|17|.353|13|22|.591|12|42|19|9|10|14|8
18|18|2013-01-26||Wake Forest|W|82|62|32|59|.542|10|20|.500|8|13|.615|9|34|20|9|7|15|24||20|57|.351|3|12|.250|19|32|.594|14|34|10|6|7|16|18
19|19|2013-01-29|@|Clemson|L|60|63|23|54|.426|4|15|.267|10|17|.588|9|32|11|9|0|17|14||26|57|.456|5|16|.313|6|12|.500|11|33|12|12|3|15|13
20|20|2013-02-03||Virginia|W|66|60|22|46|.478|4|15|.267|18|25|.720|9|32|12|5|5|13|14||22|55|.400|9|22|.409|7|11|.636|11|29|15|4|3|14|22
21|21|2013-02-05||Florida State|L|54|56|19|50|.380|7|17|.412|9|15|.600|5|22|14|11|1|11|15||20|40|.500|5|15|.333|11|17|.647|4|29|18|6|5|16|15
22|22|2013-02-09|@|Virginia Tech|W|64|54|23|59|.390|6|17|.353|12|22|.545|8|46|13|2|6|10|18||19|62|.306|7|20|.350|9|14|.643|5|32|8|1|6|8|17
23|23|2013-02-14||Clemson|L|53|56|19|55|.345|3|13|.231|12|17|.706|11|37|9|3|4|10|14||21|50|.420|5|12|.417|9|17|.529|6|27|10|5|9|7|17
24|24|2013-02-16|@|Wake Forest|W|57|56|22|56|.393|4|11|.364|9|15|.600|8|31|10|5|5|14|18||14|48|.292|5|20|.250|23|25|.920|6|30|6|5|8|17|14
25|25|2013-02-19||North Carolina|L|58|70|23|58|.397|8|21|.381|4|11|.364|10|41|11|5|7|19|13||25|66|.379|6|20|.300|14|17|.824|10|36|19|14|2|7|12
26|26|2013-02-24|@|Virginia|L|54|82|22|50|.440|6|17|.353|4|8|.500|9|24|8|3|1|16|16||32|59|.542|6|19|.316|12|14|.857|9|27|15|5|3|5|8
27|27|2013-02-27||Maryland|W|78|68|26|51|.510|6|19|.316|20|27|.741|7|31|22|7|6|13|17||27|63|.429|4|19|.211|10|14|.714|6|27|14|9|1|14|20
28|28|2013-03-03||North Carolina State|L|57|70|22|64|.344|4|18|.222|9|12|.750|15|35|12|3|5|15|23||24|56|.429|1|11|.091|21|30|.700|8|32|12|12|3|10|13
