ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-10|@|Utah State|L|48|56|19|48|.396|6|22|.273|4|7|.571|6|20|11|10|3|11|11||22|47|.468|6|14|.429|6|10|.600|13|35|15|7|5|17|13
2|2|2012-11-15|@|Portland|L|48|51|19|47|.404|8|22|.364|2|6|.333|8|21|14|9|1|13|14||20|44|.455|3|13|.231|8|11|.727|11|30|12|5|1|14|12
3|3|2012-11-21|@|Utah|L|46|57|15|49|.306|2|16|.125|14|19|.737|5|30|8|8|5|11|17||20|53|.377|4|15|.267|13|17|.765|10|40|13|5|3|12|18
4|4|2012-11-23|N|Wright State|L|45|60|9|30|.300|5|18|.278|22|27|.815|4|25|7|2|4|17|24||23|49|.469|5|14|.357|9|23|.391|9|29|9|7|1|7|26
5|5|2012-11-24|N|Central Michigan|L|52|54|20|41|.488|5|17|.294|7|9|.778|2|22|11|7|6|11|12||18|50|.360|8|21|.381|10|22|.455|18|36|14|9|3|12|14
6|6|2012-11-29||Montana Western|W|70|52|22|51|.431|6|15|.400|20|26|.769|11|34|10|8|7|17|12||19|57|.333|9|25|.360|5|5|1.000|9|24|12|9|3|17|22
7|7|2012-12-08|@|Oregon|L|35|87|12|43|.279|4|16|.250|7|13|.538|3|19|6|1|1|14|12||32|61|.525|9|19|.474|14|17|.824|14|43|19|7|6|7|13
8|8|2012-12-13|@|Cal State Fullerton|L|53|66|17|45|.378|4|14|.286|15|19|.789|7|28|8|7|1|17|17||23|51|.451|6|22|.273|14|15|.933|6|26|12|7|2|10|20
9|9|2012-12-20|@|Portland State|L|49|63|22|47|.468|2|13|.154|3|9|.333|8|22|12|7|5|10|9||25|47|.532|7|13|.538|6|10|.600|9|29|15|6|6|11|11
10|10|2012-12-22|@|Eastern Washington|L|54|57|22|58|.379|3|16|.188|7|13|.538|13|36|13|11|4|12|19||19|50|.380|8|25|.320|11|20|.550|10|34|13|8|8|14|15
11|11|2012-12-29|N|Washington State|L|39|74|16|43|.372|6|19|.316|1|9|.111|1|13|9|4|5|11|22||24|49|.490|7|18|.389|19|27|.704|12|38|11|6|2|12|10
12|12|2013-01-03||North Dakota|L|53|66|20|50|.400|2|18|.111|11|17|.647|3|21|6|7|2|9|20||19|48|.396|7|23|.304|21|29|.724|10|39|8|6|0|15|15
13|13|2013-01-05||Northern Colorado|W|86|63|24|52|.462|15|28|.536|23|27|.852|5|31|16|6|4|10|17||24|49|.490|6|16|.375|9|20|.450|3|26|10|5|1|12|25
14|14|2013-01-12|@|Southern Utah|W|54|53|16|47|.340|6|17|.353|16|27|.593|6|29|9|10|3|10|15||18|56|.321|7|20|.350|10|13|.769|10|33|13|2|5|16|20
15|15|2013-01-14||Weber State|L|54|70|19|48|.396|2|10|.200|14|19|.737|3|17|4|6|2|8|15||24|43|.558|10|20|.500|12|15|.800|5|30|12|1|2|15|16
16|16|2013-01-17||Sacramento State|W|60|59|19|47|.404|7|22|.318|15|19|.789|5|27|8|6|3|10|14||20|48|.417|7|20|.350|12|17|.706|8|31|14|3|1|10|19
17|17|2013-01-19||Northern Arizona|L|55|60|20|49|.408|3|14|.214|12|20|.600|5|25|8|7|0|9|20||19|46|.413|8|18|.444|14|19|.737|8|32|10|5|1|14|20
18|18|2013-01-24|@|Montana|L|51|70|17|44|.386|5|13|.385|12|16|.750|4|17|10|6|2|11|15||24|46|.522|6|20|.300|16|19|.842|7|29|16|4|4|12|13
19|19|2013-01-26|@|Montana State|L (1 OT)|59|61|20|49|.408|7|18|.389|12|21|.571|7|24|14|6|2|10|13||20|44|.455|8|23|.348|13|15|.867|6|28|17|8|2|15|16
20|20|2013-01-31|@|Northern Colorado|L|63|78|23|52|.442|8|21|.381|9|13|.692|9|26|10|5|4|11|13||27|48|.563|15|21|.714|9|13|.692|5|26|19|7|1|11|16
21|21|2013-02-02|@|North Dakota|L|52|69|19|50|.380|3|12|.250|11|14|.786|6|31|8|2|2|14|15||27|57|.474|6|17|.353|9|17|.529|7|31|17|9|6|5|9
22|22|2013-02-07||Southern Utah|L (1 OT)|79|81|21|51|.412|4|14|.286|33|40|.825|4|24|10|10|3|16|25||25|58|.431|6|18|.333|25|28|.893|11|34|14|5|4|22|28
23|23|2013-02-11|@|Weber State|L|40|56|17|44|.386|3|12|.250|3|5|.600|7|20|6|7|2|16|10||23|47|.489|4|15|.267|6|10|.600|12|33|8|8|5|16|8
24|24|2013-02-14||Montana State|W|87|51|30|47|.638|13|21|.619|14|19|.737|3|24|21|11|4|13|15||17|45|.378|5|21|.238|12|18|.667|6|17|7|5|0|17|21
25|25|2013-02-16||Montana|L|54|61|17|47|.362|7|19|.368|13|15|.867|8|26|8|8|5|11|11||20|44|.455|8|21|.381|13|17|.765|6|25|16|5|5|12|12
26|26|2013-02-23||Idaho|L|69|75|22|46|.478|7|17|.412|18|28|.643|5|19|12|4|4|8|18||24|62|.387|10|31|.323|17|18|.944|19|40|14|2|5|11|20
27|27|2013-02-28|@|Northern Arizona|L|58|67|16|43|.372|2|12|.167|24|33|.727|8|37|7|10|3|15|18||26|60|.433|8|18|.444|7|15|.467|10|32|18|4|3|11|21
28|28|2013-03-02|@|Sacramento State|L|52|53|18|46|.391|5|20|.250|11|15|.733|7|30|13|9|5|15|14||21|58|.362|5|23|.217|6|12|.500|14|30|15|6|2|10|12
29|29|2013-03-07||Eastern Washington|L|73|87|25|63|.397|7|21|.333|16|34|.471|12|29|11|8|5|5|21||29|54|.537|14|26|.538|15|22|.682|7|36|18|2|2|11|25
30|30|2013-03-09||Portland State|W|72|71|31|67|.463|6|18|.333|4|9|.444|15|38|17|7|3|12|15||27|53|.509|7|16|.438|10|19|.526|6|26|8|5|3|10|13
