ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-12||California-Santa Barbara|W|100|72|41|66|.621|10|20|.500|8|10|.800|7|33|21|4|4|11|16||26|63|.413|8|22|.364|12|16|.750|10|27|16|7|5|12|14
2|2|2012-11-15|@|Drexel|W (1 OT)|86|84|31|63|.492|6|20|.300|18|26|.692|7|31|16|6|5|13|22||30|65|.462|7|22|.318|17|23|.739|11|35|20|5|2|16|19
3|3|2012-11-18||Delaware State|W|87|48|35|64|.547|9|23|.391|8|14|.571|12|35|24|16|7|15|12||19|56|.339|2|15|.133|8|11|.727|8|23|9|9|5|22|11
4|4|2012-11-20||Fairleigh Dickinson|W|91|58|34|64|.531|6|21|.286|17|21|.810|12|37|20|10|0|7|18||19|45|.422|8|22|.364|12|16|.750|2|20|12|4|2|13|18
5|5|2012-11-23|N|Alabama-Birmingham|W|77|65|27|66|.409|7|22|.318|16|24|.667|10|36|15|15|8|18|21||25|64|.391|6|20|.300|9|15|.600|9|32|15|4|6|27|21
6|6|2012-11-24|N|Northwestern|L (1 OT)|69|72|24|57|.421|11|26|.423|10|20|.500|12|34|14|8|6|20|22||20|59|.339|9|24|.375|23|27|.852|13|37|10|11|1|17|15
7|7|2012-12-01|@|Louisville|L|66|69|25|48|.521|5|19|.263|11|14|.786|9|29|13|5|1|21|20||25|55|.455|5|21|.238|14|25|.560|15|31|13|10|3|15|19
8|8|2012-12-04||Wyoming|L|67|81|25|50|.500|11|25|.440|6|14|.429|9|28|16|5|3|20|23||27|50|.540|5|16|.313|22|24|.917|3|22|12|12|2|11|13
9|9|2012-12-08||Western Michigan|W|85|63|31|61|.508|9|21|.429|14|20|.700|9|34|22|7|10|7|23||19|56|.339|5|22|.227|20|28|.714|12|36|8|2|2|12|20
10|10|2012-12-16||Morgan State|W|87|68|29|57|.509|4|15|.267|25|32|.781|9|31|18|17|1|16|18||22|51|.431|6|16|.375|18|28|.643|10|29|7|9|5|24|25
11|11|2012-12-19|@|Dayton|W|74|73|27|51|.529|6|19|.316|14|20|.700|9|33|20|5|2|21|19||29|61|.475|5|18|.278|10|15|.667|9|27|11|5|0|16|20
12|12|2012-12-22||Austin Peay|W|83|57|34|68|.500|7|23|.304|8|15|.533|13|38|18|12|7|11|12||20|49|.408|12|24|.500|5|9|.556|4|27|17|7|2|24|15
13|13|2012-12-30|@|Indiana State|L|75|77|23|62|.371|12|29|.414|17|23|.739|12|35|16|8|5|11|22||26|60|.433|4|11|.364|21|31|.677|16|45|15|5|2|12|17
14|14|2013-01-02||Creighton|L|72|79|27|64|.422|13|28|.464|5|10|.500|8|29|19|4|2|7|13||28|53|.528|13|25|.520|10|12|.833|3|32|19|4|1|12|16
15|15|2013-01-05||Northern Iowa|L|60|70|27|59|.458|2|18|.111|4|5|.800|9|28|11|8|0|16|17||23|47|.489|7|22|.318|17|21|.810|5|25|13|6|1|15|12
