ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-09||North Dakota|W|85|52|29|66|.439|7|24|.292|20|28|.714|14|41|16|8|5|14|18||19|63|.302|2|18|.111|12|17|.706|10|32|7|11|2|19|25
2|2|2012-11-12||Lamar|W|79|55|29|72|.403|11|26|.423|10|19|.526|19|37|20|11|8|10|17||21|47|.447|5|9|.556|8|13|.615|7|30|13|5|4|26|17
3|3|2012-11-13|N|Alabama-Huntsville|W|87|26|34|61|.557|9|19|.474|10|15|.667|13|54|17|9|2|11|14||9|55|.164|3|33|.091|5|7|.714|6|22|6|6|2|14|12
4|4|2012-11-18||North Florida|W|74|55|25|66|.379|3|15|.200|21|30|.700|27|52|16|10|3|15|16||20|55|.364|6|24|.250|9|15|.600|12|28|10|6|6|20|22
5|5|2012-11-21|N|Delaware|W|66|63|25|65|.385|4|12|.333|12|14|.857|18|38|18|7|1|14|20||24|54|.444|4|11|.364|11|18|.611|10|32|8|5|6|15|16
6|6|2012-11-23|N|Michigan|L|57|71|22|60|.367|4|18|.222|9|15|.600|12|28|13|5|4|6|15||29|56|.518|4|12|.333|9|13|.692|8|40|12|2|5|9|17
7|7|2012-12-02||South Carolina Upstate|W|72|53|27|60|.450|4|12|.333|14|22|.636|18|42|19|9|2|15|20||20|56|.357|1|11|.091|12|23|.522|16|35|11|8|2|16|21
8|8|2012-12-08|@|George Washington|W|65|62|25|70|.357|6|18|.333|9|16|.563|20|42|11|7|6|10|18||22|53|.415|3|8|.375|15|20|.750|10|33|9|6|12|12|18
9|9|2012-12-15|N|Gonzaga|L|52|68|16|48|.333|6|18|.333|14|19|.737|7|23|10|6|5|18|16||24|51|.471|3|12|.250|17|20|.850|8|27|15|6|5|14|17
10|10|2012-12-18||Texas Southern|W|78|69|31|55|.564|2|13|.154|14|22|.636|11|34|21|5|4|15|11||26|57|.456|13|28|.464|4|10|.400|7|23|15|6|2|13|18
11|11|2012-12-22|N|Florida|W|67|61|20|48|.417|7|17|.412|20|29|.690|11|35|16|5|7|10|16||23|57|.404|5|19|.263|10|15|.667|9|25|11|4|2|9|20
12|12|2012-12-29||Missouri-Kansas City|W|52|44|17|53|.321|2|10|.200|16|31|.516|17|38|12|9|4|11|14||16|48|.333|4|12|.333|8|12|.667|12|35|5|4|4|18|24
13|13|2012-12-31||South Dakota|W|70|50|27|54|.500|7|18|.389|9|13|.692|10|37|19|3|5|17|19||16|49|.327|2|11|.182|16|22|.727|7|23|4|13|3|13|10
14|14|2013-01-05||Oklahoma State|W|73|67|27|60|.450|7|21|.333|12|17|.706|10|35|19|5|4|12|24||20|49|.408|3|11|.273|24|29|.828|5|27|6|6|3|11|18
15|15|2013-01-12|@|West Virginia|W|65|64|25|49|.510|6|17|.353|9|14|.643|9|26|12|8|2|14|22||24|47|.511|4|8|.500|12|22|.545|8|25|13|4|2|13|12
16|16|2013-01-16|@|Texas Christian|W|67|54|27|56|.482|9|17|.529|4|10|.400|9|30|17|6|2|8|21||18|48|.375|3|10|.300|15|24|.625|11|28|9|5|2|12|10
17|17|2013-01-19||Oklahoma|W|69|60|22|50|.440|10|24|.417|15|22|.682|5|24|17|7|4|8|15||25|53|.472|3|11|.273|7|15|.467|11|36|16|1|2|16|18
