ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-09||Drexel|W (1 OT)|66|62|20|57|.351|6|22|.273|20|31|.645|14|39|9|4|6|12|20||22|60|.367|7|23|.304|11|16|.688|14|38|12|2|2|16|24
2|2|2012-11-13||Temple|L|66|80|25|67|.373|5|23|.217|11|17|.647|18|39|10|11|1|21|22||27|51|.529|8|22|.364|18|27|.667|5|28|18|16|6|19|13
3|3|2012-11-16||Chicago State|W|92|63|35|61|.574|11|27|.407|11|28|.393|10|31|23|10|3|6|18||21|50|.420|7|21|.333|14|17|.824|8|26|15|1|4|20|23
4|4|2012-11-18||Valparaiso|L (1 OT)|83|88|24|55|.436|5|10|.500|30|40|.750|13|25|6|10|3|18|32||25|43|.581|4|12|.333|34|41|.829|6|22|12|6|6|20|27
5|5|2012-11-20||Bethune-Cookman|W|69|68|22|54|.407|5|20|.250|20|25|.800|12|32|10|8|3|12|15||25|52|.481|13|28|.464|5|11|.455|9|25|14|5|1|19|19
6|6|2012-11-24|@|Nebraska|W|74|60|28|49|.571|5|8|.625|13|18|.722|7|26|7|5|1|8|21||20|51|.392|3|19|.158|17|26|.654|14|31|6|3|3|9|18
7|7|2012-11-28|@|Youngstown State|W (1 OT)|85|78|29|69|.420|8|17|.471|19|26|.731|16|42|10|5|1|10|22||27|64|.422|4|20|.200|20|27|.741|13|36|13|4|5|11|18
8|8|2012-12-01||Princeton|L|50|62|18|53|.340|3|11|.273|11|16|.688|8|27|8|6|1|13|17||22|40|.550|9|19|.474|9|15|.600|2|33|18|6|0|17|21
9|9|2012-12-04|@|Bucknell|L|60|76|20|51|.392|7|15|.467|13|16|.813|8|21|11|5|1|10|14||29|53|.547|7|18|.389|11|14|.786|10|31|17|5|4|12|15
10|10|2012-12-09|@|Xavier|L|55|62|21|65|.323|4|24|.167|9|9|1.000|14|36|7|5|4|14|21||19|48|.396|6|12|.500|18|28|.643|7|31|11|4|5|13|14
11|11|2012-12-20||Saint Francis (PA)|W|77|48|23|48|.479|9|27|.333|22|30|.733|10|27|15|9|3|7|17||16|48|.333|4|15|.267|12|15|.800|11|25|11|2|3|18|18
12|12|2012-12-22||Arkansas State|W|73|69|25|49|.510|7|17|.412|16|22|.727|5|29|12|8|0|19|20||22|52|.423|7|18|.389|18|25|.720|9|28|11|8|0|19|21
13|13|2012-12-30||Fairmont State|W|77|75|25|52|.481|11|27|.407|16|24|.667|12|33|13|2|5|16|13||30|63|.476|7|18|.389|8|12|.667|10|27|17|9|1|12|20
14|14|2013-01-02|@|Cleveland State|W|72|55|23|48|.479|7|16|.438|19|25|.760|8|31|17|7|1|14|18||19|48|.396|5|12|.417|12|25|.480|9|26|9|4|4|17|19
15|15|2013-01-09||Toledo|L|58|70|18|56|.321|3|19|.158|19|27|.704|14|35|8|4|4|14|18||25|57|.439|4|14|.286|16|18|.889|8|31|12|5|5|10|24
16|16|2013-01-12|@|Ball State|W|61|47|19|47|.404|6|17|.353|17|22|.773|8|37|12|7|2|17|20||17|61|.279|5|23|.217|8|24|.333|23|47|12|9|2|18|18
