ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-11||Oakland|W|90|79|34|59|.576|8|20|.400|14|20|.700|8|28|17|12|5|14|21||26|57|.456|6|17|.353|21|26|.808|10|29|9|6|1|20|22
2|2|2012-11-16|@|Texas Southern|L (1 OT)|71|74|27|75|.360|7|23|.304|10|17|.588|13|47|9|3|6|14|25||23|60|.383|7|22|.318|21|32|.656|9|40|7|7|9|11|19
3|3|2012-11-18|@|Boise State|L|57|63|20|54|.370|5|20|.250|12|14|.857|6|27|8|9|2|14|22||21|54|.389|4|20|.200|17|28|.607|14|40|10|8|4|16|18
4|4|2012-11-21||Southern-New Orleans|W|76|66|29|62|.468|3|17|.176|15|23|.652|10|38|13|10|6|17|18||24|65|.369|8|22|.364|10|18|.556|11|36|8|7|4|23|25
5|5|2012-11-23|@|New Mexico State|L|57|79|19|64|.297|9|26|.346|10|13|.769|8|27|12|10|4|17|26||25|53|.472|7|18|.389|22|36|.611|14|49|12|6|9|26|13
6|6|2012-11-25|@|Michigan State|L|60|63|21|52|.404|7|18|.389|11|21|.524|8|28|6|12|5|13|15||20|47|.426|5|16|.313|18|25|.720|10|33|12|9|7|20|17
7|7|2012-11-29||Middle Tennessee|L|58|72|22|54|.407|4|17|.235|10|13|.769|7|31|9|7|1|16|18||25|60|.417|7|20|.350|15|22|.682|10|35|10|8|2|13|19
8|8|2012-12-01|@|North Texas|W|80|76|26|53|.491|9|18|.500|19|26|.731|10|21|14|8|2|19|19||26|57|.456|4|9|.444|20|28|.714|15|28|7|11|5|18|22
9|9|2012-12-08|@|McNeese State|L|72|77|21|56|.375|7|16|.438|23|28|.821|15|40|12|4|4|17|17||29|62|.468|2|8|.250|17|22|.773|8|28|12|10|8|7|21
10|10|2012-12-11||Lamar|W|77|60|27|68|.397|8|24|.333|15|20|.750|12|32|11|14|2|16|14||25|57|.439|1|8|.125|9|13|.692|11|37|5|8|3|25|19
11|11|2012-12-15|@|Houston|L|63|85|24|60|.400|4|21|.190|11|17|.647|7|32|12|5|3|11|12||32|67|.478|14|28|.500|7|11|.636|10|42|23|5|3|9|16
12|12|2012-12-18||Robert Morris|L|61|66|25|55|.455|3|19|.158|8|17|.471|11|34|9|6|3|17|14||24|58|.414|13|27|.481|5|9|.556|11|31|11|10|3|16|17
13|13|2012-12-22||Duquesne|W|91|79|34|61|.557|10|20|.500|13|16|.813|8|31|11|6|5|17|16||27|57|.474|11|23|.478|14|21|.667|6|24|8|7|2|16|15
14|14|2012-12-27|@|Arkansas State|L|70|87|29|66|.439|6|20|.300|6|10|.600|8|27|10|7|2|14|24||26|56|.464|6|18|.333|29|37|.784|12|37|12|10|3|12|10
15|15|2012-12-29||Arkansas-Little Rock|W|79|70|27|55|.491|7|19|.368|18|25|.720|6|28|12|4|6|9|23||21|67|.313|4|20|.200|24|30|.800|19|40|9|4|4|10|20
16|16|2013-01-03|@|Florida Atlantic|L|70|75|27|53|.509|5|15|.333|11|21|.524|7|23|9|8|2|11|16||26|54|.481|5|12|.417|18|21|.857|9|29|12|6|3|12|17
17|17|2013-01-05|@|Florida International|L|70|75|23|60|.383|12|30|.400|12|22|.545|9|30|16|8|5|22|24||25|60|.417|4|19|.211|21|38|.553|18|46|9|12|5|22|22
18|18|2013-01-10||South Alabama|L (2 OT)|89|91|31|67|.463|6|17|.353|21|30|.700|12|41|13|9|8|24|22||30|74|.405|7|18|.389|24|32|.750|16|41|10|11|6|22|26
19|19|2013-01-12||Arkansas State|W|61|56|20|52|.385|6|15|.400|15|29|.517|11|36|12|3|0|15|23||18|52|.346|4|18|.222|16|29|.552|13|39|4|8|1|14|25
20|20|2013-01-17|@|Western Kentucky|L|49|72|17|59|.288|6|20|.300|9|16|.563|9|30|8|5|4|12|17||24|57|.421|4|17|.235|20|26|.769|15|48|12|6|4|12|17
21|21|2013-01-19|@|Middle Tennessee|L|60|82|21|54|.389|5|19|.263|13|24|.542|10|32|7|5|1|15|16||30|65|.462|10|23|.435|12|16|.750|13|41|21|6|1|11|21
22|22|2013-01-24||Florida International|L|75|80|27|58|.466|12|32|.375|9|15|.600|8|33|14|7|4|17|18||28|65|.431|5|21|.238|19|24|.792|11|34|14|7|2|11|16
23|23|2013-01-31||North Texas|W|105|74|38|71|.535|11|22|.500|18|23|.783|11|33|19|10|1|10|17||27|55|.491|3|8|.375|17|26|.654|6|26|9|5|7|18|16
24|24|2013-02-02|@|Troy|L|52|71|20|53|.377|7|18|.389|5|10|.500|9|27|7|3|3|13|13||26|56|.464|9|18|.500|10|12|.833|10|33|15|7|2|9|12
25|25|2013-02-10||Louisiana-Monroe|W|90|66|32|61|.525|10|24|.417|16|19|.842|10|34|16|10|3|8|8||25|54|.463|8|21|.381|8|10|.800|2|19|17|4|0|14|18
26|26|2013-02-14|@|South Alabama|L|64|88|24|57|.421|4|16|.250|12|18|.667|7|24|10|8|1|13|23||29|59|.492|5|15|.333|25|36|.694|16|43|16|2|5|12|17
27|27|2013-02-16||Florida Atlantic|W|58|57|20|57|.351|6|21|.286|12|19|.632|10|34|6|9|8|9|15||21|60|.350|3|13|.231|12|21|.571|14|41|6|6|4|14|16
28|28|2013-02-21||Troy|W|76|66|23|47|.489|7|15|.467|23|28|.821|6|27|10|7|6|13|13||24|57|.421|7|21|.333|11|18|.611|12|30|13|5|2|15|18
29|29|2013-02-23||Western Kentucky|L|77|88|25|59|.424|6|23|.261|21|28|.750|7|25|6|2|5|10|23||28|56|.500|10|20|.500|22|27|.815|11|36|15|2|2|9|21
30|30|2013-02-28|@|Arkansas-Little Rock|L|68|77|21|60|.350|4|20|.200|22|32|.688|9|27|12|6|2|8|21||24|49|.490|6|14|.429|23|29|.793|4|36|15|2|6|18|24
31|31|2013-03-02|@|Louisiana-Monroe|W|71|63|23|54|.426|8|19|.421|17|26|.654|10|33|12|7|7|15|21||21|53|.396|5|22|.227|16|27|.593|10|34|12|6|4|16|21
32|32|2013-03-08|N|North Texas|W|74|55|29|68|.426|7|23|.304|9|11|.818|12|36|14|7|5|6|18||19|51|.373|5|14|.357|12|24|.500|8|34|9|3|4|14|13
33|33|2013-03-09|N|Middle Tennessee|L|66|81|21|51|.412|7|16|.438|17|30|.567|7|23|11|4|0|13|28||23|47|.489|4|10|.400|31|39|.795|6|34|11|2|4|10|25
