ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-09||Binghamton|W|71|45|28|54|.519|5|17|.294|10|14|.714|11|35|13|9|5|10|16||16|45|.356|2|11|.182|11|16|.688|3|19|7|5|0|16|14
2|2|2012-11-11|@|Washington|L|63|85|23|63|.365|4|16|.250|13|24|.542|16|30|6|3|5|12|22||27|50|.540|9|17|.529|22|30|.733|7|34|12|4|8|12|19
3|3|2012-11-14||Maryland-Baltimore County|W|86|70|28|55|.509|7|14|.500|23|31|.742|14|41|14|10|8|17|14||27|67|.403|5|17|.294|11|18|.611|10|24|11|6|3|12|21
4|4|2012-11-17|N|Norfolk State|W|65|49|23|50|.460|6|13|.462|13|17|.765|8|24|12|11|8|10|9||19|53|.358|4|9|.444|7|11|.636|14|30|7|5|6|19|15
5|5|2012-11-18|N|Albany (NY)|W|67|64|22|45|.489|4|14|.286|19|25|.760|7|21|9|7|3|12|21||23|45|.511|5|12|.417|13|21|.619|6|23|9|2|1|15|20
6|6|2012-11-23|@|Rhode Island|W (1 OT)|58|54|23|67|.343|4|20|.200|8|18|.444|17|40|10|7|4|6|16||20|59|.339|4|22|.182|10|20|.500|19|45|6|3|12|10|16
7|7|2012-11-26||Towson|W|65|53|24|69|.348|6|20|.300|11|16|.688|14|34|15|9|8|7|20||17|53|.321|2|12|.167|17|26|.654|14|39|4|4|8|15|18
8|8|2012-11-28|@|Coppin State|W|67|51|20|52|.385|6|19|.316|21|26|.808|10|43|12|7|6|15|13||20|69|.290|3|27|.111|8|12|.667|9|30|9|7|3|9|20
9|9|2012-12-01|@|Florida Gulf Coast|L|50|65|20|60|.333|1|17|.059|9|15|.600|12|36|8|8|4|17|17||23|52|.442|5|14|.357|14|23|.609|8|37|15|13|5|14|15
10|10|2012-12-05||Niagara|L|61|62|21|52|.404|4|15|.267|15|21|.714|9|26|5|8|4|13|19||22|50|.440|5|15|.333|13|24|.542|9|25|11|9|5|11|21
11|11|2012-12-08|N|Saint Peter's|W|61|55|20|43|.465|3|8|.375|18|26|.692|10|33|11|3|8|14|16||19|49|.388|4|15|.267|13|22|.591|8|23|9|7|6|10|23
12|12|2012-12-15||Mount St. Mary's|W|79|57|27|49|.551|3|9|.333|22|31|.710|8|37|18|5|2|14|24||22|65|.338|8|34|.235|5|17|.294|14|30|11|1|0|10|28
13|13|2012-12-28||Bucknell|L|46|66|20|56|.357|1|12|.083|5|11|.455|8|26|8|5|2|10|14||26|53|.491|1|8|.125|13|14|.929|8|31|14|4|3|9|11
14|14|2012-12-30|@|Memphis|L|64|78|25|66|.379|2|12|.167|12|17|.706|20|36|7|10|7|19|26||22|49|.449|5|12|.417|29|41|.707|7|24|18|8|9|15|15
15|15|2013-01-04||Rider|W|71|65|25|54|.463|3|11|.273|18|25|.720|11|37|14|4|1|9|14||24|54|.444|7|17|.412|10|19|.526|7|25|12|3|2|10|22
16|16|2013-01-06||Saint Peter's|W|74|58|25|51|.490|6|12|.500|18|22|.818|7|31|14|5|8|10|18||20|57|.351|1|9|.111|17|28|.607|16|32|9|5|1|11|18
17|17|2013-01-11||Fairfield|W (1 OT)|63|58|19|50|.380|0|8|.000|25|34|.735|13|34|9|5|4|14|17||23|60|.383|4|17|.235|8|17|.471|17|31|13|9|4|13|25
18|18|2013-01-13|@|Rider|L|57|64|19|57|.333|3|19|.158|16|22|.727|12|34|8|6|5|13|22||21|50|.420|2|12|.167|20|26|.769|10|35|7|5|4|14|20
19|19|2013-01-17||Marist|W|72|58|29|48|.604|5|7|.714|9|13|.692|6|24|19|6|5|8|14||25|54|.463|3|9|.333|5|10|.500|11|23|10|5|5|11|18
20|20|2013-01-21|@|Fairfield|W|65|60|19|38|.500|3|6|.500|24|31|.774|7|27|4|7|3|13|22||19|45|.422|4|10|.400|18|27|.667|11|27|9|7|2|14|20
