ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-09||Philander Smith|W|89|61|32|66|.485|9|26|.346|16|21|.762|15|41|23|7|0|10|21||17|52|.327|5|23|.217|22|26|.846|8|28|11|6|0|13|20
2|2|2012-11-17||San Diego State|L|44|60|16|57|.281|4|23|.174|8|16|.500|11|32|8|4|2|15|25||19|59|.322|4|22|.182|18|26|.692|19|43|8|9|9|16|15
3|3|2012-11-19||Jacksonville|L|58|64|19|55|.345|6|21|.286|14|24|.583|12|31|10|5|2|12|15||24|49|.490|5|13|.385|11|14|.786|2|29|11|5|0|15|20
4|4|2012-11-21||Malone|W|82|49|32|66|.485|10|21|.476|8|16|.500|11|39|19|6|0|6|14||17|50|.340|3|18|.167|12|23|.522|9|35|10|2|4|16|13
5|5|2012-11-24|N|South Carolina|L (1 OT)|67|74|23|59|.390|5|19|.263|16|28|.571|11|26|7|10|0|12|24||22|39|.564|8|18|.444|22|28|.786|3|32|13|2|5|24|24
6|6|2012-11-25|N|Southern Methodist|L|61|62|22|52|.423|10|26|.385|7|10|.700|9|26|14|6|0|14|28||19|37|.514|1|6|.167|23|37|.622|4|26|11|9|3|16|13
7|7|2012-12-01||Oral Roberts|L|52|72|20|66|.303|2|26|.077|10|16|.625|12|33|3|6|1|8|15||30|58|.517|5|11|.455|7|13|.538|6|42|14|3|5|12|16
8|8|2012-12-05|@|Tulsa|L|42|61|15|51|.294|1|19|.053|11|21|.524|11|29|6|4|2|15|21||20|41|.488|3|11|.273|18|27|.667|4|30|10|9|3|12|19
9|9|2012-12-08|@|Oklahoma State|L|42|62|18|54|.333|3|18|.167|3|7|.429|6|22|7|3|1|14|21||21|49|.429|4|23|.174|16|23|.696|14|45|8|6|3|17|13
10|10|2012-12-15||Valparaiso|L|54|62|22|50|.440|4|6|.667|6|12|.500|4|18|13|6|0|11|28||15|37|.405|7|21|.333|25|36|.694|9|32|13|6|4|16|16
11|11|2012-12-18|@|Alabama A&M|L|47|59|18|47|.383|3|10|.300|8|12|.667|2|21|8|4|0|3|13||23|57|.404|5|16|.313|8|10|.800|13|39|15|2|4|8|13
12|12|2012-12-22|@|New Mexico State|L|51|71|19|57|.333|2|14|.143|11|18|.611|10|30|4|3|1|12|16||26|48|.542|4|13|.308|15|22|.682|5|37|17|5|2|16|13
13|13|2012-12-30||Southern Illinois|W|70|59|20|37|.541|10|17|.588|20|23|.870|5|26|14|3|0|8|12||22|48|.458|8|19|.421|7|9|.778|7|20|11|3|2|7|21
14|14|2013-01-02|@|Evansville|L (1 OT)|59|62|23|57|.404|5|16|.313|8|14|.571|11|33|11|6|6|13|17||22|61|.361|2|15|.133|16|20|.800|14|39|13|4|9|11|15
15|15|2013-01-05|@|Drake|W|77|65|25|49|.510|8|18|.444|19|28|.679|9|33|11|3|1|6|16||23|55|.418|6|21|.286|13|16|.813|9|28|9|1|2|10|24
16|16|2013-01-08||Illinois State|W|62|55|22|47|.468|7|16|.438|11|18|.611|4|31|13|5|1|11|14||22|55|.400|4|17|.235|7|12|.583|8|33|11|4|4|13|18
17|17|2013-01-11||Creighton|L|52|74|22|58|.379|5|23|.217|3|4|.750|10|20|10|5|1|8|15||27|47|.574|9|17|.529|11|13|.846|7|33|14|4|1|12|10
18|18|2013-01-16|@|Indiana State|L|60|68|24|49|.490|5|13|.385|7|13|.538|6|24|10|3|0|10|21||24|42|.571|4|11|.364|16|26|.615|3|24|15|4|3|9|14
19|19|2013-01-19|@|Bradley|L|66|69|20|45|.444|8|18|.444|18|21|.857|8|32|11|6|2|15|16||25|54|.463|8|20|.400|11|13|.846|6|23|12|9|2|9|17
20|20|2013-01-23||Wichita State|L|52|62|19|58|.328|5|21|.238|9|10|.900|11|27|8|3|4|9|17||20|54|.370|5|21|.238|17|22|.773|13|38|9|4|4|9|14
21|21|2013-01-27||Drake|W|78|72|27|48|.563|6|11|.545|18|27|.667|6|31|11|4|4|9|16||27|59|.458|11|28|.393|7|14|.500|9|29|14|2|0|9|21
22|22|2013-01-30|@|Creighton|L|77|91|29|53|.547|11|20|.550|8|11|.727|3|21|14|5|0|9|23||30|54|.556|15|28|.536|16|23|.696|10|33|24|4|3|10|16
23|23|2013-02-02||Evansville|W|62|61|19|46|.413|5|15|.333|19|26|.731|5|29|7|2|7|10|15||23|57|.404|5|15|.333|10|14|.714|6|28|15|4|4|8|19
24|24|2013-02-05|@|Northern Iowa|L|37|48|15|55|.273|3|21|.143|4|4|1.000|9|32|6|5|0|6|14||16|40|.400|5|19|.263|11|14|.786|3|30|10|4|2|8|9
25|25|2013-02-09|@|Wichita State|L|50|79|16|51|.314|6|19|.316|12|14|.857|5|17|8|1|0|10|19||29|59|.492|9|20|.450|12|20|.600|15|44|19|8|4|8|16
26|26|2013-02-12||Indiana State|W|67|65|21|52|.404|5|13|.385|20|28|.714|8|32|11|5|2|7|12||22|57|.386|8|20|.400|13|14|.929|8|32|11|2|7|11|24
27|27|2013-02-16|@|Southern Illinois|L|54|62|20|46|.435|3|16|.188|11|14|.786|9|24|8|3|1|10|17||22|43|.512|2|12|.167|16|20|.800|6|23|10|5|1|8|12
28|28|2013-02-19||Northern Iowa|L|63|69|21|47|.447|5|15|.333|16|17|.941|6|25|11|4|0|8|16||22|48|.458|6|22|.273|19|23|.826|8|26|11|6|1|5|15
29|29|2013-02-23|@|Eastern Michigan|W|57|54|18|44|.409|5|21|.238|16|30|.533|12|26|11|10|0|9|15||20|44|.455|8|16|.500|6|11|.545|10|31|14|5|4|16|25
30|30|2013-02-27|@|Illinois State|L|50|86|21|56|.375|3|22|.136|5|12|.417|10|30|12|4|2|13|18||29|49|.592|10|20|.500|18|24|.750|5|32|21|10|5|11|15
31|31|2013-03-02||Bradley|W|64|56|23|57|.404|8|25|.320|10|18|.556|7|26|13|5|4|3|15||22|50|.440|4|17|.235|8|13|.615|6|35|9|2|2|15|18
32|32|2013-03-07|N|Southern Illinois|W|61|53|21|43|.488|3|15|.200|16|22|.727|8|23|7|7|1|10|14||22|43|.512|3|9|.333|6|10|.600|7|19|9|6|3|16|22
33|33|2013-03-08|N|Wichita State|L|59|69|16|43|.372|4|18|.222|23|29|.793|4|21|5|3|1|9|20||26|57|.456|4|16|.250|13|21|.619|18|39|16|2|2|11|21
