ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-11|@|Oregon State|L|62|71|21|58|.362|1|11|.091|19|32|.594|14|37|5|5|3|14|17||25|59|.424|4|12|.333|17|21|.810|5|29|14|10|7|10|23
2|2|2012-11-15||Southeastern Louisiana|W|81|56|28|54|.519|4|8|.500|21|26|.808|13|37|15|4|5|12|13||23|63|.365|5|21|.238|5|11|.455|14|28|7|1|3|11|20
3|3|2012-11-17|N|Bucknell|L|49|62|14|48|.292|6|17|.353|15|26|.577|7|23|10|9|4|10|17||24|49|.490|3|9|.333|11|14|.786|3|30|14|6|5|9|19
4|4|2012-11-18|@|Niagara|L|83|86|28|53|.528|6|15|.400|21|27|.778|11|34|18|2|5|23|21||28|56|.500|7|21|.333|23|28|.821|7|24|14|8|4|15|23
5|5|2012-11-21||Northern New Mexico|W|67|37|28|61|.459|3|17|.176|8|14|.571|19|51|13|7|3|15|11||13|52|.250|3|21|.143|8|8|1.000|5|23|5|8|0|17|19
6|6|2012-11-23||Louisiana-Lafayette|W|79|57|25|53|.472|7|18|.389|22|36|.611|14|49|12|6|9|26|13||19|64|.297|9|26|.346|10|13|.769|8|27|12|10|4|17|26
7|7|2012-11-28|@|Texas-El Paso|L|54|55|19|43|.442|3|11|.273|13|17|.765|8|28|10|9|2|20|18||19|41|.463|1|8|.125|16|21|.762|5|20|13|6|1|13|17
8|8|2012-12-01||Southern Mississippi|W|68|60|22|39|.564|1|5|.200|23|32|.719|10|32|11|3|6|19|13||20|57|.351|5|18|.278|15|17|.882|10|22|5|9|1|11|26
9|9|2012-12-04|@|South Alabama|W|58|52|24|50|.480|1|8|.125|9|18|.500|6|34|8|6|2|17|15||19|60|.317|5|17|.294|9|17|.529|12|32|7|13|5|14|18
10|10|2012-12-15|@|New Mexico|L|58|73|19|58|.328|4|16|.250|16|19|.842|10|31|12|4|4|8|23||20|47|.426|7|13|.538|26|35|.743|6|34|15|4|11|6|17
11|11|2012-12-19||New Mexico|L|63|68|21|55|.382|10|17|.588|11|20|.550|16|35|13|2|4|13|21||23|55|.418|6|20|.300|16|22|.727|10|31|9|5|6|9|17
12|12|2012-12-22||Missouri State|W|71|51|26|48|.542|4|13|.308|15|22|.682|5|37|17|5|2|16|13||19|57|.333|2|14|.143|11|18|.611|10|30|4|3|1|12|16
13|13|2012-12-29|@|Texas-Arlington|L|47|68|17|51|.333|2|18|.111|11|23|.478|14|35|9|6|8|14|12||27|61|.443|6|19|.316|8|15|.533|15|41|12|8|5|9|21
14|14|2012-12-31|@|Louisiana Tech|L|72|81|24|54|.444|1|12|.083|23|37|.622|7|33|9|5|4|14|17||28|63|.444|11|22|.500|14|17|.824|8|26|13|6|6|6|26
15|15|2013-01-03||Texas-San Antonio|W|82|62|35|51|.686|1|6|.167|11|19|.579|6|35|21|8|11|16|20||20|48|.417|6|17|.353|16|24|.667|2|17|6|3|0|12|16
16|16|2013-01-05||Texas State|W|78|67|29|54|.537|5|16|.313|15|17|.882|7|35|17|4|5|14|13||24|56|.429|8|21|.381|11|15|.733|6|25|13|3|2|10|21
17|17|2013-01-10|@|Seattle|W (2 OT)|83|82|30|74|.405|3|10|.300|20|31|.645|19|43|12|15|6|18|14||32|80|.400|7|25|.280|11|17|.647|23|48|15|9|6|25|25
18|18|2013-01-12|@|Idaho|W|71|70|25|52|.481|4|11|.364|17|25|.680|5|23|8|5|5|4|13||25|48|.521|6|14|.429|14|15|.933|4|27|8|2|2|11|18
19|19|2013-01-17||Utah State|W|64|51|26|45|.578|2|8|.250|10|16|.625|11|33|11|7|7|14|10||22|56|.393|6|14|.429|1|4|.250|10|20|9|4|0|14|15
20|20|2013-01-19||San Jose State|W|70|53|24|56|.429|4|11|.364|18|27|.667|20|42|11|6|7|14|16||19|50|.380|6|15|.400|9|16|.563|7|20|10|8|2|12|23
21|21|2013-01-23||Denver|W|53|42|19|52|.365|3|11|.273|12|18|.667|17|40|7|6|3|13|8||18|44|.409|3|18|.167|3|4|.750|4|24|6|4|7|14|18
22|22|2013-01-31|@|Texas State|W|86|72|30|54|.556|6|11|.545|20|28|.714|10|40|15|4|2|13|19||24|66|.364|7|20|.350|17|24|.708|12|26|14|9|1|10|24
23|23|2013-02-02|@|Texas-San Antonio|W|75|62|27|55|.491|5|14|.357|16|23|.696|13|37|18|2|12|10|13||22|66|.333|9|26|.346|9|14|.643|18|37|10|8|2|10|21
24|24|2013-02-07||Idaho|W|76|74|30|56|.536|8|18|.444|8|12|.667|9|32|17|2|4|15|14||25|54|.463|7|12|.583|17|21|.810|8|27|10|4|1|11|14
25|25|2013-02-09||Seattle|W|60|57|16|47|.340|4|14|.286|24|36|.667|8|30|6|5|8|9|13||23|59|.390|3|8|.375|8|13|.615|13|42|10|3|3|15|24
26|26|2013-02-14|@|San Jose State|W|67|57|24|56|.429|4|14|.286|15|24|.625|15|42|10|5|10|15|13||20|55|.364|3|11|.273|14|19|.737|9|24|9|6|2|13|18
27|27|2013-02-16|@|Utah State|L|69|73|26|64|.406|4|15|.267|13|19|.684|13|29|12|5|4|6|16||28|59|.475|5|16|.313|12|16|.750|13|37|18|3|5|10|16
28|28|2013-02-23||Texas-El Paso|W|55|51|18|47|.383|6|14|.429|13|22|.591|11|35|10|5|6|14|10||21|50|.420|5|14|.357|4|6|.667|3|23|7|3|2|14|19
29|29|2013-03-02|@|Denver|L|60|66|20|41|.488|3|6|.500|17|21|.810|6|28|12|4|7|18|20||20|46|.435|8|14|.571|18|28|.643|8|18|17|11|6|8|18
30|30|2013-03-07||Louisiana Tech|W|78|60|29|53|.547|4|11|.364|16|24|.667|15|39|12|7|8|17|8||24|60|.400|6|15|.400|6|9|.667|11|25|6|7|3|17|19
31|31|2013-03-09||Texas-Arlington|W|69|66|20|44|.455|4|13|.308|25|35|.714|8|35|10|5|6|20|20||22|58|.379|9|21|.429|13|21|.619|11|32|13|7|2|17|31
32|32|2013-03-14|N|Idaho|W|65|49|27|45|.600|4|9|.444|7|16|.438|6|25|5|5|2|11|14||18|45|.400|3|19|.158|10|13|.769|9|23|9|5|1|16|17
33|33|2013-03-15|N|Texas State|W|74|65|24|49|.490|4|11|.364|22|37|.595|5|34|10|7|5|7|19||19|55|.345|5|17|.294|22|29|.759|8|31|7|3|0|9|25
34|34|2013-03-16|N|Texas-Arlington|W|64|55|20|47|.426|4|13|.308|20|33|.606|12|41|5|9|7|15|15||22|56|.393|3|13|.231|8|11|.727|5|25|10|6|1|10|25
35|35|2013-03-21|N|Saint Louis|L|44|64|17|61|.279|2|16|.125|8|13|.615|21|41|10|9|7|16|12||25|54|.463|4|11|.364|10|14|.714|8|30|17|10|3|9|15
