ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-09|@|Nebraska-Omaha|L|64|77|21|50|.420|5|16|.313|17|30|.567|11|34|10|9|0|23|23||24|51|.471|6|17|.353|23|31|.742|7|28|10|11|0|18|27
2|2|2012-11-13|@|Valparaiso|L|46|69|19|65|.292|4|18|.222|4|7|.571|13|32|7|10|5|13|12||25|48|.521|13|24|.542|6|9|.667|3|31|16|8|7|16|9
3|3|2012-11-18||Judson|W|72|54|30|61|.492|3|15|.200|9|15|.600|14|34|15|11|3|7|9||18|41|.439|12|31|.387|6|8|.750|1|16|12|4|1|15|16
4|4|2012-11-24||Loyola (IL)|L|46|53|17|57|.298|3|14|.214|9|11|.818|10|26|6|9|1|7|21||14|35|.400|6|15|.400|19|26|.731|5|31|5|4|4|16|14
5|5|2012-11-27||Illinois-Chicago|L|46|58|16|49|.327|4|16|.250|10|18|.556|9|29|9|6|1|15|20||19|48|.396|6|19|.316|14|20|.700|8|28|11|9|1|11|17
6|6|2012-12-01|@|Dayton|L|43|60|15|41|.366|3|10|.300|10|17|.588|8|25|4|8|3|24|23||22|50|.440|7|21|.333|9|20|.450|13|31|13|7|0|17|17
7|7|2012-12-05||Southern Illinois-Edwardsville|W|65|54|26|50|.520|5|15|.333|8|11|.727|6|31|13|6|1|17|18||17|43|.395|9|20|.450|11|20|.550|5|25|10|7|1|18|16
8|8|2012-12-07|@|Milwaukee|L (1 OT)|73|80|29|73|.397|5|18|.278|10|16|.625|19|36|6|12|2|12|32||21|53|.396|9|31|.290|29|40|.725|11|33|17|4|10|15|14
9|9|2012-12-16|@|DePaul|L|64|69|26|65|.400|5|15|.333|7|8|.875|14|33|13|13|3|22|23||22|47|.468|4|14|.286|21|25|.840|4|23|15|7|8|20|13
10|10|2012-12-19|@|Seattle|L|48|75|16|55|.291|5|21|.238|11|19|.579|9|22|9|7|3|11|15||26|54|.481|10|25|.400|13|17|.765|11|38|17|8|7|13|13
11|11|2012-12-22|@|Washington|L|57|67|22|56|.393|5|12|.417|8|11|.727|8|23|11|5|1|13|20||18|57|.316|9|25|.360|22|24|.917|21|41|14|4|4|13|15
12|12|2012-12-29||Massachusetts|L|59|64|20|63|.317|5|18|.278|14|16|.875|16|38|8|8|1|18|22||21|45|.467|5|17|.294|17|24|.708|3|30|16|7|5|19|18
13|13|2013-01-09|@|Miami (OH)|W|72|61|21|43|.488|9|13|.692|21|26|.808|4|27|13|7|2|15|21||21|44|.477|6|21|.286|13|22|.591|4|20|9|7|2|18|21
14|14|2013-01-12||Akron|L|53|68|16|49|.327|1|14|.071|20|29|.690|10|29|4|9|1|13|24||22|46|.478|5|16|.313|19|30|.633|8|33|10|5|6|13|22
15|15|2013-01-16|@|Ohio|L|63|81|20|57|.351|2|11|.182|21|32|.656|15|36|5|10|0|20|20||27|53|.509|11|25|.440|16|22|.727|6|27|25|12|4|15|22
16|16|2013-01-19||Western Michigan|L|34|71|11|55|.200|4|22|.182|8|16|.500|14|24|6|5|1|11|22||19|35|.543|7|14|.500|26|31|.839|8|37|11|7|5|18|15
17|17|2013-01-23|@|Central Michigan|W|74|61|21|43|.488|10|19|.526|22|31|.710|6|30|12|8|4|17|23||16|49|.327|9|26|.346|20|28|.714|10|25|11|8|2|15|22
18|18|2013-01-26|@|Eastern Michigan|L|25|42|8|61|.131|1|33|.030|8|15|.533|18|35|6|9|1|7|19||13|35|.371|4|14|.286|12|16|.750|7|41|10|4|8|15|17
19|19|2013-01-30||Kent State|W|67|65|22|47|.468|7|13|.538|16|23|.696|9|27|14|5|3|15|19||20|51|.392|6|24|.250|19|27|.704|9|22|8|7|2|12|21
20|20|2013-02-02||Toledo|L|64|69|20|52|.385|7|17|.412|17|26|.654|7|28|6|6|1|13|25||19|42|.452|4|15|.267|27|35|.771|5|29|5|6|5|16|22
21|21|2013-02-06||Bowling Green State|L|41|57|14|51|.275|2|13|.154|11|18|.611|12|33|4|6|0|14|11||22|51|.431|5|14|.357|8|11|.727|7|33|10|10|5|12|15
22|22|2013-02-09|@|Buffalo|L|54|59|20|45|.444|3|16|.188|11|14|.786|5|28|10|3|3|13|22||19|50|.380|5|17|.294|16|25|.640|9|31|12|4|2|11|12
23|23|2013-02-13||Ball State|L|52|56|17|49|.347|6|20|.300|12|20|.600|11|34|8|4|1|11|24||16|44|.364|4|22|.182|20|26|.769|7|30|6|5|1|10|17
24|24|2013-02-16|@|Western Michigan|L|58|66|17|44|.386|6|11|.545|18|24|.750|7|27|9|7|3|14|26||19|49|.388|5|20|.250|23|29|.793|10|30|13|7|4|9|14
25|25|2013-02-23||Eastern Illinois|L|47|59|19|52|.365|4|20|.200|5|11|.455|5|24|4|4|1|7|19||19|42|.452|5|17|.294|16|25|.640|7|34|6|2|0|6|12
26|26|2013-02-27||Eastern Michigan|L|41|53|10|42|.238|5|17|.294|16|23|.696|9|27|7|5|2|17|16||18|47|.383|5|14|.357|12|19|.632|8|28|7|11|3|12|22
27|27|2013-03-02||Central Michigan|L|50|69|22|53|.415|1|14|.071|5|11|.455|9|25|11|8|1|14|23||20|42|.476|8|18|.444|21|26|.808|6|28|13|7|1|10|12
28|28|2013-03-05|@|Toledo|L|46|70|14|47|.298|3|10|.300|15|21|.714|8|32|3|4|1|17|15||22|52|.423|10|28|.357|16|23|.696|8|34|14|11|7|10|20
29|29|2013-03-09|@|Ball State|L|51|53|18|45|.400|4|14|.286|11|16|.688|12|33|8|5|1|14|27||18|37|.486|3|14|.214|14|30|.467|5|20|5|5|5|11|12
30|30|2013-03-11|@|Eastern Michigan|L|44|45|14|45|.311|9|28|.321|7|18|.389|8|25|13|4|1|5|17||17|38|.447|4|11|.364|7|13|.538|7|29|6|2|7|9|17
