ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-10||Wartburg|W|103|50|40|61|.656|13|21|.619|10|17|.588|8|41|20|9|5|10|13||20|65|.308|7|25|.280|3|10|.300|13|29|9|3|1|13|14
2|2|2012-11-14||Toledo|W (1 OT)|84|81|23|53|.434|6|20|.300|32|39|.821|9|34|11|6|3|15|12||31|69|.449|9|26|.346|10|14|.714|7|29|10|9|1|12|27
3|3|2012-11-17||North Dakota|W|72|47|23|53|.434|9|24|.375|17|20|.850|9|40|15|5|3|11|14||17|52|.327|5|22|.227|8|14|.571|4|21|6|7|1|8|18
4|4|2012-11-22|N|Louisville|L|46|51|16|46|.348|6|19|.316|8|9|.889|4|26|8|9|4|21|14||19|62|.306|5|22|.227|8|11|.727|16|40|12|13|4|20|15
5|5|2012-11-23|N|Stanford|L|50|66|17|47|.362|6|22|.273|10|13|.769|8|27|10|0|0|16|17||24|52|.462|8|19|.421|10|16|.625|10|29|11|9|2|9|19
6|6|2012-11-24|N|Memphis|L|47|52|16|51|.314|7|27|.259|8|10|.800|3|26|8|6|3|9|15||18|49|.367|6|18|.333|10|13|.769|8|40|10|5|4|15|12
7|7|2012-12-01||Milwaukee|W|72|61|27|54|.500|6|14|.429|12|17|.706|4|31|15|4|2|6|12||24|59|.407|10|26|.385|3|8|.375|11|34|10|3|1|9|16
8|8|2012-12-05||Northern Colorado|W|76|59|27|52|.519|12|27|.444|10|13|.769|8|32|21|3|4|13|13||22|53|.415|5|16|.313|10|11|.909|5|23|6|6|1|11|16
9|9|2012-12-08|@|George Mason|W (1 OT)|82|77|24|53|.453|11|26|.423|23|30|.767|6|25|14|9|2|15|18||27|56|.482|6|14|.429|17|21|.810|7|29|11|9|2|17|23
10|10|2012-12-15|N|Iowa|L|73|80|28|62|.452|3|16|.188|14|17|.824|8|32|6|8|2|10|25||21|49|.429|12|25|.480|26|37|.703|8|35|18|5|7|15|19
