ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-09||Albion|W|96|62|32|58|.552|9|18|.500|23|30|.767|9|31|16|14|0|14|24||19|44|.432|7|18|.389|17|27|.630|7|22|17|5|3|25|23
2|2|2012-11-11|@|Louisiana-Lafayette|L|79|90|26|57|.456|6|17|.353|21|26|.808|10|29|9|6|1|20|22||34|59|.576|8|20|.400|14|20|.700|8|28|17|12|5|14|21
3|3|2012-11-13|@|Boise State|L|80|88|28|54|.519|6|19|.316|18|27|.667|8|29|10|2|2|12|22||28|65|.431|11|34|.324|21|25|.840|10|25|18|5|1|5|19
4|4|2012-11-17|@|Pittsburgh|L (1 OT)|62|72|22|47|.468|5|18|.278|13|19|.684|7|24|11|6|1|16|24||25|60|.417|7|24|.292|15|24|.625|18|41|19|8|5|14|17
5|5|2012-11-20|@|Texas Southern|W|71|69|26|55|.473|8|19|.421|11|18|.611|12|32|17|9|1|13|19||26|54|.481|12|31|.387|5|13|.385|8|26|21|3|5|11|18
6|6|2012-11-23|@|Michigan State|L|52|70|16|58|.276|3|21|.143|17|24|.708|9|22|7|17|0|11|20||26|49|.531|3|11|.273|15|18|.833|10|41|15|6|4|20|16
7|7|2012-11-26|@|Tennessee|L|50|77|16|56|.286|2|16|.125|16|20|.800|9|23|10|4|2|5|17||28|53|.528|6|22|.273|15|20|.750|11|41|17|2|5|9|20
8|8|2012-12-01|@|Western Michigan|L|72|76|22|61|.361|6|20|.300|22|30|.733|12|34|11|7|2|7|24||25|53|.472|4|13|.308|22|30|.733|11|39|12|4|6|16|23
9|9|2012-12-06||Rochester (MI)|W|88|77|28|52|.538|7|12|.583|25|38|.658|8|28|18|11|2|16|25||26|61|.426|8|25|.320|17|28|.607|12|30|16|9|3|19|27
10|10|2012-12-08|@|Ohio|L|61|78|21|52|.404|7|16|.438|12|14|.857|9|29|13|6|2|20|17||31|61|.508|8|28|.286|8|9|.889|8|31|21|8|4|12|17
11|11|2012-12-17||Valparaiso|W|70|68|23|60|.383|5|15|.333|19|25|.760|6|27|8|9|5|8|15||27|53|.509|7|23|.304|7|10|.700|5|34|12|5|3|19|19
12|12|2012-12-19|@|West Virginia|L|71|76|23|57|.404|10|19|.526|15|24|.625|11|31|10|5|1|13|18||27|51|.529|8|19|.421|14|21|.667|5|28|18|5|10|15|19
13|13|2012-12-22|@|Eastern Michigan|W|59|57|17|54|.315|7|23|.304|18|31|.581|15|35|10|10|1|11|22||19|47|.404|5|17|.294|14|21|.667|7|32|10|8|5|14|19
14|14|2012-12-27|@|Western Illinois|L|63|73|23|55|.418|5|18|.278|12|16|.750|9|21|10|10|0|9|21||25|40|.625|2|7|.286|21|29|.724|6|25|15|4|7|13|11
15|15|2012-12-29|N|IUPUI|W|84|62|28|53|.528|7|17|.412|21|34|.618|9|33|16|15|0|13|23||20|53|.377|6|21|.286|16|21|.762|7|24|11|4|3|19|21
16|16|2013-01-03||Nebraska-Omaha|W|91|79|35|69|.507|11|29|.379|10|19|.526|12|34|22|14|2|13|18||30|55|.545|11|22|.500|8|18|.444|9|31|17|7|4|20|17
17|17|2013-01-05|@|Alabama|L|45|65|16|59|.271|2|10|.200|11|16|.688|11|29|7|8|1|13|16||25|48|.521|6|16|.375|9|17|.529|7|36|17|7|7|14|17
18|18|2013-01-10|@|South Dakota State|L|74|81|25|65|.385|6|24|.250|18|23|.783|13|35|15|4|2|10|23||28|55|.509|5|16|.313|20|25|.800|5|30|16|5|2|8|16
19|19|2013-01-12|@|North Dakota State|L|65|73|24|56|.429|9|22|.409|8|10|.800|4|23|17|8|1|12|15||26|43|.605|11|20|.550|10|22|.455|5|31|20|8|7|19|14
20|20|2013-01-17||Missouri-Kansas City|W|81|68|26|47|.553|8|18|.444|21|27|.778|10|29|20|14|2|20|13||25|52|.481|9|22|.409|9|12|.750|9|22|11|7|1|21|20
21|21|2013-01-19||South Dakota|L|78|97|30|66|.455|11|28|.393|7|12|.583|13|30|13|7|2|18|18||34|59|.576|10|19|.526|19|20|.950|5|29|18|12|2|18|18
22|22|2013-01-24||IUPUI|W|89|71|31|56|.554|14|30|.467|13|18|.722|11|34|19|8|0|12|15||27|50|.540|10|24|.417|7|14|.500|5|18|14|7|1|12|17
23|23|2013-01-26||Western Illinois|W|67|60|19|50|.380|7|21|.333|22|29|.759|6|26|11|9|1|9|15||23|45|.511|9|21|.429|5|10|.500|3|29|15|3|6|14|19
24|24|2013-02-02|@|Nebraska-Omaha|W|96|81|32|61|.525|4|21|.190|28|38|.737|13|33|12|5|1|8|12||34|65|.523|6|19|.316|7|7|1.000|7|28|15|4|5|14|23
25|25|2013-02-07||North Dakota State|W|66|63|22|51|.431|8|27|.296|14|21|.667|7|24|14|7|2|6|17||24|52|.462|8|23|.348|7|12|.583|8|32|13|1|1|11|16
26|26|2013-02-09||South Dakota State|W|88|83|30|61|.492|16|30|.533|12|15|.800|7|22|19|10|1|4|14||28|59|.475|10|27|.370|17|17|1.000|10|35|12|2|1|12|12
27|27|2013-02-14|@|South Dakota|W|76|75|30|65|.462|9|24|.375|7|13|.538|9|35|22|5|1|11|14||28|56|.500|8|18|.444|11|13|.846|0|23|17|6|3|9|13
28|28|2013-02-16|@|Missouri-Kansas City|W|86|74|27|55|.491|10|21|.476|22|30|.733|10|31|14|9|0|12|14||29|58|.500|7|24|.292|9|14|.643|5|19|15|7|1|13|20
29|29|2013-02-20|@|IPFW|L|71|77|25|53|.472|5|20|.250|16|29|.552|7|30|8|7|1|14|21||27|62|.435|8|23|.348|15|21|.714|9|33|18|9|2|12|19
30|30|2013-02-23||Morehead State|W (1 OT)|82|79|23|53|.434|7|13|.538|29|41|.707|9|31|12|8|1|12|23||27|71|.380|4|31|.129|21|25|.840|16|39|12|4|3|14|26
31|31|2013-03-02||IPFW|L|72|74|24|62|.387|4|20|.200|20|22|.909|6|30|11|7|0|8|17||28|59|.475|8|26|.308|10|15|.667|7|35|12|5|7|15|19
32|32|2013-03-10|N|IPFW|L|72|91|22|62|.355|8|32|.250|20|28|.714|10|26|9|5|1|10|25||30|48|.625|12|20|.600|19|31|.613|7|44|20|4|4|16|22
33|33|2013-03-19|@|Youngstown State|L|87|99|31|66|.470|7|15|.467|18|23|.783|8|32|12|6|0|12|18||31|64|.484|18|35|.514|19|24|.792|6|31|23|6|7|10|20
