ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-09||Holy Cross|L|45|46|18|46|.391|0|13|.000|9|18|.500|12|41|6|3|7|17|16||16|54|.296|8|24|.333|6|11|.545|11|30|12|5|2|12|16
2|2|2012-11-10||Morgan State|W|72|61|25|54|.463|5|16|.313|17|28|.607|9|35|14|9|3|10|17||25|58|.431|6|20|.300|5|17|.294|13|33|15|5|4|15|20
3|3|2012-11-11||Texas-San Antonio|L|70|79|23|65|.354|5|17|.294|19|26|.731|19|37|11|7|3|14|20||27|54|.500|12|26|.462|13|18|.722|8|31|14|2|1|17|23
4|4|2012-11-17|@|Cleveland State|L|55|67|16|45|.356|0|10|.000|23|28|.821|7|30|11|4|4|15|23||24|55|.436|3|15|.200|16|23|.696|5|22|13|5|5|9|22
5|5|2012-11-21||Virginia Military Institute|L|71|76|30|73|.411|7|19|.368|4|8|.500|17|41|18|9|5|17|16||29|60|.483|6|21|.286|12|20|.600|9|28|17|12|10|12|10
6|6|2012-11-24|@|Murray State|L|72|79|29|65|.446|7|23|.304|7|11|.636|15|38|13|9|4|14|23||28|57|.491|11|26|.423|12|20|.600|9|28|14|5|5|12|12
7|7|2012-12-01|@|William & Mary|L|62|71|24|58|.414|7|25|.280|7|8|.875|11|32|15|9|1|14|16||25|50|.500|9|21|.429|12|19|.632|7|29|21|8|6|14|11
8|8|2012-12-04||Richmond|L|53|80|19|60|.317|3|10|.300|12|21|.571|20|34|11|9|3|15|17||31|54|.574|9|22|.409|9|12|.750|10|31|17|9|3|12|19
9|9|2012-12-07||Virginia Commonwealth|L|70|83|25|60|.417|3|12|.250|17|28|.607|19|40|12|9|2|14|23||26|57|.456|11|21|.524|20|29|.690|12|30|19|9|4|12|23
10|10|2012-12-14||Central Florida|L|71|75|25|54|.463|9|20|.450|12|16|.750|12|28|17|10|3|13|22||24|44|.545|8|14|.571|19|25|.760|9|27|14|8|0|16|15
11|11|2012-12-18|@|College of Charleston|L|65|76|25|54|.463|3|15|.200|12|16|.750|6|24|14|12|3|13|19||26|49|.531|8|20|.400|16|23|.696|7|28|18|7|6|15|15
12|12|2012-12-22|N|Virginia|W|63|61|20|52|.385|9|23|.391|14|19|.737|11|36|10|3|3|6|17||21|53|.396|9|21|.429|10|13|.769|7|29|13|1|7|8|19
13|13|2012-12-29||Fairfield|L|54|55|21|45|.467|3|9|.333|9|14|.643|12|33|12|6|8|14|17||23|51|.451|4|14|.286|5|10|.500|10|23|10|8|6|9|17
14|14|2013-01-02||James Madison|L|55|58|20|54|.370|6|17|.353|9|15|.600|11|35|14|6|6|13|14||20|55|.364|6|14|.429|12|21|.571|11|31|12|8|5|10|14
15|15|2013-01-05||Delaware|L|72|84|23|69|.333|6|19|.316|20|34|.588|14|36|11|9|4|12|31||19|42|.452|5|14|.357|41|50|.820|5|41|14|11|8|21|27
16|16|2013-01-10|@|George Mason|L|46|71|12|48|.250|1|9|.111|21|29|.724|15|29|2|4|4|24|23||30|52|.577|3|13|.231|8|14|.571|6|22|21|6|5|18|27
17|17|2013-01-16|@|North Carolina-Wilmington|L|60|65|24|61|.393|3|14|.214|9|14|.643|13|32|6|8|4|9|18||22|51|.431|5|16|.313|16|23|.696|11|37|10|4|8|11|14
18|18|2013-01-19||Georgia State|L|54|69|17|48|.354|7|19|.368|13|23|.565|13|35|13|5|9|16|18||23|57|.404|7|20|.350|16|22|.727|9|31|14|6|6|13|18
19|19|2013-01-26|@|James Madison|L|46|56|16|50|.320|2|14|.143|12|22|.545|9|31|6|6|5|9|18||20|49|.408|3|13|.231|13|17|.765|6|34|8|4|3|13|19
20|20|2013-01-30||Towson|L|66|68|25|64|.391|4|17|.235|12|15|.800|12|32|16|9|8|10|20||24|61|.393|6|17|.353|14|22|.636|19|44|10|3|8|15|17
21|21|2013-02-02|@|Georgia State|L|63|83|21|65|.323|4|21|.190|17|25|.680|18|39|10|4|1|13|17||28|52|.538|16|33|.485|11|16|.688|5|28|16|10|4|12|18
22|22|2013-02-04||George Mason|L|74|85|24|57|.421|4|15|.267|22|28|.786|15|24|16|10|9|11|22||27|54|.500|7|11|.636|24|27|.889|16|34|16|7|4|17|22
23|23|2013-02-07|@|Drexel|W|78|66|26|55|.473|8|16|.500|18|26|.692|9|30|14|7|3|11|19||22|48|.458|5|17|.294|17|25|.680|5|27|11|2|0|15|20
24|24|2013-02-09||Northeastern|L (1 OT)|74|79|31|77|.403|1|26|.038|11|16|.688|20|46|15|7|6|16|21||23|55|.418|8|21|.381|25|29|.862|6|33|16|6|3|15|16
25|25|2013-02-11|@|Delaware|L|73|75|28|70|.400|7|22|.318|10|15|.667|12|35|11|5|2|8|17||28|59|.475|6|17|.353|13|19|.684|10|40|14|4|3|14|15
26|26|2013-02-16||William & Mary|L|62|74|28|56|.500|6|22|.273|0|7|.000|10|28|20|6|6|15|19||23|51|.451|10|23|.435|18|22|.818|9|27|18|6|3|11|12
27|27|2013-02-20||North Carolina-Wilmington|W|84|61|33|56|.589|5|13|.385|13|20|.650|7|29|23|11|6|8|16||21|59|.356|3|15|.200|16|20|.800|15|34|11|3|3|15|17
28|28|2013-02-24|@|Hofstra|L|59|70|21|56|.375|4|22|.182|13|20|.650|16|39|11|4|4|18|20||26|59|.441|7|18|.389|11|17|.647|11|31|16|8|1|10|19
29|29|2013-02-28||Drexel|L|77|81|27|53|.509|8|18|.444|15|22|.682|8|28|15|7|7|10|16||26|54|.481|14|23|.609|15|19|.789|8|29|19|8|4|9|21
30|30|2013-03-02|@|Northeastern|W|81|74|31|57|.544|1|10|.100|18|26|.692|10|35|9|8|8|20|22||24|57|.421|7|18|.389|19|28|.679|10|29|10|12|3|16|24
