ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-09||Niagara|W|102|83|38|67|.567|13|24|.542|13|24|.542|13|47|20|7|6|17|15||29|76|.382|16|34|.471|9|20|.450|12|32|18|13|3|12|21
2|2|2012-11-11||New Mexico State|W|71|62|25|59|.424|4|12|.333|17|21|.810|5|29|14|10|7|10|23||21|58|.362|1|11|.091|19|32|.594|14|37|5|5|3|14|17
3|3|2012-11-15|N|Alabama|L|62|65|22|46|.478|3|10|.300|15|21|.714|7|35|14|4|1|20|16||26|58|.448|7|21|.333|6|10|.600|7|21|16|8|1|8|21
4|4|2012-11-16|N|Purdue|W|66|58|23|55|.418|4|11|.364|16|24|.667|17|44|12|6|3|17|15||22|65|.338|5|19|.263|9|16|.563|17|34|14|7|7|11|20
5|5|2012-11-25||Montana State|W|78|65|29|62|.468|5|23|.217|15|25|.600|17|45|16|6|11|14|16||21|70|.300|6|21|.286|17|22|.773|17|39|10|8|0|9|19
6|6|2012-11-30|N|Kansas|L|78|84|26|64|.406|9|20|.450|17|26|.654|11|28|13|10|2|12|20||33|55|.600|3|9|.333|15|22|.682|8|35|17|7|5|17|21
7|7|2012-12-08||Grambling|W|85|54|29|69|.420|11|24|.458|16|29|.552|18|43|17|15|4|10|12||19|53|.358|8|21|.381|8|10|.800|8|33|14|2|2|23|22
8|8|2012-12-12|@|Portland State|W|79|74|30|59|.508|1|6|.167|18|29|.621|15|26|17|12|5|14|13||33|59|.559|2|12|.167|6|9|.667|9|24|12|6|1|18|21
9|9|2012-12-16||Chicago State|W|87|77|29|61|.475|8|17|.471|21|35|.600|11|39|18|10|5|15|13||31|70|.443|8|17|.471|7|9|.778|9|36|15|10|1|16|26
10|10|2012-12-19||Howard|W|69|53|21|48|.438|5|11|.455|22|27|.815|6|32|14|6|3|16|12||20|52|.385|2|8|.250|11|18|.611|8|26|12|7|2|14|19
11|11|2012-12-22|N|San Diego|W|86|79|29|49|.592|4|6|.667|24|32|.750|6|30|16|4|9|18|16||28|69|.406|6|21|.286|17|20|.850|12|29|15|9|4|11|25
12|12|2012-12-29||Towson|L (1 OT)|66|67|23|66|.348|3|8|.375|17|24|.708|10|39|13|5|7|7|17||25|65|.385|4|18|.222|13|22|.591|15|44|7|1|3|8|20
13|13|2012-12-31||Texas-Pan American|W|84|59|38|61|.623|7|18|.389|1|5|.200|13|43|24|3|6|14|15||22|60|.367|3|16|.188|12|17|.706|9|20|9|6|0|8|10
14|14|2013-01-06||Oregon|L|66|79|25|60|.417|6|20|.300|10|16|.625|9|29|8|4|5|14|18||29|59|.492|3|16|.188|18|23|.783|11|39|10|10|1|12|17
15|15|2013-01-10||Arizona State|L|62|72|22|59|.373|5|22|.227|13|21|.619|6|30|17|4|3|8|18||29|66|.439|6|20|.300|8|18|.444|12|45|12|5|4|9|14
16|16|2013-01-12||Arizona|L|70|80|24|61|.393|5|15|.333|17|26|.654|9|34|14|7|3|14|16||28|59|.475|10|25|.400|14|21|.667|10|37|14|8|9|16|22
17|17|2013-01-17|@|UCLA|L|64|74|25|61|.410|6|20|.300|8|14|.571|8|31|14|7|4|17|12||29|62|.468|6|12|.500|10|13|.769|9|35|19|7|7|13|12
18|18|2013-01-19|@|Southern California|L|68|69|24|56|.429|3|11|.273|17|24|.708|10|29|15|8|1|14|15||26|53|.491|4|15|.267|13|18|.722|9|26|12|7|7|20|20
19|19|2013-01-23||Washington|W|74|66|25|53|.472|6|19|.316|18|26|.692|9|34|18|7|7|12|14||26|59|.441|7|18|.389|7|14|.500|10|33|11|3|4|15|21
20|20|2013-01-26||Washington State|L|68|71|26|55|.473|9|25|.360|7|13|.538|3|22|17|6|6|9|20||25|56|.446|7|25|.280|14|18|.778|7|33|15|0|0|10|14
21|21|2013-01-31|@|California|L|68|71|28|60|.467|4|7|.571|8|15|.533|14|31|16|5|3|10|6||30|61|.492|9|26|.346|2|2|1.000|11|28|25|3|4|9|16
22|22|2013-02-03|@|Stanford|L|73|81|29|59|.492|5|9|.556|10|15|.667|11|33|14|1|4|14|18||26|58|.448|14|25|.560|15|22|.682|7|23|19|8|3|4|15
