ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-09|@|Rutgers|W|56|52|22|48|.458|5|16|.313|7|14|.500|2|19|14|8|0|9|21||19|53|.358|2|13|.154|12|18|.667|15|40|10|3|1|17|15
2|2|2012-11-12||Central Connecticut State|W|64|61|27|56|.482|4|7|.571|6|15|.400|12|37|16|6|1|19|16||21|55|.382|4|18|.222|15|19|.789|7|26|12|7|6|17|19
3|3|2012-11-16|@|Cornell|W|68|64|27|58|.466|7|18|.389|7|11|.636|5|32|9|4|5|12|16||21|58|.362|7|22|.318|15|18|.833|8|32|12|5|5|9|13
4|4|2012-11-18|@|Binghamton|L|54|62|21|63|.333|3|17|.176|9|16|.563|11|29|9|9|0|8|20||21|49|.429|3|10|.300|17|28|.607|13|42|9|3|3|15|14
5|5|2012-11-25|@|Seton Hall|L|61|76|23|52|.442|7|18|.389|8|13|.615|7|21|14|9|1|13|15||27|53|.509|8|23|.348|14|16|.875|10|33|17|8|6|15|13
6|6|2012-11-28||Fairleigh Dickinson|L|61|66|25|63|.397|5|11|.455|6|19|.316|12|34|11|8|3|9|19||20|44|.455|7|14|.500|19|27|.704|2|31|11|4|3|12|19
7|7|2012-12-01||Boston University|L|66|74|19|47|.404|6|16|.375|22|23|.957|6|27|9|6|4|17|16||26|53|.491|11|22|.500|11|15|.733|7|28|16|10|1|13|16
8|8|2012-12-05||Iona|W|64|62|24|60|.400|5|16|.313|11|15|.733|10|33|13|11|10|17|19||22|56|.393|4|14|.286|14|21|.667|11|34|10|7|2|16|14
9|9|2012-12-08|N|Loyola (MD)|L|55|61|19|49|.388|4|15|.267|13|22|.591|8|23|9|7|6|10|23||20|43|.465|3|8|.375|18|26|.692|10|33|11|3|8|14|16
10|10|2012-12-19||Long Island University|W|80|67|29|53|.547|5|11|.455|17|23|.739|12|32|12|4|8|11|20||22|55|.400|7|18|.389|16|21|.762|13|28|12|6|2|13|21
11|11|2012-12-22||Loyola (IL)|L|49|54|21|54|.389|1|8|.125|6|19|.316|10|32|10|12|3|9|26||15|41|.366|1|10|.100|23|31|.742|3|31|5|4|2|15|14
12|12|2012-12-29|@|Central Connecticut State|W|71|69|26|72|.361|7|19|.368|12|15|.800|22|49|16|5|2|15|17||25|57|.439|7|16|.438|12|17|.706|6|28|14|8|10|12|17
13|13|2013-01-04||Manhattan|L|53|55|20|48|.417|4|8|.500|9|20|.450|6|27|9|8|6|12|20||19|48|.396|9|27|.333|8|13|.615|6|31|13|8|4|16|20
