ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-10||Simpson (CA)|W|106|66|39|78|.500|14|34|.412|14|27|.519|16|41|27|11|9|2|14||24|62|.387|9|24|.375|9|12|.750|8|32|12|1|7|19|16
2|2|2012-11-14|@|Saint Louis|W|74|62|29|56|.518|7|11|.636|9|10|.900|7|28|13|11|2|13|23||18|51|.353|5|17|.294|21|27|.778|9|25|10|5|1|17|13
3|3|2012-11-20||South Carolina Upstate|W|85|65|26|49|.531|8|19|.421|25|31|.806|10|36|18|5|4|12|21||21|59|.356|2|16|.125|21|31|.677|17|34|14|5|4|14|20
4|4|2012-11-21||Utah Valley|W|75|67|27|58|.466|5|21|.238|16|19|.842|7|25|14|11|4|6|13||26|49|.531|6|13|.462|9|11|.818|5|29|15|2|2|17|17
5|5|2012-11-23||Eastern Washington|W|89|74|30|59|.508|12|26|.462|17|21|.810|5|27|25|7|8|9|17||25|60|.417|12|25|.480|12|21|.571|15|37|14|3|4|17|19
6|6|2012-11-28||Utah State|L (1 OT)|78|80|24|57|.421|7|23|.304|23|33|.697|9|24|13|12|4|14|22||28|50|.560|7|17|.412|17|23|.739|6|32|17|9|1|23|22
7|7|2012-12-01||California-Santa Barbara|L (1 OT)|80|83|24|65|.369|9|29|.310|23|35|.657|17|42|20|9|3|12|24||24|53|.453|11|25|.440|24|35|.686|10|38|19|9|4|17|26
8|8|2012-12-08||Pacific Union|W|77|42|30|64|.469|8|21|.381|9|16|.563|19|41|19|15|2|14|16||14|38|.368|6|22|.273|8|14|.571|6|24|9|7|3|27|14
9|9|2012-12-11|@|San Jose State|W|75|54|27|58|.466|8|20|.400|13|19|.684|11|34|16|8|9|17|25||15|60|.250|6|14|.429|18|26|.692|17|33|9|1|6|18|16
10|10|2012-12-15|@|Pacific|W|75|71|24|65|.369|9|33|.273|18|21|.857|15|39|14|6|5|11|19||22|51|.431|9|18|.500|18|24|.750|5|33|17|5|0|13|19
11|11|2012-12-17||Cal Poly|W|72|64|21|45|.467|7|16|.438|23|28|.821|10|30|19|8|6|10|12||24|51|.471|7|18|.389|9|12|.750|8|24|17|5|1|13|20
12|12|2012-12-21||Alcorn State|W|70|58|24|62|.387|6|21|.286|16|24|.667|16|44|16|9|6|13|18||17|56|.304|4|13|.308|20|28|.714|13|40|11|8|6|20|22
13|13|2012-12-22|N|Wagner|W|69|45|22|53|.415|9|25|.360|16|23|.696|11|37|14|5|5|14|21||15|50|.300|2|13|.154|13|21|.619|10|31|9|9|3|17|21
14|14|2012-12-29|@|Duke|L|77|90|28|61|.459|9|27|.333|12|15|.800|6|26|9|7|6|14|26||31|63|.492|7|14|.500|21|33|.636|13|36|15|6|2|11|17
15|15|2013-01-02||San Francisco|W|74|69|27|69|.391|10|29|.345|10|13|.769|14|42|15|7|4|7|16||26|55|.473|9|22|.409|8|12|.667|2|30|15|3|4|12|14
16|16|2013-01-05||Gonzaga|L|74|81|25|61|.410|7|23|.304|17|22|.773|18|32|14|5|4|8|22||26|47|.553|2|9|.222|27|30|.900|6|28|11|5|2|9|19
17|17|2013-01-10|@|Loyola Marymount|L|80|84|26|65|.400|13|30|.433|15|20|.750|15|37|18|6|7|20|21||27|59|.458|9|16|.563|21|25|.840|6|27|15|10|7|12|16
18|18|2013-01-12||Brigham Young|L|64|82|25|65|.385|7|22|.318|7|15|.467|17|36|15|9|7|15|20||30|56|.536|6|12|.500|16|22|.727|9|34|18|12|2|11|15
19|19|2013-01-17|@|San Francisco|W|85|54|32|63|.508|14|30|.467|7|12|.583|9|38|14|8|3|12|20||16|50|.320|3|19|.158|19|24|.792|5|25|9|9|2|15|14
20|20|2013-01-19|@|Pepperdine|W|83|76|30|56|.536|12|23|.522|11|15|.733|10|29|19|6|4|12|22||24|52|.462|8|12|.667|20|26|.769|9|24|14|6|2|11|16
21|21|2013-01-23||Cal State Bakersfield|W|66|36|23|48|.479|9|19|.474|11|14|.786|10|38|16|6|4|19|14||13|41|.317|2|14|.143|8|15|.533|2|18|4|11|4|17|16
22|22|2013-01-26|@|San Diego|W|64|50|21|50|.420|4|15|.267|18|21|.857|8|28|9|9|8|9|18||18|48|.375|5|20|.250|9|18|.500|8|28|4|3|5|17|16
23|23|2013-01-31||Portland|W|70|46|26|52|.500|6|18|.333|12|15|.800|12|40|16|5|6|18|18||13|52|.250|2|12|.167|18|21|.857|10|25|8|10|0|17|16
24|24|2013-02-02|@|Brigham Young|L|79|96|24|63|.381|9|24|.375|22|29|.759|11|31|14|6|1|11|23||35|60|.583|5|11|.455|21|32|.656|8|36|19|8|3|10|20
25|25|2013-02-07||Saint Mary's (CA)|L|63|84|20|49|.408|3|14|.214|20|28|.714|7|19|9|9|5|9|16||30|54|.556|12|20|.600|12|14|.857|11|35|21|3|4|14|20
26|26|2013-02-14||San Diego|W|61|52|20|57|.351|4|19|.211|17|25|.680|15|40|12|10|5|9|15||17|51|.333|6|21|.286|12|16|.750|10|36|7|2|2|16|19
27|27|2013-02-16||Pepperdine|W|70|60|25|53|.472|8|23|.348|12|22|.545|8|28|14|6|5|9|22||18|47|.383|1|7|.143|23|28|.821|10|33|11|4|1|12|20
28|28|2013-02-20|@|Gonzaga|L|42|85|16|53|.302|4|17|.235|6|10|.600|8|20|4|8|2|12|20||33|58|.569|7|17|.412|12|17|.706|12|41|15|8|3|10|14
29|29|2013-02-23|@|Portland|W|75|63|26|58|.448|10|25|.400|13|17|.765|14|42|14|7|3|16|18||23|64|.359|6|18|.333|11|16|.688|12|29|12|6|6|10|18
30|30|2013-02-28||Loyola Marymount|W|79|56|28|55|.509|9|21|.429|14|18|.778|5|30|19|10|5|12|20||19|54|.352|2|7|.286|16|25|.640|12|36|10|2|1|16|14
31|31|2013-03-02|@|Saint Mary's (CA)|L|67|80|22|56|.393|5|12|.417|18|24|.750|9|31|9|5|2|10|25||24|57|.421|5|20|.250|27|33|.818|14|42|11|6|2|8|18
32|32|2013-03-08|N|Loyola Marymount|L|58|60|19|48|.396|6|17|.353|14|16|.875|7|28|8|5|5|14|19||24|58|.414|3|13|.231|9|17|.529|12|34|5|9|1|12|15
33|33|2013-03-19||Vermont|W|77|67|24|47|.511|7|18|.389|22|28|.786|7|29|16|9|6|12|17||25|59|.424|7|23|.304|10|15|.667|14|29|15|3|1|16|23
34|34|2013-03-25|@|Purdue|W|86|83|29|59|.492|9|22|.409|19|28|.679|10|30|16|10|5|19|25||30|69|.435|1|11|.091|22|28|.786|13|34|15|9|2|11|22
35|35|2013-03-27|@|Wright State|W|81|69|31|64|.484|8|24|.333|11|15|.733|12|33|15|8|2|6|17||26|48|.542|4|15|.267|13|17|.765|4|25|14|2|0|15|15
36|36|2013-04-01||George Mason|W|81|73|23|52|.442|10|24|.417|25|30|.833|8|30|12|9|3|17|18||26|61|.426|5|16|.313|16|20|.800|12|34|12|7|1|19|21
37|37|2013-04-03|@|George Mason|L|66|73|24|64|.375|5|25|.200|13|22|.591|11|35|10|6|2|14|32||20|50|.400|3|11|.273|30|43|.698|8|41|11|6|2|14|19
