ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-09||Missouri-Kansas City|W|75|36|25|51|.490|10|24|.417|15|26|.577|10|39|19|11|3|15|19||15|48|.313|3|15|.200|3|15|.200|6|24|6|9|1|20|18
2|2|2012-11-12||Norfolk State|W|78|65|27|58|.466|8|20|.400|16|27|.593|17|42|12|7|3|17|21||18|56|.321|5|18|.278|24|29|.828|11|26|5|8|2|14|24
3|3|2012-11-17|N|Washington|L (1 OT)|73|84|27|62|.435|12|23|.522|7|15|.467|9|27|14|11|2|14|21||28|54|.519|6|17|.353|22|26|.846|8|35|10|4|2|16|18
4|4|2012-11-18|N|Rhode Island|W|60|55|18|45|.400|4|15|.267|20|26|.769|8|24|9|6|0|7|15||21|48|.438|8|20|.400|5|7|.714|7|26|6|4|1|7|21
5|5|2012-11-21||Maine|W|76|49|30|64|.469|9|27|.333|7|15|.467|12|35|19|18|3|14|15||18|51|.353|1|17|.059|12|20|.600|11|37|7|10|4|27|18
6|6|2012-11-25||Saint Peter's|W|76|61|27|53|.509|8|23|.348|14|16|.875|10|33|17|8|6|15|13||23|52|.442|7|18|.389|8|13|.615|7|21|14|9|1|13|15
7|7|2012-11-29|@|Louisiana State|L|67|72|24|49|.490|10|21|.476|9|14|.643|9|33|11|10|3|26|21||25|63|.397|4|20|.200|18|27|.667|18|34|13|16|4|15|14
8|8|2012-12-04||NJIT|W|68|59|21|52|.404|9|27|.333|17|28|.607|7|39|16|6|6|10|15||21|62|.339|9|21|.429|8|14|.571|9|36|12|8|2|10|20
9|9|2012-12-08|@|Wake Forest|W|71|67|28|57|.491|2|16|.125|13|19|.684|12|40|10|9|2|23|16||23|52|.442|9|20|.450|12|19|.632|4|23|16|13|6|18|15
10|10|2012-12-16||North Carolina A&T|W|77|66|22|48|.458|11|25|.440|22|30|.733|7|34|18|6|4|15|17||22|57|.386|7|20|.350|15|22|.682|7|29|13|8|3|14|18
11|11|2012-12-19||Longwood|W|79|61|27|55|.491|10|25|.400|15|20|.750|9|36|21|4|4|13|16||21|57|.368|8|19|.421|11|18|.611|8|29|14|8|2|12|17
12|12|2012-12-22|N|Long Island University|W|89|58|35|60|.583|10|21|.476|9|12|.750|8|34|21|8|0|15|19||19|53|.358|4|18|.222|16|24|.667|6|25|11|8|3|16|13
13|13|2012-12-28||Stony Brook|W|60|59|19|53|.358|9|26|.346|13|17|.765|12|36|13|9|6|16|9||24|53|.453|6|12|.500|5|10|.500|3|27|10|10|3|10|12
14|14|2013-01-02|@|DePaul|W|73|72|27|58|.466|10|24|.417|9|14|.643|12|37|19|7|2|20|18||27|59|.458|3|10|.300|15|25|.600|7|28|10|13|1|12|17
15|15|2013-01-05|@|Notre Dame|L|74|93|29|64|.453|11|31|.355|5|9|.556|12|30|21|5|1|11|18||35|62|.565|12|18|.667|11|14|.786|11|35|25|4|0|8|13
16|16|2013-01-09||Louisville|L|58|73|17|49|.347|4|16|.250|20|31|.645|10|34|13|4|2|16|22||23|55|.418|4|12|.333|23|27|.852|8|34|16|12|3|11|24
17|17|2013-01-13||Providence|L|55|67|21|49|.429|4|13|.308|9|13|.692|8|31|12|5|6|17|24||22|61|.361|5|18|.278|18|29|.621|19|37|11|9|7|8|17
18|18|2013-01-16|@|Marquette|L|62|69|21|53|.396|9|25|.360|11|17|.647|9|29|15|4|1|13|24||20|46|.435|5|15|.333|24|32|.750|7|31|15|4|2|10|20
19|19|2013-01-23||South Florida|W|55|47|21|40|.525|5|13|.385|8|11|.727|9|34|10|3|2|17|13||19|56|.339|3|19|.158|6|6|1.000|9|20|12|11|2|5|10
20|20|2013-01-27|@|St. John's (NY)|L|67|71|25|59|.424|8|18|.444|9|14|.643|11|29|15|4|0|12|20||26|53|.491|4|11|.364|15|20|.750|8|28|11|4|7|9|16
21|21|2013-01-30|@|Georgetown|L|52|74|14|43|.326|5|20|.250|19|24|.792|10|27|8|10|2|24|29||24|51|.471|8|19|.421|18|32|.563|10|30|19|15|3|14|22
22|22|2013-02-02||Cincinnati|L|59|65|21|55|.382|6|22|.273|11|18|.611|12|32|13|6|1|14|24||18|49|.367|8|26|.308|21|27|.778|11|36|13|9|6|12|18
23|23|2013-02-04|@|Pittsburgh|L|46|56|14|42|.333|5|20|.250|13|20|.650|7|27|5|7|2|14|22||16|46|.348|5|12|.417|19|29|.655|13|38|11|8|2|13|19
24|24|2013-02-10||Connecticut|L|67|78|26|54|.481|9|25|.360|6|17|.353|8|24|17|11|4|16|22||26|48|.542|5|14|.357|21|23|.913|4|28|14|13|3|16|18
25|25|2013-02-12|@|Rutgers|L|55|57|18|49|.367|6|21|.286|13|18|.722|8|29|9|5|1|14|22||18|46|.391|5|13|.385|16|25|.640|9|32|13|6|11|12|21
26|26|2013-02-16||Syracuse|L|65|76|19|44|.432|10|26|.385|17|29|.586|7|29|14|3|2|9|23||24|62|.387|8|20|.400|20|29|.690|17|37|13|7|2|4|19
27|27|2013-02-19||Marquette|L|46|67|15|51|.294|7|27|.259|9|12|.750|6|24|10|9|2|11|15||26|53|.491|5|15|.333|10|16|.625|12|38|15|8|5|13|13
28|28|2013-02-23|@|Louisville|L|61|79|23|52|.442|7|18|.389|8|10|.800|11|30|12|3|2|19|18||26|57|.456|7|15|.467|20|26|.769|13|31|15|12|6|9|14
29|29|2013-02-25||Villanova|W|66|65|20|47|.426|13|21|.619|13|18|.722|6|21|13|8|4|19|21||18|45|.400|4|18|.222|25|27|.926|6|30|7|12|4|17|20
30|30|2013-03-05|@|Providence|L|66|76|24|56|.429|8|18|.444|10|14|.714|5|29|14|3|4|12|19||27|66|.409|5|19|.263|17|22|.773|13|37|19|6|7|8|15
31|31|2013-03-08||Rutgers|L|51|56|20|47|.426|8|22|.364|3|8|.375|7|25|12|6|0|19|18||19|46|.413|5|14|.357|13|18|.722|7|24|10|13|1|14|14
32|32|2013-03-12|N|South Florida|W (1 OT)|46|42|18|44|.409|4|18|.222|6|9|.667|7|30|11|5|6|13|13||16|66|.242|5|26|.192|5|7|.714|21|38|11|10|6|11|14
33|33|2013-03-13|N|Syracuse|L|63|75|21|41|.512|10|20|.500|11|17|.647|2|16|18|4|0|10|21||27|48|.563|9|15|.600|12|19|.632|8|25|21|5|2|7|15
