ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-09||Vermont|L|53|54|18|49|.367|6|18|.333|11|24|.458|11|35|9|6|5|17|23||17|52|.327|3|13|.231|17|24|.708|10|35|7|9|4|14|17
2|2|2012-11-11|@|Navy|W (1 OT)|54|49|18|55|.327|3|25|.120|15|22|.682|14|44|6|6|4|14|16||20|61|.328|4|20|.200|5|10|.500|7|31|11|7|3|9|20
3|3|2012-11-16|N|Cal State Northridge|L|64|68|22|51|.431|9|19|.474|11|15|.733|14|30|10|5|0|15|21||22|55|.400|3|16|.188|21|28|.750|17|31|12|10|5|9|16
4|4|2012-11-17|N|Northern Kentucky|W|56|52|19|42|.452|9|20|.450|9|18|.500|6|29|9|4|2|12|12||19|53|.358|7|22|.318|7|8|.875|6|27|8|3|1|6|14
5|5|2012-11-18|@|San Diego|L|60|77|22|62|.355|10|22|.455|6|13|.462|20|35|13|3|1|13|16||28|54|.519|8|16|.500|13|17|.765|11|31|11|6|8|8|17
6|6|2012-11-25|@|Maine|L|66|72|21|62|.339|6|30|.200|18|23|.783|15|40|9|5|0|14|19||25|58|.431|6|21|.286|16|20|.800|7|31|17|8|4|12|17
7|7|2012-11-28||Massachusetts|L|63|64|21|53|.396|9|19|.474|12|19|.632|7|36|10|6|2|15|9||26|69|.377|7|33|.212|5|8|.625|14|41|11|11|3|11|19
8|8|2012-12-01||Albany (NY)|L|56|69|24|51|.471|3|12|.250|5|7|.714|3|22|10|7|5|18|17||21|53|.396|6|20|.300|21|24|.875|9|30|11|9|3|11|12
9|9|2012-12-04|@|St. Bonaventure|L|43|58|17|52|.327|4|15|.267|5|10|.500|14|33|12|1|3|17|14||20|57|.351|2|20|.100|16|17|.941|15|33|8|8|5|5|12
10|10|2012-12-07||Rider|L|56|62|22|53|.415|6|17|.353|6|17|.353|5|29|13|8|2|13|16||23|58|.397|7|21|.333|9|16|.563|12|37|9|8|6|14|18
