ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-09||Bethune-Cookman|W|65|55|21|47|.447|6|19|.316|17|25|.680|8|29|15|5|6|10|14||19|51|.373|6|21|.286|11|11|1.000|8|29|9|1|3|13|18
2|2|2012-11-14|@|Cornell|W|72|68|22|53|.415|2|14|.143|26|42|.619|11|34|13|10|2|13|24||21|52|.404|5|14|.357|21|28|.750|9|35|9|6|3|14|30
3|3|2012-11-17|@|Canisius|L|69|72|26|52|.500|9|22|.409|8|10|.800|7|27|15|3|3|19|20||23|54|.426|8|21|.381|18|21|.857|8|24|15|5|2|13|14
4|4|2012-11-24|N|Niagara|W|80|75|26|64|.406|10|23|.435|18|21|.857|15|38|18|7|3|16|17||26|60|.433|7|20|.350|16|20|.800|6|28|16|9|2|16|19
5|5|2012-11-28|@|Ohio|L|64|69|21|44|.477|8|14|.571|14|25|.560|9|29|11|4|1|20|21||23|50|.460|10|26|.385|13|20|.650|7|24|16|9|5|12|22
6|6|2012-12-01||Buffalo|W|82|79|26|56|.464|8|16|.500|22|38|.579|11|33|15|12|4|9|20||27|57|.474|13|24|.542|12|23|.522|14|38|20|4|3|18|29
7|7|2012-12-04||Siena|W|58|43|20|57|.351|2|20|.100|16|17|.941|15|33|8|8|5|5|12||17|52|.327|4|15|.267|5|10|.500|14|33|12|1|3|17|14
8|8|2012-12-08|@|Arkansas State|L|70|73|24|57|.421|6|24|.250|16|23|.696|9|27|11|6|0|10|23||24|52|.462|5|17|.294|20|25|.800|5|27|9|3|0|13|20
9|9|2012-12-15||Cleveland State|W|87|53|30|56|.536|8|16|.500|19|22|.864|7|31|18|9|6|20|21||16|48|.333|2|10|.200|19|28|.679|11|28|3|9|4|20|22
10|10|2012-12-19||Citadel|W|97|57|35|62|.565|10|18|.556|17|21|.810|16|35|26|13|3|11|20||18|48|.375|5|12|.417|16|23|.696|13|26|14|6|3|20|22
11|11|2012-12-22|@|North Carolina State|L|73|92|26|64|.406|8|25|.320|13|21|.619|13|37|12|6|4|14|24||32|56|.571|6|14|.429|22|35|.629|7|34|21|8|8|12|19
12|12|2012-12-31||Iona|L|74|93|27|70|.386|7|21|.333|13|16|.813|13|30|15|4|4|12|17||31|59|.525|13|27|.481|18|19|.947|7|34|21|7|3|15|17
13|13|2013-01-05|@|Colorado State|L|64|85|22|63|.349|9|26|.346|11|16|.688|7|23|11|9|2|7|24||29|55|.527|6|16|.375|21|29|.724|11|45|14|3|6|11|16
14|14|2013-01-09|@|George Washington|L|59|78|23|59|.390|3|18|.167|10|11|.909|9|25|6|6|1|13|21||28|49|.571|6|12|.500|16|24|.667|8|32|16|5|7|15|16
15|15|2013-01-12||Virginia Commonwealth|L|65|72|21|51|.412|11|25|.440|12|15|.800|7|25|17|4|1|16|21||26|50|.520|5|17|.294|15|27|.556|9|31|15|7|2|15|21
16|16|2013-01-16||Xavier|L|64|66|23|44|.523|6|16|.375|12|17|.706|5|21|16|3|2|8|16||26|57|.456|6|19|.316|8|13|.615|12|26|13|2|2|6|16
17|17|2013-01-19|@|Temple|W|81|78|27|55|.491|11|18|.611|16|19|.842|7|26|21|3|3|10|11||28|61|.459|12|34|.353|10|10|1.000|10|28|17|7|4|11|18
18|18|2013-01-23|@|Saint Joseph's|W|73|64|28|52|.538|10|20|.500|7|8|.875|4|19|13|9|2|6|18||22|52|.423|2|22|.091|18|23|.783|11|28|13|3|3|10|12
19|19|2013-01-26||Saint Louis|L|57|67|17|47|.362|2|16|.125|21|28|.750|7|32|7|6|4|18|22||23|52|.442|4|10|.400|17|26|.654|5|30|10|14|3|13|23
20|20|2013-02-02||Duquesne|W|68|60|22|50|.440|12|22|.545|12|14|.857|9|26|14|4|2|15|19||20|46|.435|11|24|.458|9|15|.600|8|24|14|6|3|10|17
21|21|2013-02-06|@|Butler|L|58|77|18|47|.383|4|9|.444|18|25|.720|6|19|8|4|3|12|18||26|52|.500|11|26|.423|14|20|.700|8|31|14|6|3|13|17
22|22|2013-02-09|@|Rhode Island|W|67|61|21|49|.429|6|23|.261|19|22|.864|6|23|13|9|5|12|22||19|49|.388|5|16|.313|18|26|.692|14|34|10|4|4|18|20
23|23|2013-02-13||La Salle|L (1 OT)|66|69|22|52|.423|2|13|.154|20|25|.800|7|30|12|11|6|16|19||19|53|.358|9|25|.360|22|27|.815|11|31|12|8|3|20|19
24|24|2013-02-16|@|Richmond|L (1 OT)|80|83|26|56|.464|10|22|.455|18|23|.783|4|32|13|9|1|19|28||23|51|.451|12|25|.480|25|35|.714|4|27|16|8|4|18|26
25|25|2013-02-20||Massachusetts|W|99|94|30|65|.462|7|22|.318|32|33|.970|10|35|17|5|4|15|18||34|77|.442|9|26|.346|17|20|.850|19|39|16|8|5|16|29
26|26|2013-02-23|@|Duquesne|W|78|71|27|50|.540|6|16|.375|18|23|.783|5|30|16|3|2|14|19||22|56|.393|9|26|.346|18|21|.857|10|24|15|8|3|11|19
27|27|2013-03-02||Charlotte|W|104|83|30|51|.588|11|18|.611|33|42|.786|8|38|22|6|2|22|30||24|62|.387|7|18|.389|28|41|.683|16|34|12|15|3|20|33
28|28|2013-03-06|@|Dayton|L|63|75|24|56|.429|9|23|.391|6|7|.857|8|22|15|3|1|12|19||26|49|.531|7|15|.467|16|20|.800|8|29|19|3|2|11|15
29|29|2013-03-09||Fordham|L|72|76|23|50|.460|9|27|.333|17|21|.810|8|23|17|7|2|16|12||32|58|.552|6|19|.316|6|7|.857|12|34|18|6|2|17|22
