ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-13||Detroit Mercy|W|77|74|28|61|.459|4|10|.400|17|24|.708|11|42|14|7|12|15|15||27|78|.346|9|29|.310|11|16|.688|17|38|13|11|4|11|20
2|2|2012-11-15|@|College of Charleston|W|64|53|27|60|.450|2|10|.200|8|13|.615|6|33|8|9|4|6|12||21|56|.375|5|15|.333|6|10|.600|9|37|11|2|4|14|13
3|3|2012-11-16|N|Murray State|L|67|72|25|56|.446|2|14|.143|15|20|.750|8|35|12|5|7|14|14||27|65|.415|10|30|.333|8|11|.727|9|34|14|6|4|8|15
4|4|2012-11-18|N|Baylor|L|78|97|30|64|.469|8|17|.471|10|12|.833|9|19|15|7|8|11|22||30|55|.545|11|18|.611|26|33|.788|14|39|19|10|2|14|12
5|5|2012-11-21||Holy Cross|W|65|53|29|63|.460|3|11|.273|4|9|.444|12|30|14|6|10|6|14||19|48|.396|6|21|.286|9|9|1.000|7|26|10|1|2|18|18
6|6|2012-11-24||Florida Gulf Coast|W|79|68|33|60|.550|3|10|.300|10|16|.625|7|31|17|7|9|15|15||27|61|.443|6|21|.286|8|11|.727|8|31|13|8|2|16|16
7|7|2012-11-29||South Carolina|W|89|65|33|58|.569|7|14|.500|16|24|.667|11|30|19|8|9|7|18||24|65|.369|5|23|.217|12|21|.571|20|36|10|2|1|12|17
8|8|2012-12-01||NJIT|W|57|49|22|60|.367|2|10|.200|11|29|.379|17|43|11|7|12|13|12||19|59|.322|7|19|.368|4|10|.400|10|39|12|5|10|15|24
9|9|2012-12-04|@|San Francisco|L|65|81|25|63|.397|3|11|.273|12|15|.800|11|36|7|1|4|8|19||27|54|.500|9|15|.600|18|25|.720|6|32|16|4|5|9|16
10|10|2012-12-08||Fordham|W|58|47|20|60|.333|2|9|.222|16|29|.552|13|29|11|11|15|8|13||19|66|.288|3|20|.150|6|10|.600|22|49|9|4|4|19|26
11|11|2012-12-15|N|St. Francis (NY)|W|77|60|30|69|.435|6|14|.429|11|16|.688|14|41|19|9|9|8|19||21|67|.313|7|24|.292|11|19|.579|14|40|12|2|2|13|18
12|12|2012-12-21||North Carolina-Asheville|L|65|72|25|57|.439|5|14|.357|10|14|.714|7|28|11|5|13|13|16||28|63|.444|5|14|.357|11|13|.846|11|34|14|8|6|15|16
13|13|2013-01-02|@|Villanova|L (1 OT)|86|98|32|68|.471|10|20|.500|12|20|.600|9|31|20|10|7|16|31||27|63|.429|10|28|.357|34|42|.810|16|41|14|11|3|18|19
14|14|2013-01-05|@|Cincinnati|W|53|52|22|55|.400|1|9|.111|8|11|.727|8|35|10|7|5|17|14||19|60|.317|8|26|.308|6|11|.545|9|34|8|8|3|16|13
15|15|2013-01-09||Rutgers|L|56|58|19|54|.352|3|15|.200|15|27|.556|14|35|12|7|5|11|11||22|55|.400|5|15|.333|9|14|.643|7|28|10|7|2|12|20
16|16|2013-01-12||Georgetown|L|51|67|21|59|.356|3|16|.188|6|16|.375|5|28|8|6|8|11|23||24|55|.436|3|8|.375|16|23|.696|10|42|15|6|5|15|22
17|17|2013-01-15||Notre Dame|W|67|63|26|62|.419|3|17|.176|12|15|.800|8|26|10|5|9|9|17||24|52|.462|1|9|.111|14|17|.824|6|30|12|7|5|12|16
18|18|2013-01-19|@|DePaul|W|71|62|29|59|.492|0|4|.000|13|20|.650|10|38|9|13|5|16|8||25|72|.347|5|25|.200|7|9|.778|15|39|14|11|1|18|17
19|19|2013-01-23|@|Rutgers|W|72|60|24|53|.453|3|11|.273|21|35|.600|7|31|14|8|2|14|18||23|63|.365|5|16|.313|9|17|.529|12|38|10|6|1|17|27
20|20|2013-01-27||Seton Hall|W|71|67|26|53|.491|4|11|.364|15|20|.750|8|28|11|4|7|9|16||25|59|.424|8|18|.444|9|14|.643|11|29|15|4|0|12|20
21|21|2013-01-30||DePaul|W (1 OT)|79|74|28|71|.394|6|12|.500|17|27|.630|15|36|11|12|11|5|16||25|70|.357|6|24|.250|18|20|.900|17|46|13|3|7|18|23
22|22|2013-02-02|@|Georgetown|L|56|68|20|63|.317|4|18|.222|12|17|.706|15|32|9|5|4|9|15||27|59|.458|9|26|.346|5|7|.714|15|38|16|5|7|12|17
23|23|2013-02-06||Connecticut|W|71|65|21|55|.382|5|14|.357|24|31|.774|8|38|16|2|5|9|18||20|65|.308|10|28|.357|15|19|.789|12|36|16|8|4|7|20
24|24|2013-02-10|@|Syracuse|L|58|77|23|55|.418|5|22|.227|7|10|.700|10|28|14|4|2|16|16||29|54|.537|10|22|.455|9|10|.900|5|26|20|11|4|12|13
25|25|2013-02-14|@|Louisville|L|58|72|23|62|.371|7|23|.304|5|7|.714|9|37|10|5|7|14|18||23|62|.371|3|12|.250|23|30|.767|14|43|11|8|3|8|8
26|26|2013-02-20||South Florida|W|69|54|24|53|.453|6|18|.333|15|20|.750|7|33|19|4|4|8|12||21|57|.368|9|28|.321|3|12|.250|10|35|11|4|1|11|20
27|27|2013-02-24||Pittsburgh|L|47|63|18|57|.316|2|15|.133|9|14|.643|11|30|7|5|7|12|17||22|51|.431|5|14|.357|14|24|.583|7|30|10|7|5|10|17
28|28|2013-03-02|@|Providence|L|59|62|25|68|.368|1|11|.091|8|14|.571|9|33|12|4|5|8|21||22|59|.373|7|22|.318|11|21|.524|15|41|15|2|2|13|16
29|29|2013-03-05|@|Notre Dame|L|40|66|17|56|.304|1|13|.077|5|7|.714|10|34|10|5|10|14|13||25|54|.463|8|17|.471|8|11|.727|5|35|16|5|3|8|9
30|30|2013-03-09||Marquette|L (1 OT)|67|69|30|72|.417|2|16|.125|5|13|.385|15|36|13|8|11|10|16||27|62|.435|5|17|.294|10|18|.556|16|43|14|7|2|18|14
31|31|2013-03-13|N|Villanova|L|53|66|21|59|.356|2|11|.182|9|14|.643|12|28|7|9|4|16|21||22|54|.407|3|17|.176|19|23|.826|9|32|14|10|2|16|15
