ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-13|@|Kent State|W|80|66|27|51|.529|8|22|.364|18|27|.667|5|28|18|16|6|19|13||25|67|.373|5|23|.217|11|17|.647|18|39|10|11|1|21|22
2|2|2012-11-17||Rice|W|77|63|26|63|.413|4|26|.154|21|28|.750|16|40|16|8|2|8|17||22|53|.415|8|23|.348|11|14|.786|3|26|6|3|0|13|21
3|3|2012-11-25||Delaware|W|80|75|26|54|.481|11|29|.379|17|23|.739|8|28|18|12|1|13|17||29|51|.569|4|12|.333|13|18|.722|5|27|9|4|3|16|18
4|4|2012-11-28|@|Buffalo|W|54|39|18|51|.353|3|14|.214|15|18|.833|9|35|10|9|4|15|10||17|52|.327|3|16|.188|2|3|.667|4|27|13|8|3|16|22
5|5|2012-12-01||Wagner|W|70|62|25|58|.431|9|19|.474|11|14|.786|7|28|14|7|7|7|15||23|58|.397|3|11|.273|13|18|.722|13|40|11|3|4|12|14
6|6|2012-12-05|@|Villanova|W|76|61|26|61|.426|10|27|.370|14|22|.636|6|26|18|11|3|10|17||21|47|.447|5|15|.333|14|20|.700|7|31|9|5|6|20|22
7|7|2012-12-08|N|Duke|L|67|90|29|73|.397|8|21|.381|1|4|.250|14|35|16|3|4|10|21||28|59|.475|12|20|.600|22|29|.759|10|36|19|6|2|6|15
8|8|2012-12-12||Towson|W|72|61|27|71|.380|4|17|.235|14|18|.778|16|37|17|12|3|8|10||26|60|.433|1|14|.071|8|9|.889|12|40|4|3|3|18|16
9|9|2012-12-17||Alcorn State|W|63|46|20|50|.400|5|20|.250|18|26|.692|9|31|11|12|6|13|13||17|50|.340|4|15|.267|8|12|.667|10|32|11|4|5|17|20
10|10|2012-12-19||Canisius|L|62|72|22|63|.349|4|28|.143|14|21|.667|9|28|10|4|4|4|17||23|53|.434|10|21|.476|16|18|.889|7|36|10|2|4|10|15
11|11|2012-12-22|N|Syracuse|W|83|79|23|59|.390|8|24|.333|29|36|.806|16|38|15|4|3|14|24||29|65|.446|2|12|.167|19|34|.559|17|40|10|7|3|11|22
12|12|2012-12-31||Bowling Green State|W|75|57|27|57|.474|9|21|.429|12|15|.800|10|39|23|6|5|13|10||23|61|.377|4|16|.250|7|10|.700|8|28|11|11|2|11|14
13|13|2013-01-06|@|Kansas|L|62|69|19|63|.302|4|17|.235|20|26|.769|11|31|8|8|2|4|15||24|55|.436|5|14|.357|16|18|.889|9|42|17|1|12|14|17
14|14|2013-01-10|@|Xavier|L|52|57|20|59|.339|4|20|.200|8|10|.800|4|27|14|6|4|9|17||20|49|.408|4|14|.286|13|21|.619|9|36|10|5|3|14|15
15|15|2013-01-12||Saint Louis|W|64|54|23|48|.479|5|11|.455|13|22|.591|3|31|11|10|6|12|13||20|58|.345|4|21|.190|10|17|.588|10|36|10|6|1|13|17
16|16|2013-01-16|@|George Washington|W|55|53|20|49|.408|4|17|.235|11|14|.786|4|25|11|7|4|12|15||19|50|.380|3|7|.429|12|19|.632|9|32|10|5|1|11|14
17|17|2013-01-19||St. Bonaventure|L|78|81|28|61|.459|12|34|.353|10|10|1.000|10|28|17|7|4|11|18||27|55|.491|11|18|.611|16|19|.842|7|26|21|3|3|10|11
18|18|2013-01-23||Pennsylvania|W|76|69|25|49|.510|8|21|.381|18|25|.720|8|30|16|11|2|15|15||24|53|.453|6|18|.333|15|16|.938|7|23|16|6|1|13|20
19|19|2013-01-26|@|Butler|L|71|83|24|59|.407|9|18|.500|14|18|.778|8|21|14|6|0|9|19||26|50|.520|8|20|.400|23|29|.793|10|33|16|5|3|14|18
20|20|2013-01-30||Richmond|W|71|64|25|52|.481|5|12|.417|16|25|.640|11|35|12|4|3|15|16||21|53|.396|10|27|.370|12|15|.800|6|23|13|8|4|13|17
21|21|2013-02-02|@|Saint Joseph's|L|69|70|25|65|.385|11|31|.355|8|10|.800|10|28|12|6|4|5|18||26|56|.464|4|12|.333|14|20|.700|11|35|17|4|6|9|9
22|22|2013-02-06||Charlotte|W|89|88|31|58|.534|7|19|.368|20|28|.714|9|24|17|10|4|13|18||32|53|.604|7|10|.700|17|22|.773|9|25|17|8|0|18|22
23|23|2013-02-09|@|Dayton|W|72|71|28|65|.431|6|22|.273|10|22|.455|15|36|11|10|4|8|26||24|50|.480|4|11|.364|19|33|.576|11|39|13|2|4|14|18
24|24|2013-02-14||Duquesne|L|83|84|24|63|.381|9|29|.310|26|30|.867|5|28|16|14|3|12|20||27|55|.491|10|23|.435|20|29|.690|5|36|12|7|3|18|21
25|25|2013-02-16|@|Massachusetts|W|83|82|31|64|.484|12|22|.545|9|15|.600|7|32|21|1|6|8|15||31|66|.470|8|19|.421|12|17|.706|10|39|23|3|7|7|13
26|26|2013-02-21||La Salle|W|82|74|30|60|.500|5|16|.313|17|29|.586|15|41|19|4|3|11|18||27|60|.450|5|17|.294|15|19|.789|6|24|11|6|0|6|17
27|27|2013-02-24|@|Charlotte|W|71|51|28|58|.483|10|24|.417|5|7|.714|9|34|15|10|4|13|14||17|62|.274|1|12|.083|16|19|.842|17|39|4|7|1|15|9
28|28|2013-02-28||Detroit Mercy|W|83|78|27|59|.458|10|28|.357|19|24|.792|11|31|18|8|3|10|17||28|54|.519|8|19|.421|14|19|.737|8|30|16|4|2|14|19
29|29|2013-03-02||Rhode Island|W|76|70|27|59|.458|9|24|.375|13|24|.542|17|38|16|6|6|14|19||25|55|.455|10|20|.500|10|20|.500|9|29|13|6|0|12|23
30|30|2013-03-06|@|Fordham|W|74|55|25|59|.424|2|14|.143|22|29|.759|14|42|13|7|0|11|14||21|61|.344|5|18|.278|8|15|.533|12|36|11|3|4|13|23
31|31|2013-03-10||Virginia Commonwealth|W|84|76|24|51|.471|10|24|.417|26|31|.839|7|27|16|9|6|13|14||29|63|.460|8|15|.533|10|10|1.000|11|29|18|5|1|14|22
32|32|2013-03-15|N|Massachusetts|L|74|79|26|62|.419|8|27|.296|14|15|.933|9|22|13|9|2|10|20||25|51|.490|6|16|.375|23|27|.852|10|36|11|6|4|19|16
33|33|2013-03-22|N|North Carolina State|W|76|72|24|50|.480|7|18|.389|21|33|.636|4|22|13|5|4|5|15||29|52|.558|4|13|.308|10|16|.625|7|34|14|3|2|13|24
34|34|2013-03-24|N|Indiana|L|52|58|21|62|.339|3|24|.125|7|8|.875|11|31|8|5|4|10|18||19|45|.422|4|13|.308|16|20|.800|4|31|9|0|2|12|8
