ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-09||District of Columbia|W|78|58|27|59|.458|5|17|.294|19|29|.655|9|37|14|13|1|16|20||17|49|.347|9|28|.321|15|18|.833|2|24|12|7|2|22|20
2|2|2012-11-11||Marshall|W|80|68|23|46|.500|9|22|.409|25|37|.676|7|34|14|8|1|17|13||24|53|.453|12|27|.444|8|15|.533|3|23|16|9|2|16|26
3|3|2012-11-15|N|Purdue|W (1 OT)|89|81|24|64|.375|8|24|.333|33|41|.805|11|38|11|7|4|18|22||30|77|.390|5|23|.217|16|28|.571|16|45|19|9|7|16|33
4|4|2012-11-16|N|Alabama|L|55|77|15|47|.319|5|16|.313|20|26|.769|5|25|6|5|1|13|25||25|44|.568|9|15|.600|18|31|.581|6|31|13|10|2|14|25
5|5|2012-11-20||Columbia|L|57|75|19|51|.373|3|17|.176|16|28|.571|10|33|11|7|4|15|19||19|50|.380|11|31|.355|26|30|.867|8|31|14|12|1|12|21
6|6|2012-11-25|@|La Salle|L (1 OT)|74|77|26|55|.473|4|12|.333|18|26|.692|11|36|18|5|4|17|20||26|64|.406|9|26|.346|16|21|.762|10|28|15|10|3|11|19
7|7|2012-12-01|@|Vanderbilt|W|62|52|19|46|.413|6|15|.400|18|25|.720|8|33|9|6|3|13|15||17|46|.370|9|26|.346|9|14|.643|4|27|12|5|2|13|18
8|8|2012-12-05||Temple|L|61|76|21|47|.447|5|15|.333|14|20|.700|7|31|9|5|6|20|22||26|61|.426|10|27|.370|14|22|.636|6|26|18|11|3|10|17
9|9|2012-12-08|@|Pennsylvania|W|68|55|18|46|.391|6|17|.353|26|38|.684|13|34|10|8|3|15|22||13|39|.333|7|20|.350|22|33|.667|5|25|13|8|1|17|30
10|10|2012-12-11||Saint Joseph's|W|65|61|22|61|.361|8|24|.333|13|17|.765|13|36|11|8|1|13|16||18|47|.383|10|26|.385|15|22|.682|6|26|16|9|6|18|16
