ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-09||Florida Gulf Coast|W|80|57|32|73|.438|8|30|.267|8|14|.571|21|42|22|20|3|14|20||20|44|.455|4|13|.308|13|21|.619|7|26|13|8|4|25|15
2|2|2012-11-13||Wichita State|L|51|53|17|49|.347|5|14|.357|12|23|.522|9|32|11|9|2|14|15||20|57|.351|3|19|.158|10|16|.625|13|35|9|8|7|13|20
3|3|2012-11-17|@|Winthrop|W|90|54|30|55|.545|13|25|.520|17|20|.850|12|29|19|13|5|13|20||18|50|.360|6|18|.333|12|17|.706|11|25|7|5|0|21|16
4|4|2012-11-22|N|Memphis|W|78|65|26|54|.481|13|22|.591|13|20|.650|9|28|17|14|0|17|19||27|51|.529|2|7|.286|9|16|.563|7|26|8|8|4|22|22
5|5|2012-11-23|N|Duke|L|58|67|21|63|.333|4|18|.222|12|19|.632|15|37|4|5|1|10|21||20|48|.417|3|15|.200|24|27|.889|4|31|14|4|8|8|18
6|6|2012-11-24|N|Missouri|L|65|68|27|65|.415|8|26|.308|3|6|.500|8|25|9|4|0|8|13||28|57|.491|8|19|.421|4|6|.667|12|36|12|3|2|13|11
7|7|2012-11-28||Stetson|W|92|56|36|69|.522|5|22|.227|15|22|.682|16|40|21|14|5|8|20||16|47|.340|3|18|.167|21|29|.724|9|28|14|5|1|22|21
8|8|2012-12-01||Belmont|W|75|65|28|60|.467|4|19|.211|15|22|.682|16|34|11|14|2|15|9||27|50|.540|7|20|.350|4|6|.667|5|23|14|8|2|22|18
9|9|2012-12-07|@|Old Dominion|W|83|70|26|57|.456|11|21|.524|20|29|.690|12|30|19|9|4|12|23||25|60|.417|3|12|.250|17|28|.607|19|40|12|9|2|14|23
10|10|2012-12-15||Alabama|W|73|54|24|51|.471|9|25|.360|16|22|.727|9|29|16|11|5|11|20||16|41|.390|3|11|.273|19|25|.760|6|21|8|7|1|16|22
11|11|2012-12-18||Western Kentucky|W|76|44|28|66|.424|8|24|.333|12|17|.706|14|34|17|20|5|11|23||15|42|.357|6|15|.400|8|17|.471|11|33|8|4|4|32|18
12|12|2012-12-21||Longwood|W|93|56|36|70|.514|14|28|.500|7|9|.778|12|33|27|19|7|12|15||22|53|.415|6|15|.400|6|12|.500|9|28|9|9|2|25|10
13|13|2012-12-29||Fairleigh Dickinson|W|96|67|37|85|.435|13|34|.382|9|16|.563|20|42|26|20|3|15|20||24|48|.500|2|13|.154|17|25|.680|5|32|16|11|4|33|14
14|14|2013-01-02|@|East Tennessee State|W|109|58|40|73|.548|16|34|.471|13|22|.591|21|49|18|14|4|14|20||18|50|.360|6|22|.273|16|22|.727|3|19|7|5|5|24|20
