ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-10||Eastern Washington|W|88|69|29|53|.547|4|13|.308|26|40|.650|8|43|13|7|6|15|17||25|72|.347|15|39|.385|4|12|.333|12|27|10|7|4|14|26
2|2|2012-11-14||Utah Valley|W|72|49|29|56|.518|8|24|.333|6|8|.750|6|25|16|5|1|5|8||19|43|.442|5|11|.455|6|10|.600|4|20|10|2|1|13|9
3|3|2012-11-16|@|Pepperdine|L (1 OT)|56|58|19|47|.404|6|17|.353|12|18|.667|8|34|14|4|1|19|9||23|55|.418|7|19|.368|5|9|.556|6|25|16|9|3|13|21
4|4|2012-11-19|N|Kansas|L|41|78|17|57|.298|4|22|.182|3|3|1.000|8|26|7|1|1|14|20||25|55|.455|8|24|.333|20|22|.909|10|35|15|6|9|9|11
5|5|2012-11-20|N|Texas A&M|L|54|55|19|40|.475|7|14|.500|9|14|.643|2|19|11|3|5|13|16||19|52|.365|5|16|.313|12|18|.667|13|32|8|10|4|10|18
6|6|2012-11-24||Arkansas-Pine Bluff|W|66|38|23|48|.479|8|25|.320|12|12|1.000|5|32|20|5|3|13|14||15|50|.300|4|18|.222|4|9|.444|8|23|6|7|1|12|14
7|7|2012-11-28||Idaho|W|64|55|26|57|.456|3|15|.200|9|17|.529|10|32|9|4|4|3|10||22|53|.415|5|16|.313|6|10|.600|6|29|13|2|2|11|17
8|8|2012-12-01||Portland|W|72|60|24|56|.429|7|17|.412|17|22|.773|10|38|14|6|4|11|19||18|50|.360|11|25|.440|13|22|.591|3|24|14|5|6|9|19
9|9|2012-12-05||Gonzaga|L|69|71|24|53|.453|10|27|.370|11|18|.611|8|28|12|5|4|15|19||28|55|.509|7|16|.438|8|15|.533|9|28|13|7|2|16|18
10|10|2012-12-09||Fresno State|W|59|50|19|47|.404|4|10|.400|17|24|.708|8|36|11|4|5|17|15||18|60|.300|2|20|.100|12|17|.706|14|34|3|9|7|14|20
