ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2013-11-08||Oakland City|W|84|69|29|55|.527|6|18|.333|20|36|.556|15|45|20|8|4|17|14||25|61|.410|10|23|.435|9|17|.529|9|24|15|6|3|15|26
2|2|2013-11-14|@|Memphis|L|69|95|29|63|.460|4|14|.286|7|19|.368|8|25|15|14|8|21|19||37|69|.536|4|13|.308|17|24|.708|14|45|23|15|4|21|20
3|3|2013-11-19||Southern Illinois|W|72|70|23|52|.442|4|18|.222|22|33|.667|8|32|13|5|13|12|22||27|66|.409|2|10|.200|14|23|.609|15|44|11|5|2|15|27
4|4|2013-11-21|@|Central Michigan|L|75|90|30|57|.526|7|18|.389|8|11|.727|9|31|12|5|8|18|19||29|69|.420|8|27|.296|24|26|.923|17|35|19|8|2|8|14
5|5|2013-11-22|N|Cal State Northridge|L (1 OT)|77|80|21|54|.389|6|26|.231|29|37|.784|12|29|14|8|3|18|18||27|59|.458|5|11|.455|21|25|.840|12|32|15|11|3|19|28
6|6|2013-11-23|N|Montana State|W|78|72|24|48|.500|3|11|.273|27|42|.643|3|30|12|8|6|12|18||26|64|.406|8|23|.348|12|15|.800|10|33|9|4|2|16|29
7|7|2013-11-30|@|Youngstown State|W|88|86|35|60|.583|4|10|.400|14|20|.700|7|28|20|5|5|16|20||27|59|.458|8|26|.308|24|30|.800|7|26|19|11|1|12|19
8|8|2013-12-04||East Tennessee State|L|74|80|25|54|.463|6|18|.333|18|25|.720|7|28|17|6|6|20|18||30|64|.469|7|22|.318|13|25|.520|13|38|17|9|4|16|19
9|9|2013-12-07|@|Samford|L|63|85|16|57|.281|2|20|.100|29|37|.784|11|30|13|12|4|19|14||28|51|.549|13|22|.591|16|20|.800|7|32|25|11|7|20|24
10|10|2013-12-14||Liberty|W|77|71|25|48|.521|6|10|.600|21|33|.636|8|26|17|6|7|12|11||28|62|.452|5|19|.263|10|13|.769|14|36|14|5|2|15|20
11|11|2013-12-17|@|Vanderbilt|L|56|58|23|67|.343|3|13|.231|7|10|.700|13|36|8|9|3|14|19||19|51|.373|4|20|.200|16|24|.667|11|41|9|5|9|18|14
12|12|2013-12-19||Lipscomb|L|83|88|28|54|.519|7|19|.368|20|26|.769|8|32|14|5|4|22|23||25|52|.481|13|28|.464|25|33|.758|6|27|17|10|0|16|26
13|13|2013-12-21|@|East Tennessee State|L|79|84|30|61|.492|10|23|.435|9|15|.600|10|37|17|5|1|19|17||30|64|.469|7|23|.304|17|20|.850|8|29|12|13|5|12|12
14|14|2013-12-30||Dalton State|W|93|57|37|53|.698|11|20|.550|8|16|.500|5|40|27|7|4|19|13||19|64|.297|8|32|.250|11|15|.733|9|25|10|10|1|10|14
15|15|2014-01-02||Tennessee-Martin|W|81|68|30|59|.508|8|18|.444|13|26|.500|7|34|17|9|10|9|16||25|66|.379|6|21|.286|12|16|.750|13|40|12|7|4|13|21
16|16|2014-01-04||Southeast Missouri State|W|80|74|27|52|.519|5|14|.357|21|31|.677|6|28|13|7|5|9|15||29|58|.500|7|22|.318|9|15|.600|11|35|12|4|3|18|24
17|17|2014-01-11|@|Murray State|L|67|89|28|63|.444|4|11|.364|7|14|.500|9|31|14|2|6|12|22||30|63|.476|8|21|.381|21|28|.750|10|35|15|4|6|10|16
18|18|2014-01-16|@|Southern Illinois-Edwardsville|L|67|71|25|48|.521|4|15|.267|13|19|.684|8|32|16|5|2|22|9||28|57|.491|6|21|.286|9|15|.600|5|22|17|12|0|10|17
19|19|2014-01-18|@|Eastern Illinois|L|64|67|23|47|.489|3|14|.214|15|21|.714|9|25|13|5|1|13|11||26|49|.531|7|16|.438|8|11|.727|6|23|14|4|4|12|17
20|20|2014-01-23||Jacksonville State|L|59|71|21|49|.429|3|13|.231|14|27|.519|8|27|11|4|7|14|17||24|55|.436|6|16|.375|17|18|.944|9|36|13|11|3|12|19
21|21|2014-01-25||Tennessee Tech|W|83|69|25|37|.676|7|12|.583|26|32|.813|6|28|17|7|5|17|19||22|59|.373|7|22|.318|18|23|.783|15|24|11|7|2|14|25
22|22|2014-01-31||Murray State|L|88|96|32|65|.492|3|12|.250|21|31|.677|11|30|13|6|9|7|16||39|71|.549|10|21|.476|8|17|.471|15|42|20|4|3|13|24
23|23|2014-02-06|@|Tennessee State|W|75|65|27|49|.551|5|10|.500|16|29|.552|6|29|10|6|7|12|18||23|63|.365|3|18|.167|16|23|.696|16|35|10|6|2|13|23
24|24|2014-02-08|@|Belmont|L|68|93|23|55|.418|3|11|.273|19|30|.633|13|34|10|4|1|15|14||35|66|.530|13|30|.433|10|11|.909|8|31|22|8|3|10|24
25|25|2014-02-13||Eastern Illinois|W|88|83|25|44|.568|7|10|.700|31|45|.689|8|30|14|11|3|14|14||31|63|.492|11|28|.393|10|11|.909|10|29|17|7|2|15|27
26|26|2014-02-15||Southern Illinois-Edwardsville|L|68|83|21|51|.412|5|18|.278|21|33|.636|4|20|13|9|5|11|19||28|49|.571|7|15|.467|20|25|.800|4|34|11|4|6|16|25
27|27|2014-02-19|@|Morehead State|L (2 OT)|88|90|29|57|.509|5|13|.385|25|35|.714|10|32|11|9|10|21|26||27|64|.422|10|29|.345|26|35|.743|14|34|21|8|5|19|28
28|28|2014-02-22||Eastern Kentucky|L|75|96|29|50|.580|3|12|.250|14|20|.700|7|26|13|6|1|20|18||33|57|.579|17|32|.531|13|20|.650|6|21|25|10|0|10|15
29|29|2014-02-27|@|Southeast Missouri State|L|80|83|27|61|.443|7|15|.467|19|26|.731|9|32|16|9|2|18|18||33|55|.600|3|12|.250|14|23|.609|7|32|22|10|6|16|18
30|30|2014-03-01|@|Tennessee-Martin|W|88|85|30|62|.484|7|23|.304|21|25|.840|14|36|24|4|6|13|20||28|67|.418|11|28|.393|18|21|.857|17|37|18|6|5|12|22
