ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2013-11-11||South Dakota|W|71|66|24|66|.364|10|28|.357|13|18|.722|16|40|12|5|3|10|18||22|59|.373|5|18|.278|17|20|.850|9|36|14|5|1|12|17
2|2|2013-11-16|@|St. Bonaventure|L|64|86|24|62|.387|4|11|.364|12|17|.706|9|18|8|5|5|15|17||34|62|.548|1|4|.250|17|21|.810|10|38|15|9|3|15|21
3|3|2013-11-18|@|Rutgers|L|51|66|20|60|.333|6|20|.300|5|9|.556|9|33|5|2|2|8|19||23|63|.365|6|26|.231|14|22|.636|15|45|15|4|4|7|15
4|4|2013-11-19|N|Elon|W|86|85|30|52|.577|4|15|.267|22|34|.647|7|23|10|10|1|11|24||26|57|.456|9|19|.474|24|27|.889|9|30|13|5|1|15|25
5|5|2013-11-25|N|Georgia State|W|79|71|29|58|.500|13|23|.565|8|11|.727|8|33|13|2|1|15|20||27|63|.429|3|20|.150|14|20|.700|14|32|13|9|3|10|13
6|6|2013-12-06||Saint Peter's|W|82|67|29|60|.483|7|22|.318|17|23|.739|9|25|16|7|5|6|15||25|54|.463|4|12|.333|13|19|.684|9|31|12|4|4|13|17
7|7|2013-12-08||Siena|W|93|78|31|63|.492|15|26|.577|16|24|.667|10|23|24|9|7|9|17||32|57|.561|1|9|.111|13|19|.684|12|31|21|4|3|16|16
8|8|2013-12-11|N|Buffalo|W|69|55|25|57|.439|6|17|.353|13|25|.520|11|32|9|7|3|6|12||23|54|.426|6|23|.261|3|8|.375|10|28|13|2|3|15|23
9|9|2013-12-14|@|St. Francis (NY)|L|51|67|17|49|.347|2|13|.154|15|18|.833|3|24|7|8|4|12|16||27|60|.450|3|17|.176|10|12|.833|12|37|17|8|6|9|18
10|10|2013-12-16|@|Holy Cross|W|83|73|26|55|.473|8|20|.400|23|28|.821|10|36|13|7|5|13|20||23|57|.404|7|24|.292|20|26|.769|10|30|14|4|2|13|22
11|11|2013-12-21||Lamar|W|87|74|29|62|.468|10|20|.500|19|26|.731|11|31|20|9|1|10|15||27|55|.491|5|17|.294|15|20|.750|8|31|20|5|1|17|24
12|12|2013-12-29|@|Notre Dame|L (1 OT)|81|87|30|67|.448|10|21|.476|11|12|.917|10|30|14|12|3|14|19||31|66|.470|8|19|.421|17|21|.810|14|41|17|6|2|16|12
13|13|2014-01-04|@|Saint Peter's|W|67|63|24|54|.444|10|25|.400|9|10|.900|8|27|10|6|5|12|16||23|57|.404|9|19|.474|8|12|.667|12|29|12|6|3|13|14
14|14|2014-01-06|@|Marist|L|62|65|24|62|.387|9|24|.375|5|9|.556|13|31|8|6|4|9|15||23|49|.469|8|20|.400|11|17|.647|6|29|13|7|4|13|13
15|15|2014-01-10||Rider|W (2 OT)|94|91|29|53|.547|10|25|.400|26|35|.743|10|29|16|5|9|14|23||29|59|.492|10|24|.417|23|27|.852|7|22|16|7|2|11|28
16|16|2014-01-12||Monmouth|W|87|67|26|53|.491|14|30|.467|21|30|.700|8|30|20|7|6|7|24||21|52|.404|4|17|.235|21|30|.700|12|28|10|3|0|12|21
17|17|2014-01-17|@|Iona|W|85|83|32|62|.516|10|21|.476|11|16|.688|11|34|15|5|3|11|12||32|66|.485|12|31|.387|7|10|.700|9|28|22|8|2|8|16
18|18|2014-01-19|@|Monmouth|L|82|83|26|51|.510|12|25|.480|18|22|.818|7|28|9|9|4|24|22||30|57|.526|8|20|.400|15|26|.577|9|27|12|13|3|19|21
19|19|2014-01-22||Niagara|W|87|74|28|56|.500|5|18|.278|26|29|.897|8|31|12|5|7|5|14||29|62|.468|9|19|.474|7|16|.438|12|33|14|5|0|9|23
20|20|2014-01-26||Marist|W|78|65|24|51|.471|6|20|.300|24|28|.857|7|27|8|9|1|17|16||26|58|.448|2|13|.154|11|16|.688|10|27|10|11|3|17|23
21|21|2014-01-30|@|Quinnipiac|W|86|74|29|56|.518|8|19|.421|20|28|.714|6|36|15|5|3|10|18||26|70|.371|6|27|.222|16|19|.842|14|37|19|4|0|7|23
22|22|2014-02-01|@|Fairfield|W|84|58|27|62|.435|5|17|.294|25|32|.781|11|36|11|7|0|8|16||22|66|.333|9|37|.243|5|13|.385|17|42|11|0|1|18|23
23|23|2014-02-07||Manhattan|L|73|84|26|64|.406|6|14|.429|15|24|.625|10|29|14|10|4|11|19||30|58|.517|11|22|.500|13|24|.542|12|39|22|7|12|20|21
24|24|2014-02-09||Iona|L|91|101|33|70|.471|9|21|.429|16|21|.762|11|34|16|5|2|11|21||31|66|.470|13|28|.464|26|31|.839|10|33|22|5|6|8|16
25|25|2014-02-14|@|Niagara|W|71|65|25|59|.424|4|20|.200|17|22|.773|10|34|12|4|7|13|13||26|70|.371|4|18|.222|9|15|.600|16|41|13|9|1|13|19
26|26|2014-02-16|@|Siena|W (3 OT)|92|88|27|61|.443|5|25|.200|33|41|.805|8|31|12|9|8|15|23||29|67|.433|9|27|.333|21|31|.677|13|37|18|6|4|18|29
27|27|2014-02-20||Quinnipiac|L|81|88|33|75|.440|8|21|.381|7|10|.700|8|24|15|8|2|5|24||25|56|.446|7|15|.467|31|36|.861|13|41|18|1|4|14|12
28|28|2014-02-22||Fairfield|W|90|78|27|52|.519|7|18|.389|29|40|.725|12|30|18|9|4|14|20||24|57|.421|9|26|.346|21|29|.724|15|30|14|11|0|15|26
29|29|2014-02-28|@|Rider|W|79|66|29|54|.537|10|21|.476|11|14|.786|5|30|16|9|2|11|17||20|50|.400|11|27|.407|15|20|.750|6|26|13|7|0|16|13
30|30|2014-03-02|@|Manhattan|L|63|68|20|53|.377|6|20|.300|17|22|.773|14|32|8|8|5|16|19||24|48|.500|6|15|.400|14|24|.583|8|25|13|10|3|13|16
31|31|2014-03-08|N|Siena|W|71|65|23|48|.479|10|22|.455|15|19|.789|11|28|11|9|4|16|16||24|49|.490|6|17|.353|11|15|.733|8|23|15|5|3|15|17
32|32|2014-03-09|N|Iona|L|72|75|26|60|.433|7|26|.269|13|18|.722|13|33|10|7|1|5|11||29|56|.518|10|29|.345|7|10|.700|9|29|18|3|2|8|17
33|33|2014-03-18||Virginia Military Institute|L|100|111|37|72|.514|11|24|.458|15|21|.714|10|34|15|4|6|12|23||36|72|.500|9|30|.300|30|34|.882|12|37|20|5|6|10|18
