ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2013-11-08|@|Wake Forest|L|78|89|26|62|.419|14|34|.412|12|16|.750|7|35|17|2|3|14|24||31|64|.484|3|14|.214|24|36|.667|7|38|13|7|2|5|19
2|2|2013-11-16|@|Syracuse|L|50|69|17|47|.362|11|28|.393|5|10|.500|6|27|11|4|3|17|20||25|68|.368|7|24|.292|12|28|.429|24|48|10|12|4|10|10
3|3|2013-11-20||Cornell|W|81|58|29|53|.547|11|23|.478|12|14|.857|4|26|19|5|3|9|11||24|59|.407|4|20|.200|6|7|.857|7|23|7|4|1|14|15
4|4|2013-11-23||Saint Francis (PA)|W|81|64|32|55|.582|12|21|.571|5|8|.625|5|25|20|7|4|8|9||24|58|.414|11|26|.423|5|7|.714|7|25|15|4|0|13|14
5|5|2013-11-26|@|Tulane|W|98|86|34|52|.654|17|27|.630|13|20|.650|3|25|22|6|2|9|26||25|50|.500|6|15|.400|30|40|.750|9|27|10|5|1|10|19
6|6|2013-12-01|@|Binghamton|W|93|64|34|51|.667|15|24|.625|10|12|.833|1|23|18|8|1|10|20||22|53|.415|8|17|.471|12|21|.571|6|22|12|3|1|12|15
7|7|2013-12-07|@|Georgetown|L|55|61|16|50|.320|5|24|.208|18|23|.783|7|28|8|6|2|9|20||21|56|.375|1|15|.067|18|25|.720|14|41|10|5|4|11|16
8|8|2013-12-10||Fordham|L|73|77|29|57|.509|8|23|.348|7|12|.583|8|26|19|5|0|15|20||25|55|.455|4|13|.308|23|27|.852|10|29|5|7|1|12|14
9|9|2013-12-14|@|Albany (NY)|W|69|60|26|55|.473|13|28|.464|4|5|.800|4|27|14|0|1|8|13||26|60|.433|2|10|.200|6|12|.500|10|33|12|3|2|6|12
10|10|2013-12-22||Ursinus|W|79|51|29|60|.483|9|31|.290|12|20|.600|9|38|23|6|3|9|14||18|50|.360|6|22|.273|9|16|.563|5|28|12|3|0|12|15
11|11|2013-12-30||Columbia|L (2 OT)|70|76|27|61|.443|5|14|.357|11|13|.846|8|38|8|2|2|9|18||26|63|.413|8|27|.296|16|22|.727|10|35|12|6|4|4|13
