ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2013-11-08|N|Maryland|W|78|77|30|58|.517|10|23|.435|8|13|.615|7|28|16|10|6|11|22||24|57|.421|8|19|.421|21|28|.750|11|28|15|5|0|13|17
2|2|2013-11-11||Yale|W|80|62|26|46|.565|11|17|.647|17|23|.739|4|26|16|7|13|11|23||20|63|.317|6|19|.316|16|25|.640|17|36|11|4|4|14|24
3|3|2013-11-14||Detroit Mercy|W|101|55|35|62|.565|11|19|.579|20|28|.714|10|42|21|4|7|9|14||21|69|.304|3|23|.130|10|15|.667|11|30|7|8|3|10|26
4|4|2013-11-17||Boston University|W|77|60|27|55|.491|8|17|.471|15|18|.833|13|34|12|4|2|10|17||21|61|.344|8|32|.250|10|14|.714|15|30|10|4|1|13|18
5|5|2013-11-21|N|Boston College|W|72|70|22|56|.393|3|14|.214|25|29|.862|5|24|7|6|6|3|20||19|48|.396|8|25|.320|24|25|.960|3|25|13|1|1|9|20
6|6|2013-11-22|N|Indiana|W|59|58|21|53|.396|6|19|.316|11|17|.647|7|28|7|12|6|16|18||20|49|.408|3|12|.250|15|22|.682|11|32|10|4|1|19|17
7|7|2013-11-26||Loyola (MD)|W|76|66|28|55|.509|6|14|.429|14|20|.700|8|37|17|5|11|14|16||25|70|.357|7|20|.350|9|16|.563|16|35|16|11|2|10|17
8|8|2013-12-02||Florida|W|65|64|23|53|.434|11|24|.458|8|11|.727|7|23|10|6|3|14|18||25|51|.490|3|9|.333|11|17|.647|10|30|8|8|2|16|14
9|9|2013-12-06||Maine|W|95|68|32|60|.533|14|25|.560|17|28|.607|9|38|23|9|6|12|21||22|54|.407|6|17|.353|18|26|.692|6|24|12|7|0|14|19
10|10|2013-12-18||Stanford|L|51|53|19|60|.317|6|22|.273|7|10|.700|4|30|11|4|8|8|14||21|60|.350|6|15|.400|5|12|.417|8|37|11|4|9|7|12
11|11|2013-12-22|@|Washington|W|82|70|28|51|.549|4|12|.333|22|25|.880|10|26|7|8|4|15|19||24|54|.444|5|18|.278|17|20|.850|10|23|10|7|4|15|21
12|12|2013-12-28|N|Eastern Washington|W|82|65|27|59|.458|3|10|.300|25|27|.926|12|36|13|9|8|11|13||25|67|.373|9|28|.321|6|7|.857|13|33|11|5|4|15|23
13|13|2013-12-31|@|Houston|L|71|75|23|56|.411|7|22|.318|18|22|.818|9|28|14|7|5|7|18||26|53|.491|7|14|.500|16|19|.842|7|30|14|1|3|11|18
14|14|2014-01-04|@|Southern Methodist|L|65|74|18|49|.367|5|16|.313|24|30|.800|10|28|12|8|7|11|24||25|53|.472|7|16|.438|17|26|.654|13|35|16|4|1|11|22
15|15|2014-01-08||Harvard|W|61|56|18|45|.400|8|14|.571|17|25|.680|7|32|10|8|9|15|16||20|56|.357|9|22|.409|7|10|.700|9|29|12|9|3|13|20
16|16|2014-01-11||Central Florida|W|84|61|29|63|.460|5|17|.294|21|26|.808|15|44|19|8|14|9|18||20|64|.313|5|21|.238|16|25|.640|10|29|7|7|2|10|21
17|17|2014-01-16|@|Memphis|W|83|73|32|56|.571|8|19|.421|11|13|.846|12|32|17|6|4|14|21||27|62|.435|7|17|.412|12|17|.706|13|24|17|4|3|9|18
