ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2013-11-08|@|California|L|64|83|23|69|.333|9|30|.300|9|13|.692|8|32|9|5|3|6|16||32|67|.478|9|26|.346|10|20|.500|13|49|23|4|8|7|14
2|2|2013-11-10|@|Oregon State|W|78|73|25|58|.431|10|25|.400|18|27|.667|10|38|15|7|3|11|20||23|59|.390|7|27|.259|20|28|.714|8|33|13|7|2|9|21
3|3|2013-11-18||Wagner|L|87|102|20|53|.377|7|22|.318|40|47|.851|7|28|8|5|1|13|21||35|59|.593|12|21|.571|20|33|.606|10|37|23|8|2|15|31
4|4|2013-11-25||Ohio Valley|W|96|79|32|62|.516|5|15|.333|27|41|.659|15|40|13|15|2|15|21||24|62|.387|15|37|.405|16|22|.727|11|35|15|6|3|25|30
5|5|2013-11-29|@|Michigan|L|45|87|16|46|.348|2|17|.118|11|17|.647|4|17|6|3|3|9|14||32|62|.516|10|29|.345|13|14|.929|16|43|19|2|6|7|17
6|6|2013-12-01|@|Gonzaga|L|51|86|18|56|.321|2|18|.111|13|17|.765|9|27|6|4|1|10|17||31|62|.500|12|26|.462|12|21|.571|17|44|19|5|5|9|13
7|7|2013-12-07|@|Delaware State|W|73|54|27|51|.529|10|20|.500|9|11|.818|6|30|16|5|2|9|14||17|44|.386|7|25|.280|13|16|.813|6|22|11|4|5|12|12
8|8|2013-12-11||Maryland-Baltimore County|W|91|71|26|57|.456|11|24|.458|28|35|.800|11|35|18|7|7|11|18||23|58|.397|10|24|.417|15|23|.652|12|35|16|3|5|16|25
9|9|2013-12-14|@|Richmond|L|49|71|14|49|.286|3|16|.188|18|24|.750|9|31|3|5|2|13|17||26|52|.500|7|22|.318|12|19|.632|10|36|13|6|6|10|18
10|10|2013-12-20|N|Southern Mississippi|L|74|88|21|46|.457|5|19|.263|27|34|.794|8|22|11|7|2|14|17||35|59|.593|6|21|.286|12|30|.400|14|34|27|8|4|10|26
11|11|2013-12-21|N|Jacksonville State|L|61|72|19|49|.388|6|18|.333|17|22|.773|8|32|10|6|2|14|13||25|58|.431|9|23|.391|13|19|.684|11|31|17|8|4|9|18
12|12|2013-12-28|@|Toledo|L|66|85|23|58|.397|4|16|.250|16|18|.889|6|22|7|5|3|9|23||29|59|.492|8|22|.364|19|31|.613|17|46|19|1|4|11|16
13|13|2013-12-31|@|Akron|L|66|77|25|67|.373|8|26|.308|8|11|.727|12|32|10|7|0|10|18||23|51|.451|11|29|.379|20|29|.690|7|35|18|7|4|11|14
14|14|2014-01-04||Towson|L|79|81|27|74|.365|10|28|.357|15|19|.789|14|34|13|4|0|5|18||26|56|.464|10|24|.417|19|23|.826|9|42|15|3|3|16|22
15|15|2014-01-11||Savannah State|L|53|75|23|55|.418|6|19|.316|1|11|.091|11|21|10|4|1|18|13||28|48|.583|11|21|.524|8|11|.727|8|32|10|6|5|20|20
16|16|2014-01-13||South Carolina State|W|75|69|25|59|.424|6|23|.261|19|24|.792|12|35|19|5|3|13|15||26|59|.441|4|15|.267|13|18|.722|8|29|16|5|2|13|22
17|17|2014-01-18|@|Hampton|W|71|68|20|58|.345|7|25|.280|24|32|.750|15|31|6|7|2|19|21||24|44|.545|6|11|.545|14|27|.519|5|30|16|10|6|22|24
18|18|2014-01-20|@|Norfolk State|L|71|83|23|59|.390|9|27|.333|16|21|.762|9|28|11|6|2|12|20||31|62|.500|6|19|.316|15|22|.682|17|38|18|8|4|14|25
19|19|2014-01-25|@|North Carolina Central|L|63|87|20|60|.333|8|24|.333|15|19|.789|9|30|12|5|3|10|14||32|62|.516|9|16|.563|14|16|.875|10|39|20|7|9|11|18
20|20|2014-01-27|@|North Carolina A&T|W|70|54|23|55|.418|13|30|.433|11|16|.688|11|36|14|6|3|16|14||20|56|.357|5|22|.227|9|15|.600|9|31|12|5|6|16|17
21|21|2014-02-01||Hampton|L (1 OT)|76|79|21|63|.333|10|32|.313|24|35|.686|17|34|14|8|1|15|24||27|56|.482|6|21|.286|19|31|.613|13|39|14|8|5|17|31
22|22|2014-02-03||Delaware State|W|54|53|14|40|.350|5|18|.278|21|29|.724|9|29|9|3|0|9|13||22|48|.458|3|11|.273|6|8|.750|6|25|15|1|2|8|20
23|23|2014-02-08|@|Maryland-Eastern Shore|W|58|50|19|57|.333|7|19|.368|13|18|.722|14|33|7|4|3|8|16||17|52|.327|3|9|.333|13|15|.867|11|35|6|4|2|10|20
24|24|2014-02-10||Morgan State|L|77|82|27|69|.391|4|22|.182|19|25|.760|12|33|15|3|1|11|18||31|55|.564|5|15|.333|15|26|.577|7|29|18|7|5|14|23
25|25|2014-02-15|@|Florida A&M|L|71|82|24|64|.375|11|30|.367|12|18|.667|9|27|14|6|2|10|15||32|68|.471|10|26|.385|8|13|.615|16|49|18|3|6|13|12
26|26|2014-02-19|@|Morgan State|L|69|78|26|67|.388|5|18|.278|12|15|.800|15|32|11|6|1|8|16||29|58|.500|7|18|.389|13|21|.619|13|37|21|5|5|10|14
27|27|2014-02-22||Norfolk State|L|68|73|20|55|.364|10|30|.333|18|21|.857|4|21|13|7|3|9|13||27|54|.500|7|23|.304|12|18|.667|11|39|17|5|1|17|18
28|28|2014-03-01||Maryland-Eastern Shore|L|67|68|24|59|.407|8|22|.364|11|16|.688|5|32|14|6|4|12|14||26|67|.388|6|18|.333|10|15|.667|17|46|15|10|3|13|13
29|29|2014-03-03||Howard|W|86|69|28|62|.452|12|29|.414|18|26|.692|7|27|22|12|1|10|19||22|54|.407|7|22|.318|18|27|.667|13|39|12|7|7|21|22
30|30|2014-03-11|N|Bethune-Cookman|W|75|68|24|49|.490|8|19|.421|19|28|.679|10|35|19|5|2|14|16||24|58|.414|9|29|.310|11|13|.846|9|27|14|6|3|9|20
31|31|2014-03-12|N|Hampton|W|83|77|23|50|.460|8|20|.400|29|41|.707|5|32|9|8|5|16|20||27|75|.360|7|28|.250|16|24|.667|22|43|10|7|1|17|32
32|32|2014-03-14|N|Morgan State|L|64|79|22|64|.344|6|24|.250|14|25|.560|11|31|5|6|1|9|17||32|68|.471|4|16|.250|11|14|.786|14|45|16|1|8|16|22
