ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2013-11-09|@|Cleveland State|L|69|73|24|65|.369|6|22|.273|15|21|.714|12|36|12|5|6|14|16||28|76|.368|7|19|.368|10|15|.667|17|43|15|10|8|11|17
2|2|2013-11-16||Wofford|W|76|55|26|56|.464|9|23|.391|15|18|.833|15|33|15|5|5|11|16||21|50|.420|6|21|.286|7|9|.778|8|22|13|2|1|12|15
3|3|2013-11-19|@|Kansas|L|66|86|22|57|.386|10|31|.323|12|19|.632|6|26|12|3|1|11|19||33|58|.569|4|14|.286|16|25|.640|9|40|23|5|5|11|13
4|4|2013-11-23||George Mason|W|89|73|31|62|.500|7|24|.292|20|24|.833|6|34|19|9|5|10|23||25|62|.403|4|14|.286|19|25|.760|7|31|13|1|2|15|19
5|5|2013-12-01|@|Florida Gulf Coast|W|90|72|33|59|.559|14|27|.519|10|17|.588|5|29|16|9|0|9|13||30|61|.492|7|19|.368|5|9|.556|6|28|14|1|3|13|15
6|6|2013-12-04||Marist|W|83|74|30|54|.556|17|30|.567|6|14|.429|6|32|26|5|3|15|16||28|62|.452|5|17|.294|13|19|.684|8|32|12|7|3|9|13
7|7|2013-12-08|@|Fairfield|W|83|72|28|58|.483|4|17|.235|23|35|.657|3|33|12|8|3|10|16||26|73|.356|8|26|.308|12|15|.800|10|39|14|1|4|12|24
8|8|2013-12-14||St. Bonaventure|L|89|102|29|58|.500|10|24|.417|21|28|.750|7|26|22|6|6|15|24||36|66|.545|8|16|.500|22|33|.667|12|36|18|4|2|14|24
9|9|2013-12-19|@|Dayton|L|84|96|31|60|.517|12|26|.462|10|18|.556|8|26|20|4|2|11|19||36|65|.554|8|20|.400|16|25|.640|15|39|22|5|2|11|20
10|10|2013-12-22|@|Nevada|L|72|80|27|62|.435|12|34|.353|6|12|.500|6|28|17|5|3|8|17||31|61|.508|8|22|.364|10|15|.667|9|38|18|4|6|9|12
11|11|2013-12-28|@|Northern Iowa|L|78|90|28|59|.475|13|26|.500|9|16|.563|7|26|14|7|0|11|21||30|58|.517|12|26|.462|18|22|.818|8|33|20|6|7|12|15
12|12|2014-01-04||Niagara|W|118|92|40|62|.645|14|26|.538|24|35|.686|9|29|34|6|5|10|18||34|75|.453|6|20|.300|18|22|.818|18|36|15|7|3|12|28
13|13|2014-01-06|@|Quinnipiac|L|74|86|25|61|.410|6|19|.316|18|23|.783|8|24|12|7|2|7|24||26|60|.433|8|15|.533|26|35|.743|18|48|15|3|9|12|17
14|14|2014-01-10||Fairfield|W|84|75|25|55|.455|11|22|.500|23|30|.767|8|25|18|10|4|5|15||29|58|.500|6|17|.353|11|16|.688|11|37|12|2|4|14|18
15|15|2014-01-12|@|Siena|W|87|78|24|54|.444|15|30|.500|24|33|.727|8|23|14|6|1|9|21||29|56|.518|4|11|.364|16|22|.727|9|27|16|3|4|13|25
16|16|2014-01-17||Canisius|L|83|85|32|66|.485|12|31|.387|7|10|.700|9|28|22|8|2|8|16||32|62|.516|10|21|.476|11|16|.688|11|34|15|5|3|11|12
17|17|2014-01-19||Siena|W|88|74|34|63|.540|13|27|.481|7|13|.538|6|25|21|9|4|9|20||28|67|.418|3|9|.333|15|20|.750|19|43|16|4|4|12|12
18|18|2014-01-24||Quinnipiac|W|95|73|29|66|.439|8|27|.296|29|37|.784|9|41|18|8|5|7|21||24|64|.375|6|21|.286|19|22|.864|7|36|5|4|5|13|24
19|19|2014-01-26|@|Saint Peter's|W|71|63|25|53|.472|8|20|.400|13|18|.722|10|34|17|9|5|13|12||25|62|.403|7|25|.280|6|10|.600|10|30|12|6|5|15|14
20|20|2014-01-31||Manhattan|W|85|73|30|62|.484|7|21|.333|18|24|.750|10|34|15|7|7|7|19||26|64|.406|8|23|.348|13|20|.650|13|36|15|3|5|11|18
21|21|2014-02-04|@|Monmouth|W|89|71|33|61|.541|10|31|.323|13|20|.650|5|34|16|9|5|18|17||27|74|.365|3|17|.176|14|19|.737|13|37|7|9|0|14|19
22|22|2014-02-07|@|Niagara|W|90|89|27|53|.509|14|31|.452|22|30|.733|2|26|18|6|2|13|22||36|77|.468|5|20|.250|12|23|.522|19|46|11|5|0|10|22
23|23|2014-02-09|@|Canisius|W|101|91|31|66|.470|13|28|.464|26|31|.839|10|33|22|5|6|8|16||33|70|.471|9|21|.429|16|21|.762|11|34|16|5|2|11|21
24|24|2014-02-12||Saint Peter's|W|62|59|19|49|.388|9|25|.360|15|21|.714|7|27|11|6|5|13|13||25|51|.490|5|10|.500|4|9|.444|5|28|13|7|3|11|16
25|25|2014-02-14||Monmouth|W|89|70|28|60|.467|14|38|.368|19|27|.704|6|25|22|11|7|8|16||31|61|.508|3|12|.250|5|15|.333|13|41|19|2|1|21|19
26|26|2014-02-21|@|Rider|W|80|77|25|54|.463|6|23|.261|24|30|.800|5|31|11|5|1|11|17||30|68|.441|7|26|.269|10|20|.500|11|34|11|5|2|7|19
27|27|2014-02-23|@|Marist|W|86|67|33|62|.532|7|21|.333|13|20|.650|10|34|11|5|1|10|17||24|58|.414|3|22|.136|16|19|.842|7|25|8|2|1|7|15
28|28|2014-02-28|@|Manhattan|L (1 OT)|77|80|30|69|.435|11|29|.379|6|10|.600|13|38|20|5|10|14|15||33|70|.471|5|16|.313|9|20|.450|14|40|15|10|8|9|12
29|29|2014-03-02||Rider|W|97|81|33|54|.611|11|26|.423|20|27|.741|7|31|21|8|4|12|17||29|65|.446|12|23|.522|11|14|.786|11|31|15|10|2|12|20
30|30|2014-03-08|N|Rider|W|94|71|31|52|.596|11|25|.440|21|25|.840|6|28|20|6|3|8|15||27|65|.415|8|23|.348|9|13|.692|12|26|16|4|2|12|21
31|31|2014-03-09|N|Canisius|W|75|72|29|56|.518|10|29|.345|7|10|.700|9|29|18|3|2|8|17||26|60|.433|7|26|.269|13|18|.722|13|33|10|7|1|5|11
32|32|2014-03-10|N|Manhattan|L|68|71|23|52|.442|6|21|.286|16|24|.667|7|26|10|7|3|9|18||26|55|.473|8|22|.364|11|18|.611|10|33|14|1|4|14|18
33|33|2014-03-19|@|Louisiana Tech|L|88|89|32|64|.500|8|19|.421|16|19|.842|7|34|20|7|4|11|18||35|77|.455|8|26|.308|11|16|.688|13|39|22|8|6|9|17
