ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2013-11-10||North Carolina-Wilmington|W|95|62|33|63|.524|15|32|.469|14|19|.737|12|49|21|1|6|11|21||19|64|.297|5|16|.313|19|24|.792|10|27|11|5|3|7|16
2|2|2013-11-12||Texas A&M-Corpus Christi|W|80|50|28|53|.528|11|25|.440|13|21|.619|7|37|18|5|3|11|15||18|63|.286|6|22|.273|8|12|.667|9|31|9|6|1|11|18
3|3|2013-11-17||Michigan|W|77|70|29|61|.475|6|20|.300|13|19|.684|7|36|16|4|1|12|12||29|69|.420|8|29|.276|4|9|.444|8|32|14|8|0|12|20
4|4|2013-11-20|@|Brigham Young|W|90|88|36|70|.514|7|24|.292|11|17|.647|7|39|16|6|4|13|20||36|84|.429|4|14|.286|12|20|.600|14|42|15|8|3|8|15
5|5|2013-11-25||Missouri-Kansas City|W|110|51|36|70|.514|12|32|.375|26|39|.667|14|56|24|9|6|11|16||18|61|.295|3|22|.136|12|24|.500|6|29|10|6|1|16|28
6|6|2013-12-02||Auburn|W|99|70|33|73|.452|13|35|.371|20|25|.800|9|43|28|6|1|9|19||22|62|.355|6|23|.261|20|24|.833|7|34|7|4|7|14|21
7|7|2013-12-07|N|Northern Iowa|W (1 OT)|91|82|30|66|.455|9|27|.333|22|33|.667|8|43|16|12|4|12|24||31|65|.477|10|30|.333|10|19|.526|4|39|18|4|4|17|24
8|8|2013-12-13||Iowa|W|85|82|28|59|.475|6|17|.353|23|36|.639|5|33|19|5|2|10|20||32|69|.464|4|17|.235|14|21|.667|13|47|19|6|1|11|27
9|9|2013-12-22|N|George Mason|W|79|67|26|57|.456|5|21|.238|22|28|.786|4|34|18|5|1|9|14||26|58|.448|8|20|.400|7|12|.583|4|26|10|2|5|14|22
10|10|2013-12-23|N|Akron|W|83|60|30|56|.536|9|19|.474|14|16|.875|12|36|20|4|2|11|9||24|64|.375|11|35|.314|1|6|.167|12|27|9|5|1|11|14
11|11|2013-12-25|N|Boise State|W|70|66|21|54|.389|8|24|.333|20|27|.741|11|31|7|1|2|6|15||25|55|.455|7|19|.368|9|13|.692|8|30|9|2|2|6|20
12|12|2013-12-31||Northern Illinois|W|99|63|37|63|.587|11|28|.393|14|23|.609|9|34|28|8|5|5|15||22|68|.324|6|23|.261|13|19|.684|23|45|11|2|1|12|21
13|13|2014-01-04|@|Texas Tech|W|73|62|22|52|.423|5|19|.263|24|29|.828|6|27|14|8|1|5|13||25|57|.439|6|20|.300|6|8|.750|6|29|13|3|1|13|23
14|14|2014-01-07||Baylor|W|87|72|34|62|.548|10|25|.400|9|15|.600|6|29|23|10|1|9|13||28|66|.424|11|25|.440|5|10|.500|13|37|13|4|5|19|17
