ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2013-11-08||South Carolina State|W|85|69|26|64|.406|7|30|.233|26|41|.634|15|44|17|12|8|13|22||26|68|.382|6|20|.300|11|26|.423|17|46|12|4|0|17|29
2|2|2013-11-12||Rio Grande|W|119|77|45|72|.625|9|18|.500|20|33|.606|11|41|28|11|4|9|24||27|68|.397|10|35|.286|13|24|.542|7|28|14|3|3|16|26
3|3|2013-11-17|@|Morehead State|L (1 OT)|94|102|29|56|.518|7|23|.304|29|43|.674|7|38|16|6|6|26|44||28|62|.452|6|20|.300|40|65|.615|15|37|17|14|2|14|31
4|4|2013-11-21||Stephen F. Austin|L (1 OT)|73|80|29|63|.460|7|23|.304|8|24|.333|12|35|9|6|5|10|20||29|66|.439|5|15|.333|17|22|.773|12|43|15|2|3|12|22
5|5|2013-11-23||North Carolina-Wilmington|W|96|78|36|61|.590|11|19|.579|13|23|.565|7|30|17|7|3|11|14||32|66|.485|0|8|.000|14|18|.778|9|30|11|5|3|9|17
6|6|2013-11-26||Western Kentucky|W|74|64|20|48|.417|4|14|.286|30|39|.769|6|27|6|14|7|13|21||21|60|.350|7|23|.304|15|18|.833|14|36|12|6|1|23|30
7|7|2013-11-30|@|East Tennessee State|L|78|88|27|63|.429|6|30|.200|18|35|.514|13|38|8|2|0|14|27||30|56|.536|7|23|.304|21|30|.700|6|36|15|3|3|11|28
8|8|2013-12-05|@|Vanderbilt|L|67|69|24|60|.400|5|16|.313|14|23|.609|10|29|9|11|4|12|19||23|51|.451|5|17|.294|18|26|.692|8|33|10|3|6|17|18
9|9|2013-12-07|@|Penn State|L|77|90|26|66|.394|9|20|.450|16|30|.533|12|37|11|7|6|12|13||33|68|.485|7|24|.292|17|21|.810|10|41|20|6|10|11|19
10|10|2013-12-14|N|West Virginia|L|64|74|25|60|.417|4|15|.267|10|24|.417|15|28|14|10|3|15|25||25|50|.500|4|15|.267|20|28|.714|11|36|10|6|4|16|20
11|11|2013-12-17||Alice Lloyd|W|121|57|44|68|.647|15|26|.577|18|22|.818|11|53|30|7|7|10|15||21|79|.266|7|34|.206|8|12|.667|17|28|14|8|2|10|19
12|12|2013-12-21||Arkansas State|L|82|83|27|70|.386|10|31|.323|18|26|.692|15|43|14|4|4|10|19||29|62|.468|12|31|.387|13|23|.565|10|38|17|5|3|10|22
13|13|2013-12-30|@|South Carolina|L|65|92|17|45|.378|1|14|.071|30|47|.638|6|21|9|2|6|16|26||34|66|.515|6|12|.500|18|26|.692|17|41|19|7|4|11|32
14|14|2014-01-02|@|Akron|L|58|59|22|48|.458|4|13|.308|10|20|.500|4|25|7|7|3|18|22||21|59|.356|3|13|.231|14|26|.538|17|39|9|11|2|14|14
15|15|2014-01-05||Presbyterian|W|77|49|30|68|.441|9|33|.273|8|15|.533|19|49|14|4|7|11|15||19|58|.328|1|14|.071|10|15|.667|10|27|6|6|4|11|13
16|16|2014-01-09|@|Texas-San Antonio|L|81|90|29|65|.446|6|24|.250|17|29|.586|14|34|8|6|2|14|26||30|53|.566|7|9|.778|23|37|.622|9|35|11|8|2|13|21
17|17|2014-01-11|@|Texas-El Paso|L|56|66|19|61|.311|5|21|.238|13|23|.565|12|29|7|4|0|8|22||22|47|.468|5|14|.357|17|27|.630|10|42|15|2|4|15|15
18|18|2014-01-16||North Texas|L|65|80|20|65|.308|5|25|.200|20|29|.690|17|37|13|6|0|15|21||28|56|.500|1|8|.125|23|36|.639|12|39|17|9|2|13|25
19|19|2014-01-18||Tulsa|L|52|69|19|58|.328|4|16|.250|10|15|.667|10|35|12|2|4|14|16||24|58|.414|7|13|.538|14|18|.778|10|36|11|5|4|11|18
