ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2013-11-08|N|Connecticut|L|77|78|24|57|.421|8|19|.421|21|28|.750|11|28|15|5|0|13|17||30|58|.517|10|23|.435|8|13|.615|7|28|16|10|6|11|22
2|2|2013-11-13||Abilene Christian|W|67|44|26|53|.491|4|18|.222|11|17|.647|12|38|12|9|10|17|8||17|54|.315|10|21|.476|0|0||3|18|9|6|0|16|15
3|3|2013-11-17||Oregon State|L|83|90|30|71|.423|8|22|.364|15|24|.625|20|35|11|8|4|15|21||31|52|.596|5|8|.625|23|30|.767|8|26|14|9|7|18|22
4|4|2013-11-22|N|Marist|W|68|43|24|55|.436|7|15|.467|13|25|.520|10|38|13|8|4|14|22||13|50|.260|3|12|.250|14|22|.636|13|32|7|7|7|19|18
5|5|2013-11-24|N|Northern Iowa|W|80|66|29|60|.483|6|18|.333|16|25|.640|13|36|12|9|2|8|19||22|57|.386|7|29|.241|15|18|.833|10|32|12|3|3|14|24
6|6|2013-11-25|N|Providence|W|56|52|21|58|.362|4|13|.308|10|18|.556|8|38|8|6|3|11|19||16|59|.271|3|16|.188|17|22|.773|8|31|6|5|2|11|17
7|7|2013-11-29||Morgan State|W|89|62|33|53|.623|13|20|.650|10|22|.455|11|40|26|7|4|18|19||22|60|.367|3|14|.214|15|26|.577|12|26|12|8|3|14|22
8|8|2013-12-04|@|Ohio State|L|60|76|25|64|.391|2|18|.111|8|13|.615|17|40|6|4|3|14|23||25|48|.521|8|18|.444|18|29|.621|5|27|11|8|4|11|15
9|9|2013-12-08|N|George Washington|L|75|77|25|64|.391|5|19|.263|20|26|.769|16|33|7|11|5|17|24||24|54|.444|3|10|.300|26|33|.788|12|37|15|10|3|19|23
10|10|2013-12-12|@|Boston College|W|88|80|32|58|.552|8|22|.364|16|22|.727|9|24|6|5|4|11|22||25|51|.490|8|22|.364|22|27|.815|6|25|17|5|0|9|24
11|11|2013-12-14||Florida Atlantic|W|66|62|25|63|.397|7|20|.350|9|12|.750|16|38|18|6|8|9|10||22|56|.393|9|22|.409|9|11|.818|9|31|10|6|2|13|14
12|12|2013-12-21||Boston University|L|77|83|28|58|.483|6|15|.400|15|26|.577|11|41|15|5|7|17|27||25|59|.424|10|26|.385|23|36|.639|9|30|10|10|2|12|20
13|13|2013-12-29||Tulsa|W|85|74|26|60|.433|10|25|.400|23|35|.657|10|36|10|3|7|10|13||26|67|.388|12|26|.462|10|10|1.000|9|33|12|4|6|10|22
14|14|2013-12-31||North Carolina Central|W|70|56|22|49|.449|8|19|.421|18|22|.818|9|38|13|0|8|16|20||18|55|.327|2|15|.133|18|24|.750|7|23|11|8|2|7|18
15|15|2014-01-04||Georgia Tech|W|77|61|28|60|.467|10|19|.526|11|17|.647|4|31|16|4|3|6|15||23|60|.383|5|19|.263|10|15|.667|6|34|7|2|4|10|17
16|16|2014-01-06|@|Pittsburgh|L|59|79|20|56|.357|8|25|.320|11|15|.733|7|29|8|4|6|12|17||29|55|.527|6|10|.600|15|25|.600|4|33|18|8|4|7|11
17|17|2014-01-12|@|Florida State|L|61|85|17|51|.333|3|18|.167|24|34|.706|11|32|9|10|1|15|25||27|54|.500|16|24|.667|15|23|.652|8|34|17|4|7|14|21
18|18|2014-01-15||Notre Dame|W|74|66|25|63|.397|7|26|.269|17|23|.739|18|37|13|9|3|11|19||24|50|.480|7|22|.318|11|20|.550|7|26|12|3|3|16|21
19|19|2014-01-20|@|North Carolina State|L|56|65|22|70|.314|7|22|.318|5|13|.385|19|44|9|4|5|12|23||23|57|.404|5|19|.263|14|22|.636|6|33|12|5|5|8|13
20|20|2014-01-25||Pittsburgh|L|79|83|26|54|.481|4|17|.235|23|30|.767|4|25|13|9|3|17|29||25|49|.510|1|7|.143|32|47|.681|9|34|12|7|0|16|20
21|21|2014-01-29||Miami (FL)|W|74|71|28|50|.560|10|21|.476|8|13|.615|4|23|15|7|1|10|19||22|44|.500|9|21|.429|18|28|.643|7|27|7|5|3|14|15
22|22|2014-02-01|@|Virginia Tech|W|80|60|29|56|.518|8|15|.533|14|24|.583|12|34|15|4|3|9|19||20|54|.370|4|16|.250|16|27|.593|9|24|7|5|6|8|22
23|23|2014-02-04|@|North Carolina|L|63|75|22|56|.393|6|23|.261|13|20|.650|8|30|11|5|7|16|29||25|51|.490|6|15|.400|19|37|.514|9|37|17|10|4|14|18
