ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2013-11-10||Southern|W|78|75|18|47|.383|6|15|.400|36|55|.655|12|33|9|8|0|10|20||25|51|.490|10|22|.455|15|23|.652|6|23|16|4|1|15|36
2|2|2013-11-13||North Florida|W|77|70|27|53|.509|5|15|.333|18|27|.667|4|32|13|7|6|10|19||25|58|.431|6|17|.353|14|23|.609|9|33|13|4|2|14|20
3|3|2013-11-16||Akron|W|80|73|27|48|.563|6|11|.545|20|31|.645|8|30|15|13|3|18|17||27|57|.474|7|23|.304|12|18|.667|10|26|8|11|3|17|22
4|4|2013-11-18||Arkansas-Little Rock|W|76|59|24|51|.471|7|22|.318|21|30|.700|6|27|16|11|11|10|27||14|47|.298|0|11|.000|31|42|.738|8|31|3|4|0|13|20
5|5|2013-11-21|@|Florida|L|59|79|20|47|.426|6|19|.316|13|18|.722|6|24|8|6|4|15|25||25|50|.500|4|12|.333|25|30|.833|9|28|10|9|0|12|18
6|6|2013-11-26|@|Murray State|W|80|62|32|59|.542|5|10|.500|11|19|.579|14|41|16|6|3|11|27||21|49|.429|5|12|.417|15|26|.577|5|21|11|2|3|13|19
7|7|2013-11-30||South Alabama|W|65|55|20|51|.392|2|7|.286|23|29|.793|15|41|8|3|5|14|18||16|59|.271|6|21|.286|17|24|.708|16|36|8|12|4|10|24
8|8|2013-12-03||Belmont|L|58|70|21|55|.382|2|18|.111|14|23|.609|14|35|7|6|6|14|27||19|49|.388|7|20|.350|25|32|.781|6|30|11|4|1|11|23
9|9|2013-12-09||Fisk|W|115|65|42|68|.618|7|22|.318|24|37|.649|14|51|31|8|9|16|24||20|66|.303|3|19|.158|22|36|.611|11|27|4|11|2|18|31
10|10|2013-12-14|@|Mississippi|L|63|72|24|60|.400|4|18|.222|11|21|.524|16|41|15|3|3|14|21||23|51|.451|7|18|.389|19|29|.655|6|26|13|10|5|8|18
11|11|2013-12-17||Tennessee Temple|W|102|52|36|71|.507|7|19|.368|23|28|.821|16|43|12|6|2|7|15||20|51|.392|3|11|.273|9|19|.474|7|26|12|3|2|19|20
12|12|2013-12-21|@|Cincinnati|L|48|69|12|45|.267|6|16|.375|18|27|.667|8|24|10|7|2|17|20||23|51|.451|7|18|.389|16|23|.696|9|35|16|8|5|17|24
