ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2013-11-08||Lehigh|W|81|62|27|59|.458|9|25|.360|18|21|.857|10|35|19|11|4|12|15||22|61|.361|8|29|.276|10|14|.714|9|29|10|6|4|16|18
2|2|2013-11-12||Montana|W|84|58|27|61|.443|11|25|.440|19|28|.679|11|40|14|9|7|7|21||20|50|.400|6|22|.273|12|22|.545|3|24|10|3|4|13|26
3|3|2013-11-16|@|Richmond|W|74|59|25|67|.373|7|25|.280|17|28|.607|16|50|9|5|0|8|20||22|60|.367|3|25|.120|12|18|.667|7|35|9|3|6|8|24
4|4|2013-11-19||Coastal Carolina|W|82|72|27|62|.435|8|28|.286|20|24|.833|10|31|15|11|4|9|16||28|54|.519|9|20|.450|7|8|.875|4|26|18|2|3|17|25
5|5|2013-11-21||Wofford|W|79|57|30|59|.508|8|23|.348|11|13|.846|10|34|20|8|12|8|20||18|58|.310|4|21|.190|17|20|.850|15|30|13|4|1|10|13
6|6|2013-11-25|N|Syracuse|L|67|75|23|52|.442|9|22|.409|12|13|.923|12|32|16|6|6|19|18||24|56|.429|5|13|.385|22|27|.815|14|30|11|8|6|10|16
7|7|2013-11-26|N|Arkansas|L|73|87|25|55|.455|7|20|.350|16|21|.762|8|25|10|6|1|16|20||30|55|.545|8|17|.471|19|22|.864|9|33|19|9|3|15|17
8|8|2013-11-27|@|Chaminade|W|83|68|26|68|.382|6|24|.250|25|29|.862|12|34|12|11|4|7|18||24|57|.421|6|21|.286|14|15|.933|7|35|6|2|6|19|21
9|9|2013-12-03||Florida State|W|71|61|18|53|.340|7|16|.438|28|38|.737|9|25|12|8|5|6|25||20|43|.465|2|10|.200|19|29|.655|9|35|14|2|9|17|27
10|10|2013-12-07||New Orleans|W|80|65|25|51|.490|8|20|.400|22|27|.815|11|31|15|13|8|16|17||25|55|.455|5|12|.417|10|19|.526|12|28|13|8|2|16|20
11|11|2013-12-10||South Dakota State|W|75|59|27|62|.435|8|26|.308|13|15|.867|13|38|21|7|2|7|15||22|54|.407|6|20|.300|9|11|.818|7|28|16|3|3|8|14
12|12|2013-12-20||Nebraska-Omaha|W|92|79|31|60|.517|9|23|.391|21|29|.724|9|36|14|10|3|9|16||26|62|.419|10|24|.417|17|20|.850|9|33|13|5|1|15|23
13|13|2013-12-28||Texas A&M-Corpus Christi|W|65|44|22|59|.373|9|26|.346|12|22|.545|10|34|17|9|6|12|19||17|48|.354|1|15|.067|9|16|.563|8|31|9|6|6|17|19
14|14|2014-01-02||Michigan|L|60|63|21|53|.396|5|19|.263|13|19|.684|13|36|16|9|4|15|18||20|44|.455|7|17|.412|16|22|.727|5|23|16|8|6|10|17
15|15|2014-01-05||Purdue|W|82|79|24|46|.522|11|24|.458|23|27|.852|6|25|14|5|8|12|19||25|63|.397|9|21|.429|20|28|.714|17|32|15|8|3|8|20
16|16|2014-01-08|@|Penn State|W|68|65|21|51|.412|4|16|.250|22|34|.647|9|35|9|7|7|14|25||22|58|.379|3|19|.158|18|29|.621|13|37|10|4|7|14|28
17|17|2014-01-11|@|Michigan State|L (1 OT)|75|87|23|57|.404|10|26|.385|19|24|.792|5|30|13|4|4|12|26||24|59|.407|7|21|.333|32|40|.800|12|41|16|10|10|7|17
18|18|2014-01-16||Ohio State|W|63|53|24|47|.511|3|14|.214|12|16|.750|8|36|13|12|4|17|17||18|51|.353|6|16|.375|11|18|.611|8|24|11|8|3|13|18
19|19|2014-01-19|@|Iowa|L|73|94|26|58|.448|5|16|.313|16|24|.667|11|32|11|7|5|13|29||29|59|.492|9|20|.450|27|37|.730|13|38|12|6|1|10|21
20|20|2014-01-22||Wisconsin|W|81|68|33|56|.589|4|7|.571|11|11|1.000|8|27|16|6|3|7|21||22|50|.440|5|20|.250|19|23|.826|9|20|8|4|3|6|14
21|21|2014-01-26|@|Nebraska|L|78|82|26|53|.491|10|20|.500|16|25|.640|7|31|12|9|3|13|24||25|50|.500|11|22|.500|21|33|.636|6|31|19|8|3|11|20
22|22|2014-02-01||Northwestern|L|54|55|23|50|.460|3|14|.214|5|9|.556|5|25|15|9|2|8|13||20|46|.435|8|21|.381|7|7|1.000|3|24|10|5|2|9|14
23|23|2014-02-05|@|Purdue|L (3 OT)|74|77|29|69|.420|5|21|.238|11|15|.733|11|34|18|10|6|14|19||31|73|.425|6|18|.333|9|23|.391|20|47|22|8|9|15|14
24|24|2014-02-08||Indiana|W|66|60|26|58|.448|5|16|.313|9|11|.818|7|27|14|7|5|10|15||22|50|.440|5|14|.357|11|16|.688|7|30|8|7|8|15|13
25|25|2014-02-13|@|Wisconsin|L|70|78|23|51|.451|9|17|.529|15|20|.750|4|26|11|2|1|13|26||21|43|.488|6|15|.400|30|36|.833|3|26|8|7|1|7|15
26|26|2014-02-16|@|Northwestern|W|54|48|19|41|.463|6|13|.462|10|18|.556|5|31|7|3|6|16|17||16|53|.302|6|19|.316|10|14|.714|8|25|9|9|4|8|17
27|27|2014-02-19||Illinois|L|49|62|19|51|.373|4|25|.160|7|12|.583|12|28|16|6|4|14|16||19|45|.422|8|13|.615|16|20|.800|8|27|13|9|4|11|16
28|28|2014-02-22|@|Ohio State|L|46|64|17|48|.354|4|17|.235|8|8|1.000|7|23|7|2|1|13|16||23|52|.442|3|14|.214|15|17|.882|9|31|12|7|6|11|12
29|29|2014-02-25||Iowa|W|95|89|30|49|.612|11|19|.579|24|29|.828|6|25|19|9|3|13|20||31|64|.484|10|25|.400|17|22|.773|11|25|17|9|4|13|25
30|30|2014-03-01|@|Michigan|L|56|66|22|48|.458|5|18|.278|7|11|.636|3|22|10|5|1|11|15||25|50|.500|9|23|.391|7|9|.778|5|28|14|2|1|9|14
31|31|2014-03-09||Penn State|W|81|63|25|45|.556|7|20|.350|24|29|.828|3|23|14|10|1|12|20||19|47|.404|5|13|.385|20|23|.870|8|26|10|5|2|15|22
32|32|2014-03-13|N|Penn State|W|63|56|21|48|.438|7|17|.412|14|23|.609|5|28|13|6|7|9|16||19|59|.322|5|21|.238|13|14|.929|11|33|10|4|6|9|19
33|33|2014-03-14|N|Wisconsin|L|57|83|19|58|.328|8|21|.381|11|18|.611|6|27|9|3|0|9|22||30|55|.545|10|24|.417|13|21|.619|4|35|16|7|7|7|16
34|34|2014-03-18||High Point|W|88|81|26|53|.491|6|20|.300|30|36|.833|7|26|19|9|2|6|16||24|54|.444|12|26|.462|21|23|.913|7|27|18|3|1|12|25
35|35|2014-03-23||Saint Mary's (CA)|W|63|55|17|40|.425|8|20|.400|21|28|.750|5|25|10|9|7|14|23||16|42|.381|7|14|.500|16|25|.640|6|25|9|8|4|15|24
36|36|2014-03-25||Southern Mississippi|W|81|73|26|52|.500|10|27|.370|19|21|.905|4|24|23|12|5|10|14||26|59|.441|9|26|.346|12|20|.600|11|33|20|8|1|12|20
37|37|2014-04-01|N|Florida State|W (1 OT)|67|64|21|54|.389|9|20|.450|16|25|.640|11|31|12|6|2|11|23||20|52|.385|4|18|.222|20|27|.741|13|36|6|5|6|18|22
38|38|2014-04-03|N|Southern Methodist|W|65|63|24|49|.490|7|23|.304|10|17|.588|6|22|13|8|2|12|17||22|45|.489|4|12|.333|15|22|.682|7|30|14|7|3|14|16
