ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2013-11-08|@|Valparaiso|L|74|77|21|59|.356|5|18|.278|27|39|.692|9|28|10|10|6|10|29||24|55|.436|3|13|.231|26|38|.684|11|39|9|6|3|16|24
2|2|2013-11-12||Brescia|W|97|69|33|55|.600|6|16|.375|25|33|.758|10|36|12|12|5|14|19||25|58|.431|5|17|.294|14|26|.538|8|20|14|9|1|13|25
3|3|2013-11-15|@|Old Dominion|L|60|70|24|54|.444|5|15|.333|7|18|.389|6|35|11|5|4|16|22||25|60|.417|5|15|.333|15|27|.556|14|42|17|5|3|11|16
4|4|2013-11-19||Bethel (TN)|W|91|64|31|61|.508|7|19|.368|22|32|.688|14|40|17|10|2|11|16||26|64|.406|4|11|.364|8|12|.667|8|25|10|2|2|13|22
5|5|2013-11-23|@|Auburn|L|67|75|25|55|.455|7|16|.438|10|21|.476|10|30|13|2|4|11|27||24|54|.444|4|18|.222|23|33|.697|13|38|11|5|4|13|21
6|6|2013-11-26||Middle Tennessee|L|62|80|21|49|.429|5|12|.417|15|26|.577|5|21|11|2|3|13|19||32|59|.542|5|10|.500|11|19|.579|14|41|16|6|3|11|27
7|7|2013-11-30|@|Saint Mary's (CA)|L|64|89|22|46|.478|4|9|.444|16|26|.615|11|25|7|3|2|15|18||30|56|.536|13|27|.481|16|20|.800|11|28|21|5|4|9|23
8|8|2013-12-04||Evansville|W|65|63|23|51|.451|10|22|.455|9|20|.450|9|28|14|3|7|13|17||24|51|.471|2|7|.286|13|21|.619|7|27|11|6|2|10|19
9|9|2013-12-07||Lipscomb|W|73|69|23|55|.418|5|22|.227|22|37|.595|13|37|14|5|4|12|23||21|51|.412|6|25|.240|21|30|.700|6|32|10|6|3|12|26
10|10|2013-12-17||Southern Illinois|W|73|65|21|50|.420|8|18|.444|23|32|.719|8|35|15|5|4|18|21||20|52|.385|3|9|.333|22|30|.733|8|24|3|10|5|13|24
11|11|2013-12-21|@|Western Kentucky|L|64|71|24|49|.490|6|15|.400|10|18|.556|5|25|14|5|5|12|16||26|65|.400|6|21|.286|13|17|.765|14|32|8|2|3|8|14
12|12|2013-12-29|@|Dayton|L|51|72|19|53|.358|4|19|.211|9|13|.692|6|21|10|4|3|10|21||27|52|.519|6|13|.462|12|24|.500|15|39|17|3|4|13|18
13|13|2014-01-02||Southeast Missouri State|W|82|75|25|57|.439|9|26|.346|23|35|.657|10|36|14|8|5|13|17||27|62|.435|7|17|.412|14|20|.700|6|29|13|9|4|13|22
14|14|2014-01-05||Tennessee-Martin|W|91|77|25|46|.543|8|21|.381|33|41|.805|12|37|15|3|2|17|20||27|62|.435|8|24|.333|15|23|.652|11|20|11|11|1|10|28
15|15|2014-01-08|@|Eastern Kentucky|W|77|64|26|51|.510|6|18|.333|19|28|.679|10|38|13|5|7|12|14||26|61|.426|6|21|.286|6|8|.750|7|25|14|4|2|10|19
16|16|2014-01-11||Austin Peay|W|89|67|30|63|.476|8|21|.381|21|28|.750|10|35|15|4|6|10|16||28|63|.444|4|11|.364|7|14|.500|9|31|14|2|6|12|22
17|17|2014-01-16|@|Eastern Illinois|W|70|66|20|54|.370|7|21|.333|23|29|.793|7|36|11|4|9|12|20||21|68|.309|2|17|.118|22|29|.759|15|40|6|5|7|7|19
18|18|2014-01-18|@|Southern Illinois-Edwardsville|L|60|67|22|56|.393|4|21|.190|12|20|.600|10|28|8|4|4|15|18||27|54|.500|5|10|.500|8|13|.615|8|29|12|9|3|14|22
19|19|2014-01-23||Tennessee Tech|W|92|53|34|66|.515|15|27|.556|9|19|.474|16|42|18|6|3|10|11||22|53|.415|3|11|.273|6|11|.545|8|26|8|4|6|17|19
20|20|2014-01-25||Jacksonville State|W|73|65|23|47|.489|7|15|.467|20|30|.667|8|35|13|5|2|12|20||22|52|.423|7|14|.500|14|25|.560|7|24|9|7|3|8|26
21|21|2014-01-31|@|Austin Peay|W|96|88|39|71|.549|10|21|.476|8|17|.471|15|42|20|4|3|13|24||32|65|.492|3|12|.250|21|31|.677|11|30|13|6|9|7|16
22|22|2014-02-06|@|Belmont|L|96|99|31|65|.477|12|26|.462|22|34|.647|14|31|14|9|4|12|25||32|57|.561|9|20|.450|26|34|.765|8|29|17|6|2|11|23
23|23|2014-02-08|@|Tennessee State|W|73|65|28|55|.509|7|15|.467|10|20|.500|11|32|12|8|2|11|17||24|54|.444|3|13|.231|14|18|.778|9|31|7|7|2|12|15
24|24|2014-02-13||Southern Illinois-Edwardsville|W|82|72|32|58|.552|3|14|.214|15|28|.536|14|37|13|8|2|12|13||27|56|.482|8|21|.381|10|16|.625|8|29|14|5|4|14|23
25|25|2014-02-15||Eastern Illinois|W|72|60|22|43|.512|6|15|.400|22|32|.688|10|30|11|6|2|14|17||21|51|.412|2|11|.182|16|17|.941|10|27|9|8|0|12|19
26|26|2014-02-22||Morehead State|W|69|58|24|47|.511|6|19|.316|15|18|.833|8|29|6|8|4|12|12||25|59|.424|4|21|.190|4|5|.800|10|27|10|8|1|11|18
27|27|2014-02-27|@|Tennessee-Martin|W|86|72|32|58|.552|9|24|.375|13|21|.619|7|32|18|3|3|7|16||29|62|.468|7|20|.350|7|15|.467|9|26|17|3|2|9|17
28|28|2014-03-01|@|Southeast Missouri State|L (2 OT)|115|118|35|73|.479|14|30|.467|31|39|.795|10|33|16|7|1|10|22||44|78|.564|8|21|.381|22|29|.759|12|44|23|7|2|12|24
29|29|2014-03-07|N|Eastern Kentucky|L|83|86|23|50|.460|9|28|.321|28|34|.824|13|33|10|8|4|19|21||32|54|.593|6|20|.300|16|21|.762|3|17|16|12|2|14|24
30|30|2014-03-19|@|Missouri State|W|66|63|24|59|.407|5|18|.278|13|17|.765|13|34|9|3|2|8|11||24|58|.414|7|24|.292|8|10|.800|8|28|16|4|6|7|14
31|31|2014-03-24||Nebraska-Omaha|W|86|62|32|65|.492|7|20|.350|15|18|.833|14|45|14|7|7|14|17||24|65|.369|6|27|.222|8|15|.533|12|32|9|11|0|14|17
32|32|2014-03-27||Towson|W|85|73|32|65|.492|10|23|.435|11|12|.917|9|30|18|11|8|8|14||30|61|.492|4|11|.364|9|15|.600|9|31|5|4|4|14|13
33|33|2014-04-01||Pacific|W|98|75|32|58|.552|13|25|.520|21|27|.778|7|35|16|7|5|12|19||28|63|.444|6|16|.375|13|20|.650|9|30|12|3|0|13|26
34|34|2014-04-03||Yale|W|65|57|23|54|.426|5|22|.227|14|21|.667|6|34|14|9|14|8|14||20|77|.260|8|26|.308|9|13|.692|22|47|12|6|4|10|15
