ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2013-11-08||Portland State|W|67|48|23|53|.434|8|19|.421|13|28|.464|11|40|18|10|5|18|19||19|61|.311|0|7|.000|10|15|.667|12|37|4|11|0|20|24
2|2|2013-11-12||California-Santa Barbara|L|65|86|23|63|.365|8|24|.333|11|20|.550|11|30|14|3|3|9|20||29|52|.558|9|14|.643|19|26|.731|5|37|14|3|4|9|20
3|3|2013-11-15||Nebraska-Omaha|W|73|70|29|66|.439|4|11|.364|11|22|.500|18|51|14|2|12|21|20||24|73|.329|4|17|.235|18|25|.720|12|31|12|10|2|9|21
4|4|2013-11-19||Arizona State|L|80|86|31|75|.413|3|15|.200|15|29|.517|17|51|17|4|10|8|18||35|79|.443|5|20|.250|11|20|.550|11|44|18|3|9|7|23
5|5|2013-11-26||Illinois|L|59|61|21|56|.375|4|14|.286|13|16|.813|10|39|8|4|9|13|10||24|67|.358|6|18|.333|7|9|.778|11|35|11|7|3|11|14
6|6|2013-11-30||Tennessee-Martin|W|85|55|30|54|.556|6|14|.429|19|29|.655|10|42|18|6|7|15|11||25|71|.352|4|13|.308|1|6|.167|12|26|10|6|1|11|24
7|7|2013-12-07|@|Arizona|L|58|63|23|50|.460|4|14|.286|8|10|.800|4|23|7|4|2|16|13||28|67|.418|3|16|.188|4|8|.500|17|40|16|7|1|14|12
8|8|2013-12-14|@|Southern Utah|W|73|51|22|49|.449|5|15|.333|24|37|.649|12|40|12|11|10|12|18||18|57|.316|2|15|.133|13|18|.722|7|24|8|4|4|15|28
9|9|2013-12-18||Radford|W|81|62|31|59|.525|6|17|.353|13|19|.684|15|39|16|3|8|10|14||28|65|.431|2|14|.143|4|8|.500|15|32|12|8|4|7|16
10|10|2013-12-20||Sacred Heart|W|82|50|28|63|.444|4|21|.190|22|33|.667|15|52|20|9|12|12|13||23|64|.359|3|17|.176|1|6|.167|6|32|10|2|2|18|23
11|11|2013-12-22|N|Santa Clara|W|92|71|34|56|.607|7|14|.500|17|25|.680|9|32|17|5|5|12|19||23|59|.390|7|20|.350|18|23|.783|10|21|8|6|2|12|21
12|12|2013-12-23|N|Mississippi State|W|82|66|26|59|.441|11|26|.423|19|24|.792|9|33|16|3|5|19|17||28|59|.475|1|11|.091|9|12|.750|7|25|9|9|2|14|22
