ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2013-11-10|@|Tulsa|W|74|68|22|57|.386|1|7|.143|29|37|.784|14|38|6|8|6|17|25||25|50|.500|1|9|.111|17|36|.472|4|24|8|10|5|13|27
2|2|2013-11-13|@|Kansas State|L|63|71|19|51|.373|1|10|.100|24|30|.800|8|27|9|9|2|9|26||23|46|.500|5|11|.455|20|30|.667|4|29|17|1|2|12|24
3|3|2013-11-16||Texas State|W|82|65|29|48|.604|10|15|.667|14|19|.737|5|26|17|4|1|9|15||26|51|.510|5|17|.294|8|13|.615|7|23|15|2|0|14|18
4|4|2013-11-21|@|Saint Louis|L|55|72|22|53|.415|2|11|.182|9|14|.643|7|32|9|3|4|18|17||27|65|.415|4|14|.286|14|17|.824|12|35|12|11|5|6|18
5|5|2013-11-23|@|Wisconsin|L|67|76|27|49|.551|7|13|.538|6|6|1.000|3|22|11|6|3|14|19||27|57|.474|7|23|.304|15|18|.833|11|28|14|7|1|8|10
6|6|2013-11-26|N|Georgia Southern|W|67|65|27|65|.415|1|14|.071|12|19|.632|13|34|14|6|1|5|17||23|54|.426|5|17|.294|14|20|.700|8|32|9|4|1|12|17
7|7|2013-11-27|N|Bowling Green State|W|63|56|23|51|.451|4|16|.250|13|15|.867|5|26|9|7|1|7|18||23|55|.418|3|9|.333|7|12|.583|9|33|7|5|1|10|17
8|8|2013-12-03||Cameron|W|74|64|30|70|.429|4|17|.235|10|15|.667|18|46|9|5|6|13|14||24|62|.387|3|15|.200|13|19|.684|12|36|8|9|3|15|13
9|9|2013-12-07|@|Wichita State|L|58|71|21|53|.396|4|13|.308|12|14|.857|4|23|9|2|6|10|18||26|64|.406|4|15|.267|15|23|.652|15|43|17|8|2|8|15
10|10|2013-12-13||Missouri State|L|67|70|23|49|.469|8|17|.471|13|20|.650|2|29|11|4|9|13|19||25|58|.431|4|12|.333|16|18|.889|4|29|5|5|2|7|15
