ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2013-11-09||Wagner|W|74|62|19|53|.358|6|16|.375|30|43|.698|7|43|10|3|5|6|22||20|67|.299|2|23|.087|20|27|.741|11|44|10|4|3|5|29
2|2|2013-11-13||Bucknell|L|80|90|28|57|.491|9|22|.409|15|23|.652|6|22|11|6|1|7|24||28|46|.609|10|15|.667|24|31|.774|4|26|14|2|1|11|23
3|3|2013-11-16|@|Pennsylvania|W|83|71|29|54|.537|7|20|.350|18|23|.783|6|30|13|4|2|14|28||20|48|.417|4|19|.211|27|40|.675|7|27|16|7|1|12|25
4|4|2013-11-19||La Salle|W|79|72|29|62|.468|9|22|.409|12|14|.857|10|31|18|3|7|8|14||26|60|.433|6|16|.375|14|16|.875|10|31|11|3|6|11|17
5|5|2013-11-24||Longwood|W|93|67|32|56|.571|9|24|.375|20|25|.800|12|34|25|5|3|11|20||21|52|.404|7|20|.350|18|24|.750|10|22|9|5|0|13|21
6|6|2013-11-26||Monmouth|W|84|52|28|52|.538|9|24|.375|19|24|.792|10|34|17|5|1|11|19||16|45|.356|5|19|.263|15|22|.682|8|21|7|7|1|16|19
7|7|2013-11-29|N|St. John's (NY)|W (1 OT)|89|82|25|62|.403|10|25|.400|29|38|.763|8|38|10|7|3|4|19||32|75|.427|11|20|.550|7|13|.538|12|44|20|2|11|9|28
8|8|2013-11-30|N|Mississippi|L|76|79|28|59|.475|9|22|.409|11|18|.611|9|35|15|5|6|9|15||30|65|.462|11|24|.458|8|18|.444|11|35|16|5|9|7|17
9|9|2013-12-03|@|Pittsburgh|L|69|78|23|55|.418|4|15|.267|19|23|.826|4|27|9|3|5|8|26||24|54|.444|2|11|.182|28|35|.800|9|36|9|3|5|9|19
10|10|2013-12-07||Marshall|W|90|77|33|68|.485|7|24|.292|17|21|.810|10|41|20|6|10|11|19||26|66|.394|9|20|.450|16|30|.533|12|37|11|7|6|12|13
11|11|2013-12-11|N|Duquesne|W|68|59|26|61|.426|9|25|.360|7|10|.700|9|38|18|3|13|11|25||17|63|.270|4|23|.174|21|34|.618|14|38|9|5|4|7|15
12|12|2013-12-14||Princeton|L (1 OT)|79|81|29|58|.500|4|14|.286|17|23|.739|5|40|10|3|3|20|20||26|62|.419|10|32|.313|19|26|.731|1|19|17|13|5|10|18
13|13|2013-12-22||Mount St. Mary's|W|92|82|33|62|.532|2|11|.182|24|30|.800|10|32|11|6|4|10|16||28|54|.519|12|26|.462|14|22|.636|5|26|11|4|1|16|21
