ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2013-11-08|@|Nevada-Las Vegas|L|48|67|19|61|.311|0|7|.000|10|15|.667|12|37|4|11|0|20|24||23|53|.434|8|19|.421|13|28|.464|11|40|18|10|5|18|19
2|2|2013-11-13||Pacific Lutheran|W|79|43|24|45|.533|5|10|.500|26|37|.703|8|35|14|12|5|12|19||14|58|.241|6|15|.400|9|12|.750|15|28|10|5|2|17|26
3|3|2013-11-22||Loyola (IL)|W|67|63|22|54|.407|5|16|.313|18|23|.783|11|27|15|7|2|9|18||23|45|.511|4|13|.308|13|20|.650|7|24|13|3|4|16|22
4|4|2013-11-23||Southern Illinois-Edwardsville|W|77|74|26|54|.481|7|17|.412|18|22|.818|10|26|16|5|1|8|17||28|53|.528|6|19|.316|12|13|.923|6|25|19|3|3|13|23
5|5|2013-11-24||California-Davis|W|79|63|26|54|.481|9|20|.450|18|24|.750|6|33|19|6|1|8|18||23|60|.383|6|22|.273|11|17|.647|8|31|10|2|2|12|22
6|6|2013-11-29|@|Boise State|L|60|76|22|51|.431|8|19|.421|8|15|.533|4|22|10|5|1|15|22||25|56|.446|4|16|.250|22|25|.880|12|36|11|8|2|11|19
7|7|2013-12-07||Portland|L|76|92|25|60|.417|10|18|.556|16|26|.615|8|24|13|6|2|12|28||29|60|.483|5|15|.333|29|36|.806|12|39|15|7|8|12|23
8|8|2013-12-14||Idaho|L|75|76|27|55|.491|7|18|.389|14|22|.636|9|26|18|4|1|12|17||27|50|.540|11|20|.550|11|18|.611|6|24|18|3|2|12|21
9|9|2013-12-23||Evergreen State|W|98|65|36|66|.545|2|10|.200|24|33|.727|15|46|21|9|5|10|14||25|63|.397|11|25|.440|4|7|.571|4|19|19|3|2|15|24
10|10|2014-01-02|@|Idaho State|L|76|87|26|64|.406|7|20|.350|17|25|.680|12|27|11|7|1|11|24||26|46|.565|9|14|.643|26|32|.813|7|35|12|6|9|21|19
11|11|2014-01-04|@|Weber State|L|62|79|23|56|.411|6|17|.353|10|17|.588|4|24|13|3|2|8|18||24|47|.511|9|20|.450|22|25|.880|5|37|18|2|1|13|18
12|12|2014-01-09||Montana State|L|76|79|30|55|.545|8|18|.444|8|10|.800|4|17|17|6|0|12|20||27|48|.563|8|15|.533|17|25|.680|4|24|17|8|3|12|15
13|13|2014-01-11||Montana|W (3 OT)|81|78|23|50|.460|12|27|.444|23|28|.821|4|29|15|5|4|18|22||27|62|.435|7|20|.350|17|22|.773|7|27|18|9|4|14|27
14|14|2014-01-16|@|Sacramento State|W (1 OT)|68|64|26|54|.481|5|17|.294|11|17|.647|8|28|14|5|2|9|22||23|52|.442|0|14|.000|18|22|.818|9|32|14|2|2|11|19
15|15|2014-01-18|@|Northern Arizona|L|56|77|21|53|.396|5|21|.238|9|11|.818|7|18|4|4|1|10|12||33|56|.589|6|14|.429|5|7|.714|10|35|15|5|4|12|14
