ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2013-11-10||Florida A&M|W|67|50|21|54|.389|12|31|.387|13|16|.813|11|41|15|0|3|11|15||18|55|.327|1|11|.091|13|17|.765|9|32|5|7|3|7|17
2|2|2013-11-16|@|Butler|L|67|70|18|39|.462|8|20|.400|23|37|.622|4|31|9|6|3|11|21||21|50|.420|9|24|.375|19|26|.731|5|29|10|7|1|10|27
3|3|2013-11-20||Lafayette|W (1 OT)|81|80|28|62|.452|12|26|.462|13|18|.722|12|27|16|7|5|9|18||28|48|.583|6|11|.545|18|22|.818|3|27|11|6|1|15|17
4|4|2013-11-23|@|Rice|W|70|56|25|55|.455|10|31|.323|10|13|.769|9|32|14|7|3|9|14||20|52|.385|6|17|.353|10|16|.625|9|30|9|5|2|13|12
5|5|2013-11-26||George Mason|W|71|66|25|41|.610|6|17|.353|15|23|.652|3|23|17|6|0|15|23||23|43|.535|3|11|.273|17|25|.680|4|22|9|7|1|14|21
6|6|2013-11-30|@|Bucknell|W|66|53|20|52|.385|10|25|.400|16|23|.696|5|35|14|5|5|7|14||20|56|.357|1|11|.091|12|16|.750|4|32|10|3|0|11|19
7|7|2013-12-07||Fairleigh Dickinson|W|77|55|26|58|.448|11|28|.393|14|19|.737|14|42|16|4|3|12|16||19|51|.373|3|15|.200|14|21|.667|5|27|4|7|2|10|21
8|8|2013-12-11|@|Rutgers|W|78|73|25|51|.490|16|34|.471|12|15|.800|6|27|18|3|2|11|12||29|58|.500|7|19|.368|8|12|.667|8|29|16|8|3|9|17
9|9|2013-12-14|@|Penn State|W (1 OT)|81|79|26|62|.419|10|32|.313|19|26|.731|1|19|17|13|5|10|18||29|58|.500|4|14|.286|17|23|.739|5|40|10|3|3|20|20
10|10|2013-12-20|N|Pacific|W|83|58|27|53|.509|18|39|.462|11|15|.733|6|27|22|4|2|11|15||21|50|.420|3|12|.250|13|19|.684|6|26|2|7|1|12|19
11|11|2013-12-21|N|Portland|L|79|93|25|46|.543|5|16|.313|24|32|.750|7|24|9|4|3|17|26||27|48|.563|8|15|.533|31|37|.838|6|21|8|5|1|10|24
12|12|2013-12-31||Kent State|W|73|68|18|51|.353|8|25|.320|29|40|.725|15|38|10|6|2|9|16||22|56|.393|10|22|.455|14|22|.636|9|31|8|5|5|12|27
13|13|2014-01-04|@|Liberty|W|80|74|26|54|.481|9|28|.321|19|24|.792|6|23|16|4|3|4|15||26|49|.531|10|20|.500|12|16|.750|2|27|14|0|4|10|19
14|14|2014-01-11|@|Pennsylvania|L|74|77|25|58|.431|6|21|.286|18|24|.750|6|24|15|11|3|8|18||27|55|.491|3|9|.333|20|26|.769|9|37|18|6|4|18|19
15|15|2014-01-26||Kean|W|84|54|28|64|.438|17|43|.395|11|18|.611|11|41|21|8|7|10|10||21|62|.339|6|23|.261|6|8|.750|8|31|10|6|1|13|14
16|16|2014-01-31|@|Harvard|L|76|82|28|55|.509|10|26|.385|10|20|.500|7|26|17|7|1|16|24||28|51|.549|6|13|.462|20|33|.606|8|32|14|9|7|12|20
17|17|2014-02-01|@|Dartmouth|L (1 OT)|69|78|23|51|.451|10|30|.333|13|15|.867|6|24|13|8|3|14|21||25|48|.521|5|12|.417|23|26|.885|6|28|10|6|5|12|15
18|18|2014-02-07||Columbia|L|52|53|20|45|.444|6|21|.286|6|9|.667|4|24|8|8|5|9|16||19|47|.404|5|16|.313|10|13|.769|6|26|12|7|2|13|14
19|19|2014-02-08||Cornell|W|69|48|24|49|.490|11|28|.393|10|13|.769|8|33|12|10|5|12|19||15|44|.341|5|17|.294|13|20|.650|9|27|6|7|0|16|17
20|20|2014-02-14|@|Brown|W|69|65|28|54|.519|3|17|.176|10|14|.714|8|34|12|7|5|12|17||23|55|.418|4|15|.267|15|19|.789|5|24|12|7|1|11|15
21|21|2014-02-15|@|Yale|L (1 OT)|65|66|20|56|.357|5|22|.227|20|23|.870|4|24|9|7|0|10|19||23|53|.434|3|11|.273|17|22|.773|10|37|15|6|6|16|21
22|22|2014-02-21||Dartmouth|W|67|57|19|52|.365|9|29|.310|20|23|.870|7|36|16|3|4|13|18||20|56|.357|4|14|.286|13|21|.619|9|32|10|6|6|9|20
23|23|2014-02-22||Harvard|L|47|59|18|53|.340|8|24|.333|3|10|.300|7|30|12|9|4|14|17||22|50|.440|5|13|.385|10|12|.833|4|30|12|7|5|13|13
24|24|2014-02-28||Yale|W|57|46|16|49|.327|7|27|.259|18|23|.783|5|33|10|8|8|9|17||15|51|.294|2|12|.167|14|18|.778|8|36|7|6|7|16|21
25|25|2014-03-01||Brown|W|69|64|24|60|.400|9|21|.429|12|17|.706|13|37|18|5|7|11|17||22|60|.367|3|14|.214|17|20|.850|10|35|11|7|5|8|17
26|26|2014-03-07|@|Cornell|W|91|51|34|53|.642|14|23|.609|9|13|.692|3|32|23|5|3|10|16||17|51|.333|5|19|.263|12|15|.800|7|22|7|6|1|11|16
