ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2013-11-09||St. Thomas (TX)|W|69|60|19|48|.396|9|25|.360|22|32|.688|9|35|13|7|2|17|16||19|56|.339|5|17|.294|17|22|.773|6|28|8|11|0|13|26
2|2|2013-11-12||Southeastern Louisiana|L|62|63|21|49|.429|4|18|.222|16|23|.696|5|29|11|3|0|12|18||23|49|.469|4|14|.286|13|21|.619|5|30|9|6|0|13|19
3|3|2013-11-15|@|Texas A&M|L|65|68|24|53|.453|9|29|.310|8|10|.800|3|24|17|8|4|13|24||20|49|.408|3|18|.167|25|37|.676|11|34|13|5|2|8|14
4|4|2013-11-20|@|Texas A&M-Corpus Christi|W|63|61|20|48|.417|7|25|.280|16|25|.640|8|31|11|4|2|10|17||21|52|.404|4|16|.250|15|20|.750|6|27|9|6|4|6|21
5|5|2013-11-23||Princeton|L|56|70|20|52|.385|6|17|.353|10|16|.625|9|30|9|5|2|13|12||25|55|.455|10|31|.323|10|13|.769|9|32|14|7|3|9|14
6|6|2013-11-29|N|Rider|L (1 OT)|93|97|32|59|.542|18|35|.514|11|13|.846|1|28|25|4|3|13|18||33|63|.524|12|20|.600|19|27|.704|8|33|16|7|4|9|17
7|7|2013-11-30|N|Santa Clara|W|67|66|22|43|.512|6|15|.400|17|24|.708|3|24|16|1|2|11|18||24|59|.407|6|21|.286|12|19|.632|13|34|12|4|5|6|21
8|8|2013-12-04|@|Houston Baptist|L|71|73|22|49|.449|10|25|.400|17|24|.708|3|26|10|3|5|13|19||25|52|.481|4|10|.400|19|25|.760|6|33|13|4|1|12|22
9|9|2013-12-07||South Alabama|W (3 OT)|96|93|36|77|.468|9|32|.281|15|25|.600|8|43|24|4|0|10|23||26|69|.377|17|37|.459|24|34|.706|11|47|17|4|2|13|24
10|10|2013-12-19||Northwood (TX)|W|69|56|20|67|.299|10|35|.286|19|27|.704|12|45|11|8|2|15|16||20|63|.317|7|23|.304|9|18|.500|6|33|9|9|7|14|20
