ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2013-11-08|@|Texas-Pan American|W|77|73|21|46|.457|5|12|.417|30|50|.600|10|34|11|7|3|22|22||26|64|.406|2|14|.143|19|29|.655|13|34|8|7|2|18|34
2|2|2013-11-11||Hillsdale|W|116|54|45|79|.570|17|31|.548|9|15|.600|16|49|33|13|8|12|17||17|64|.266|5|24|.208|15|16|.938|9|26|12|7|0|18|15
3|3|2013-11-14|@|Prairie View|W (2 OT)|108|103|33|63|.524|8|16|.500|34|46|.739|14|41|14|7|8|15|23||37|70|.529|9|21|.429|20|30|.667|7|29|15|9|2|14|29
4|4|2013-11-20||Jarvis Christian|W|98|48|33|55|.600|9|20|.450|23|38|.605|15|51|23|5|6|13|12||17|57|.298|2|15|.133|12|17|.706|7|23|13|5|0|16|24
5|5|2013-11-24|@|Texas A&M|L|62|79|20|53|.377|2|12|.167|20|33|.606|6|27|7|11|0|10|26||28|49|.571|4|10|.400|19|30|.633|5|34|14|4|7|17|25
6|6|2013-11-26|@|Southern Methodist|L|53|72|17|50|.340|6|18|.333|13|22|.591|4|18|10|9|3|12|25||23|48|.479|1|8|.125|25|30|.833|12|43|16|5|6|16|20
7|7|2013-11-29|N|Arkansas-Pine Bluff|W|75|49|21|41|.512|9|14|.643|24|37|.649|8|29|15|6|4|17|24||13|43|.302|6|17|.353|17|25|.680|11|25|8|7|2|20|28
8|8|2013-11-30|N|Liberty|L|58|62|18|54|.333|4|20|.200|18|25|.720|13|31|10|7|6|8|23||21|52|.404|4|15|.267|16|23|.696|12|36|8|0|2|14|21
9|9|2013-12-06|N|James Madison|W|77|76|25|52|.481|9|19|.474|18|28|.643|9|31|12|10|3|21|26||24|57|.421|6|19|.316|22|31|.710|10|31|13|9|2|16|23
10|10|2013-12-07|N|Towson|W|67|55|25|58|.431|6|12|.500|11|18|.611|13|30|12|6|2|5|22||20|50|.400|5|16|.313|10|23|.435|16|40|9|3|6|15|18
11|11|2013-12-14|@|Toledo|L|61|77|21|59|.356|3|17|.176|16|19|.842|14|36|13|4|3|12|17||30|60|.500|5|15|.333|12|19|.632|7|30|21|5|5|5|16
12|12|2013-12-28||Long Island University|W|82|78|26|54|.481|12|25|.480|18|24|.750|9|24|20|10|4|19|21||24|38|.632|9|14|.643|21|27|.778|2|21|19|7|2|28|21
13|13|2014-01-02|@|Northwestern State|W (2 OT)|107|104|33|77|.429|9|32|.281|32|52|.615|12|43|11|10|1|10|33||33|72|.458|4|14|.286|34|45|.756|13|51|15|5|5|15|35
14|14|2014-01-04|@|Stephen F. Austin|L|56|73|23|56|.411|5|16|.313|5|13|.385|9|25|15|3|2|9|21||24|53|.453|4|16|.250|21|29|.724|15|41|19|4|4|10|17
15|15|2014-01-09||McNeese State|W|86|81|24|56|.429|8|22|.364|30|44|.682|14|38|21|10|1|14|22||23|55|.418|11|27|.407|24|31|.774|8|32|17|10|3|16|31
16|16|2014-01-11||Nicholls State|W|88|61|30|52|.577|7|17|.412|21|30|.700|8|32|21|5|3|7|19||23|51|.451|8|22|.364|7|15|.467|8|27|17|4|2|13|23
17|17|2014-01-16|@|Southeastern Louisiana|W|85|78|29|46|.630|6|8|.750|21|32|.656|9|29|9|4|1|15|17||27|49|.551|11|22|.500|13|22|.591|3|16|13|6|6|12|25
