ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2013-11-08|@|Marshall|L|69|85|26|68|.382|6|20|.300|11|26|.423|17|46|12|4|0|17|29||26|64|.406|7|30|.233|26|41|.634|15|44|17|12|8|13|22
2|2|2013-11-10||St. Andrews|W (1 OT)|59|55|22|49|.449|6|18|.333|9|20|.450|9|22|16|8|4|17|13||21|43|.488|8|18|.444|5|7|.714|7|29|10|6|2|24|18
3|3|2013-11-12|@|Michigan|L|59|93|21|59|.356|6|14|.429|11|19|.579|5|25|11|6|4|9|13||31|61|.508|15|28|.536|16|19|.842|8|41|19|6|5|9|15
4|4|2013-11-17|@|Nebraska|L|57|83|18|56|.321|6|19|.316|15|23|.652|12|34|9|1|1|13|24||26|56|.464|8|20|.400|23|32|.719|10|35|11|5|4|5|20
5|5|2013-11-19|@|Nebraska-Omaha|L|59|91|23|62|.371|6|23|.261|7|10|.700|12|37|14|0|4|21|26||30|62|.484|7|25|.280|24|30|.800|7|28|21|13|5|6|19
6|6|2013-11-23||Voorhees|W|88|74|30|66|.455|5|16|.313|23|32|.719|12|41|14|9|7|10|17||27|69|.391|7|28|.250|13|19|.684|14|41|8|4|1|12|27
7|7|2013-11-25||Nebraska-Omaha|L|67|83|28|59|.475|5|13|.385|6|12|.500|7|24|11|9|3|14|16||29|56|.518|8|19|.421|17|21|.810|9|28|17|3|6|16|14
8|8|2013-12-03|@|Clemson|L|49|65|21|61|.344|3|15|.200|4|7|.571|8|26|6|6|2|9|10||25|59|.424|6|19|.316|9|11|.818|13|42|12|4|5|11|12
9|9|2013-12-07||Georgia Southern|L|61|79|24|49|.490|7|19|.368|6|9|.667|10|31|12|2|0|19|15||29|58|.500|10|23|.435|11|16|.688|10|26|9|4|0|9|11
10|10|2013-12-17||Coastal Carolina|W|83|78|27|63|.429|6|19|.316|23|32|.719|15|37|15|4|5|15|15||28|62|.452|8|23|.348|14|17|.824|9|30|11|6|2|15|26
11|11|2013-12-23|@|Jacksonville|L|47|61|16|50|.320|4|22|.182|11|18|.611|12|33|8|4|2|19|25||19|41|.463|5|16|.313|18|31|.581|9|35|12|10|2|16|21
12|12|2013-12-30|@|Coastal Carolina|W|68|58|23|49|.469|7|18|.389|15|21|.714|7|32|16|9|3|10|23||18|60|.300|3|27|.111|19|34|.559|22|38|6|7|1|11|21
13|13|2014-01-03|@|South Carolina|L|75|82|29|65|.446|5|20|.250|12|18|.667|14|32|14|7|5|10|27||25|50|.500|7|15|.467|25|35|.714|9|29|13|4|4|13|16
14|14|2014-01-08||Maryland-Eastern Shore|W|78|71|27|49|.551|7|14|.500|17|28|.607|8|32|12|6|4|20|22||23|58|.397|6|19|.316|19|26|.731|11|25|8|11|2|18|21
15|15|2014-01-11|@|Morgan State|L|56|73|19|55|.345|2|13|.154|16|21|.762|10|31|7|5|2|17|15||28|64|.438|4|18|.222|13|23|.565|15|41|20|10|7|9|18
16|16|2014-01-13|@|Coppin State|L|69|75|26|59|.441|4|15|.267|13|18|.722|8|29|16|5|2|13|22||25|59|.424|6|23|.261|19|24|.792|12|35|19|5|3|13|15
17|17|2014-01-18||Florida A&M|L|72|78|24|59|.407|5|17|.294|19|24|.792|15|38|16|5|6|21|18||28|62|.452|7|18|.389|15|22|.682|12|33|12|7|6|13|19
18|18|2014-01-20||Bethune-Cookman|W (1 OT)|69|67|27|60|.450|4|16|.250|11|18|.611|13|38|17|4|5|13|16||23|58|.397|8|20|.400|13|18|.722|10|31|13|7|1|10|19
19|19|2014-01-25||Norfolk State|W|73|61|22|54|.407|2|12|.167|27|31|.871|11|33|14|10|3|10|20||21|57|.368|5|19|.263|14|25|.560|17|37|14|5|7|15|21
20|20|2014-01-27||Hampton|L|56|67|19|65|.292|10|23|.435|8|11|.727|15|40|15|6|6|20|22||23|57|.404|3|12|.250|18|28|.643|10|38|12|12|11|14|16
21|21|2014-02-01|@|Florida A&M|W (1 OT)|63|59|22|55|.400|5|16|.313|14|20|.700|11|42|13|6|2|20|18||23|69|.333|6|22|.273|7|12|.583|12|32|14|8|1|10|15
22|22|2014-02-03|@|Bethune-Cookman|L|59|91|22|58|.379|4|19|.211|11|16|.688|12|22|11|5|3|12|14||29|41|.707|15|18|.833|18|20|.900|3|29|16|8|2|15|18
23|23|2014-02-08|@|Delaware State|L|53|61|21|58|.362|5|23|.217|6|9|.667|13|29|12|7|4|11|19||20|42|.476|8|15|.533|13|19|.684|5|30|13|4|6|16|14
24|24|2014-02-15||North Carolina Central|L|53|67|20|48|.417|4|15|.267|9|21|.429|13|35|11|7|6|21|13||25|63|.397|4|15|.267|13|18|.722|14|34|14|10|6|8|16
25|25|2014-02-17||North Carolina A&T|W (1 OT)|75|70|27|64|.422|9|27|.333|12|19|.632|15|41|19|5|4|12|25||22|48|.458|5|16|.313|21|33|.636|5|29|13|5|3|9|21
26|26|2014-02-22||Savannah State|L|65|75|23|60|.383|5|20|.250|14|22|.636|15|33|12|6|3|12|16||28|53|.528|5|14|.357|14|24|.583|9|27|11|8|3|8|19
27|27|2014-03-01|@|North Carolina Central|L|44|86|15|53|.283|2|16|.125|12|16|.750|11|30|5|3|2|18|20||30|62|.484|5|19|.263|21|28|.750|15|43|18|12|4|5|18
28|28|2014-03-03|@|North Carolina A&T|L|60|62|21|47|.447|4|13|.308|14|23|.609|6|28|13|6|2|16|25||17|43|.395|2|12|.167|26|39|.667|12|33|9|8|3|16|21
29|29|2014-03-06|@|Savannah State|L|50|69|19|56|.339|0|13|.000|12|18|.667|9|26|10|6|3|12|14||25|52|.481|3|13|.231|16|21|.762|9|34|14|7|4|14|13
30|30|2014-03-10|N|Savannah State|L|47|61|14|53|.264|4|16|.250|15|25|.600|10|34|3|7|2|12|25||19|46|.413|4|14|.286|19|30|.633|9|37|7|4|5|15|18
