ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2013-11-08|@|San Diego|L|70|74|24|56|.429|6|20|.300|16|23|.696|8|33|15|10|6|16|20||26|55|.473|9|21|.429|13|26|.500|7|33|11|8|4|19|23
2|2|2013-11-09|N|Loyola Marymount|L|89|98|23|55|.418|6|18|.333|37|50|.740|17|33|9|9|2|21|25||34|59|.576|5|16|.313|25|31|.806|9|28|16|12|4|18|37
3|3|2013-11-14||Montana|L|69|77|25|58|.431|6|20|.300|13|21|.619|11|34|9|2|3|7|19||26|46|.565|11|23|.478|14|20|.700|1|27|15|3|0|7|23
4|4|2013-11-18||Southwest State (MN)|W|83|62|31|59|.525|7|22|.318|14|24|.583|7|45|16|4|6|14|19||24|72|.333|3|18|.167|11|15|.733|8|28|9|7|1|12|23
5|5|2013-11-21|@|Texas Tech|L|54|68|18|53|.340|6|29|.207|12|13|.923|9|30|5|3|6|13|13||25|57|.439|5|11|.455|13|15|.867|8|29|9|10|4|9|18
6|6|2013-11-25||Howard|W|77|65|19|57|.333|7|23|.304|32|38|.842|13|42|13|6|5|8|21||16|55|.291|6|15|.400|27|36|.750|14|40|4|4|2|10|26
7|7|2013-11-26|N|Lehigh|W|74|61|25|54|.463|10|20|.500|14|16|.875|8|34|18|3|2|14|10||26|60|.433|5|15|.333|4|9|.444|5|25|9|10|3|6|18
8|8|2013-11-29|@|California-Santa Barbara|L|64|83|22|51|.431|8|21|.381|12|19|.632|6|26|12|0|1|15|14||32|58|.552|6|14|.429|13|17|.765|7|27|24|6|11|7|20
9|9|2013-12-01|@|Stanford|L|60|92|22|65|.338|6|25|.240|10|13|.769|10|28|8|4|0|14|20||34|57|.596|7|14|.500|17|22|.773|6|36|15|9|6|13|17
10|10|2013-12-04||Dakota State|W|88|62|31|55|.564|9|18|.500|17|22|.773|7|37|18|9|7|12|16||21|60|.350|10|23|.435|10|14|.714|9|25|11|9|3|13|18
11|11|2013-12-10|@|Minnesota|L|59|75|22|54|.407|6|20|.300|9|11|.818|7|28|16|3|3|8|14||27|62|.435|8|26|.308|13|15|.867|13|38|21|7|2|7|15
12|12|2013-12-14||Belmont|W|85|72|27|47|.574|7|19|.368|24|33|.727|7|29|14|8|4|12|16||25|51|.490|10|21|.476|12|17|.706|5|23|16|5|2|16|28
13|13|2013-12-18||Wayne State (NE)|W|75|56|27|45|.600|6|13|.462|15|23|.652|2|29|15|8|6|9|12||22|54|.407|9|18|.500|3|7|.429|6|23|12|3|1|13|20
14|14|2013-12-21|@|North Dakota|W|77|70|25|51|.490|8|15|.533|19|24|.792|9|31|13|6|3|12|18||25|53|.472|8|19|.421|12|20|.600|5|21|10|3|5|9|22
15|15|2013-12-28|@|Missouri-Kansas City|W|65|60|24|52|.462|5|22|.227|12|18|.667|9|31|11|6|3|18|18||23|50|.460|4|16|.250|10|22|.455|6|28|8|11|2|16|22
16|16|2014-01-09|@|IUPUI|W|86|70|29|56|.518|4|14|.286|24|29|.828|6|26|13|8|3|7|16||27|50|.540|2|7|.286|14|17|.824|2|26|10|4|0|13|20
17|17|2014-01-11|@|IPFW|L|75|82|23|49|.469|10|22|.455|19|23|.826|4|27|13|3|4|13|19||30|63|.476|8|29|.276|14|20|.700|9|31|19|6|3|8|18
18|18|2014-01-16||Western Illinois|W|64|55|19|46|.413|6|15|.400|20|22|.909|4|28|11|6|2|12|20||18|43|.419|7|16|.438|12|18|.667|3|24|10|3|1|15|20
19|19|2014-01-18||Nebraska-Omaha|L|71|80|24|60|.400|3|19|.158|20|25|.800|9|28|13|5|2|11|18||30|54|.556|4|13|.308|16|23|.696|7|31|10|8|2|11|20
20|20|2014-01-25||North Dakota State|L|77|85|28|56|.500|10|24|.417|11|17|.647|3|24|18|7|0|8|21||27|48|.563|8|15|.533|23|28|.821|4|32|12|5|0|10|18
21|21|2014-01-30|@|Denver|W|74|73|24|49|.490|7|19|.368|19|26|.731|11|29|12|5|3|9|16||26|44|.591|5|12|.417|16|21|.762|2|17|13|8|1|8|22
22|22|2014-02-01|@|South Dakota|W|70|68|21|49|.429|6|16|.375|22|27|.815|7|30|8|3|1|12|19||20|45|.444|6|19|.316|22|25|.880|1|20|8|4|3|12|23
23|23|2014-02-06||IPFW|W|79|51|31|62|.500|10|19|.526|7|10|.700|11|37|21|7|4|8|15||19|54|.352|6|24|.250|7|13|.538|9|27|9|5|4|11|14
24|24|2014-02-08||IUPUI|W|83|59|25|55|.455|8|19|.421|25|30|.833|10|35|18|2|4|4|21||19|52|.365|3|13|.231|18|23|.783|4|27|6|3|3|7|24
25|25|2014-02-13|@|Nebraska-Omaha|W|77|60|31|66|.470|4|15|.267|11|17|.647|16|47|13|5|5|12|20||19|60|.317|5|22|.227|17|22|.773|6|25|10|6|2|8|17
26|26|2014-02-15|@|Western Illinois|W|62|50|17|46|.370|2|10|.200|26|36|.722|8|41|9|5|1|10|20||15|47|.319|4|17|.235|16|26|.615|3|24|8|8|4|6|28
27|27|2014-02-22|@|North Dakota State|L|59|74|19|58|.328|5|19|.263|16|20|.800|9|30|9|5|1|7|20||26|48|.542|4|11|.364|18|24|.750|4|31|15|4|3|9|16
28|28|2014-02-27||Denver|W|78|69|24|50|.480|6|17|.353|24|32|.750|12|37|18|10|4|14|15||28|60|.467|8|21|.381|5|8|.625|5|23|13|7|3|11|26
29|29|2014-03-01||South Dakota|W|75|61|22|49|.449|6|18|.333|25|29|.862|7|35|14|6|3|14|22||15|52|.288|6|19|.316|25|29|.862|7|25|8|9|3|11|20
30|30|2014-03-09|N|Western Illinois|W|71|50|21|49|.429|6|18|.333|23|31|.742|8|33|15|7|3|11|15||19|51|.373|3|13|.231|9|16|.563|6|21|7|9|4|15|24
31|31|2014-03-10|N|IPFW|L|60|64|22|49|.449|4|15|.267|12|17|.706|6|32|12|5|3|18|13||24|59|.407|7|18|.389|9|13|.692|8|27|11|14|0|11|14
32|32|2014-03-19|@|Old Dominion|L|65|72|24|58|.414|9|21|.429|8|12|.667|12|37|12|4|2|14|16||25|57|.439|8|21|.381|14|19|.737|9|30|17|6|4|7|12
