ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2013-11-08||Jackson State|W|67|51|16|42|.381|5|18|.278|30|44|.682|13|41|13|8|5|21|26||16|53|.302|4|21|.190|15|27|.556|15|35|5|7|1|20|35
2|2|2013-11-13|@|DePaul|W|75|68|26|50|.520|4|11|.364|19|27|.704|9|34|14|7|3|14|22||23|53|.434|7|26|.269|15|24|.625|8|26|14|11|1|14|22
3|3|2013-11-18|@|North Dakota State|W|70|69|26|50|.520|5|10|.500|13|22|.591|9|25|11|11|1|15|22||21|45|.467|9|21|.429|18|24|.750|8|22|17|7|5|17|20
4|4|2013-11-22|@|South Alabama|W|66|59|19|48|.396|7|17|.412|21|29|.724|14|30|8|6|2|10|21||18|42|.429|7|18|.389|16|25|.640|11|30|8|2|3|14|25
5|5|2013-11-23|N|Houston Baptist|W|67|62|20|53|.377|5|16|.313|22|31|.710|13|31|8|6|2|10|23||18|41|.439|5|11|.455|21|31|.677|8|28|11|4|4|16|25
6|6|2013-11-24||William Carey|W|99|54|41|64|.641|8|16|.500|9|19|.474|13|29|22|15|6|11|14||21|50|.420|4|14|.286|8|11|.727|12|26|12|5|1|28|20
7|7|2013-11-29|@|Louisville|L|38|69|13|45|.289|2|11|.182|10|13|.769|9|31|7|7|1|21|20||23|55|.418|12|31|.387|11|22|.500|15|38|16|9|6|12|15
8|8|2013-12-04||Morehead State|W|74|60|25|54|.463|3|12|.250|21|31|.677|9|24|14|10|1|9|24||20|43|.465|6|15|.400|14|29|.483|13|35|15|5|2|24|25
9|9|2013-12-07||Georgia State|W (1 OT)|75|65|19|49|.388|6|21|.286|31|44|.705|14|42|12|7|3|15|18||23|61|.377|6|21|.286|13|17|.765|8|26|9|9|6|10|26
10|10|2013-12-14||St. Catharine|W|96|60|37|63|.587|5|18|.278|17|33|.515|13|38|20|20|3|16|22||20|46|.435|5|19|.263|15|25|.600|5|21|13|10|1|27|23
