ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2013-11-09||Norfolk State|W|95|83|33|56|.589|8|17|.471|21|32|.656|8|29|21|2|7|6|14||32|72|.444|8|19|.421|11|15|.733|18|36|19|3|6|10|25
2|2|2013-11-11||Wiley|W|113|96|38|69|.551|11|27|.407|26|30|.867|12|38|27|5|10|18|8||38|77|.494|11|24|.458|9|12|.750|8|26|24|10|4|15|25
3|3|2013-11-14|@|Miami (FL)|L|69|84|23|54|.426|11|22|.500|12|17|.706|9|27|13|3|2|16|11||35|69|.507|10|20|.500|4|6|.667|13|39|21|12|4|9|14
4|4|2013-11-16|@|Florida International|L|68|70|20|55|.364|4|16|.250|24|31|.774|10|37|11|2|3|13|15||28|62|.452|5|15|.333|9|17|.529|11|35|11|7|4|8|23
5|5|2013-11-18|@|Texas Tech|L|71|80|22|58|.379|7|18|.389|20|29|.690|12|33|7|2|2|7|22||30|56|.536|4|13|.308|16|27|.593|9|30|9|3|12|5|23
6|6|2013-11-21|@|Stanford|L|71|97|23|65|.354|9|20|.450|16|17|.941|6|24|16|4|2|10|14||37|78|.474|13|26|.500|10|15|.667|18|45|21|5|8|9|20
7|7|2013-11-25|N|Lehigh|L|63|67|21|58|.362|5|22|.227|16|25|.640|16|36|12|8|3|15|21||22|52|.423|4|15|.267|19|26|.731|10|32|10|5|2|15|24
8|8|2013-11-26|N|Howard|W|63|54|19|46|.413|3|11|.273|22|27|.815|9|27|10|6|2|16|15||22|55|.400|3|13|.231|7|12|.583|12|25|5|9|7|16|23
9|9|2013-12-04|@|Tulsa|L|71|98|20|48|.417|7|22|.318|24|35|.686|5|27|15|3|2|15|18||36|67|.537|11|21|.524|15|23|.652|13|37|20|8|3|9|27
10|10|2013-12-15|@|Cal State Fullerton|L|80|87|24|61|.393|5|19|.263|27|32|.844|20|40|13|3|2|16|21||31|57|.544|5|16|.313|20|26|.769|7|23|14|4|1|9|23
11|11|2013-12-18|@|Temple|W|90|89|35|59|.593|6|16|.375|14|21|.667|9|24|28|8|1|11|12||36|64|.563|7|19|.368|10|11|.909|10|29|24|6|3|11|17
12|12|2013-12-29|@|Texas Christian|L|64|77|25|63|.397|2|15|.133|12|18|.667|13|39|15|8|2|14|14||31|65|.477|5|12|.417|10|15|.667|10|37|19|8|5|11|15
13|13|2014-01-04||Alcorn State|W|83|66|28|52|.538|6|14|.429|21|28|.750|6|37|17|3|6|15|11||27|67|.403|6|18|.333|6|9|.667|7|28|17|6|0|9|20
14|14|2014-01-06||Southern|L|71|79|26|60|.433|6|17|.353|13|17|.765|10|32|17|3|2|11|12||34|67|.507|5|19|.263|6|10|.600|7|31|20|4|6|10|17
15|15|2014-01-11||Prairie View|W (3 OT)|87|83|29|66|.439|4|22|.182|25|42|.595|13|48|13|6|5|11|19||28|79|.354|13|40|.325|14|17|.824|8|34|11|7|4|13|37
16|16|2014-01-18|@|Grambling|W|74|72|20|39|.513|7|15|.467|27|36|.750|9|27|10|4|1|16|11||24|46|.522|13|26|.500|11|12|.917|5|20|13|7|3|12|25
17|17|2014-01-20|@|Jackson State|L|80|84|27|48|.563|6|16|.375|20|30|.667|8|27|9|8|2|16|17||30|57|.526|7|13|.538|17|24|.708|9|25|20|8|3|13|24
18|18|2014-01-25||Mississippi Valley State|W|94|56|29|54|.537|8|18|.444|28|37|.757|9|46|19|3|7|16|21||20|65|.308|1|14|.071|15|23|.652|9|26|7|9|0|12|28
19|19|2014-01-27||Arkansas-Pine Bluff|W|72|71|26|53|.491|3|13|.231|17|24|.708|14|31|16|7|3|17|12||24|59|.407|14|27|.519|9|12|.750|8|23|15|10|4|15|21
20|20|2014-02-01|@|Alabama A&M|L|62|63|20|45|.444|3|14|.214|19|31|.613|10|27|5|4|2|12|16||24|47|.511|9|17|.529|6|14|.429|6|29|19|3|3|10|23
21|21|2014-02-03|@|Alabama State|L (1 OT)|73|79|26|69|.377|4|15|.267|17|22|.773|11|37|15|5|3|14|20||30|68|.441|4|19|.211|15|25|.600|12|40|12|3|6|14|20
22|22|2014-02-08|@|Prairie View|L|77|85|27|52|.519|6|14|.429|17|29|.586|7|29|13|7|2|17|19||31|59|.525|8|18|.444|15|23|.652|9|29|15|8|4|12|22
23|23|2014-02-15||Grambling|W|74|71|27|57|.474|6|18|.333|14|22|.636|6|25|18|10|3|9|14||28|56|.500|4|19|.211|11|11|1.000|4|30|11|4|2|15|17
24|24|2014-02-17||Jackson State|L|73|75|22|50|.440|12|29|.414|17|27|.630|9|25|14|4|3|13|18||24|51|.471|6|18|.333|21|24|.875|8|31|13|7|2|13|19
25|25|2014-02-22|@|Mississippi Valley State|W|73|65|24|54|.444|7|18|.389|18|25|.720|7|30|5|8|5|7|15||24|58|.414|7|17|.412|10|13|.769|9|32|12|5|4|12|21
26|26|2014-02-24|@|Arkansas-Pine Bluff|W|65|55|26|47|.553|7|19|.368|6|7|.857|4|28|16|4|6|15|13||20|50|.400|5|11|.455|10|18|.556|4|17|9|10|3|9|10
27|27|2014-03-01||Alabama State|W|86|66|31|57|.544|6|17|.353|18|24|.750|11|41|20|2|4|14|21||26|68|.382|4|20|.200|10|19|.526|8|23|14|6|3|5|18
28|28|2014-03-03||Alabama A&M|W|79|58|25|60|.417|10|21|.476|19|25|.760|13|40|16|6|4|10|15||21|55|.382|6|22|.273|10|12|.833|3|26|11|6|6|10|21
29|29|2014-03-06|@|Alcorn State|W|77|69|22|42|.524|8|15|.533|25|32|.781|3|25|7|1|5|10|17||23|57|.404|5|16|.313|18|24|.750|7|21|9|6|2|8|24
30|30|2014-03-08|@|Southern|W|67|64|21|54|.389|7|16|.438|18|30|.600|7|40|7|2|4|7|22||23|64|.359|3|16|.188|15|23|.652|9|36|9|5|5|5|20
31|31|2014-03-12|N|Grambling|W|79|54|29|61|.475|5|19|.263|16|27|.593|14|47|14|5|10|13|21||18|62|.290|3|13|.231|15|24|.625|12|33|7|7|3|12|19
32|32|2014-03-14|N|Alabama State|W|73|61|23|46|.500|8|20|.400|19|24|.792|6|31|12|4|4|18|22||22|54|.407|1|8|.125|16|26|.615|7|27|9|9|4|12|22
33|33|2014-03-15|N|Prairie View|W|78|73|22|46|.478|6|15|.400|28|35|.800|9|29|13|2|4|14|15||28|61|.459|6|17|.353|11|17|.647|9|27|13|8|1|9|29
34|34|2014-03-19|N|Cal Poly|L|69|81|24|50|.480|4|13|.308|17|22|.773|9|24|12|3|1|13|23||29|51|.569|6|15|.400|17|22|.773|8|26|15|4|4|10|20
