ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2013-11-08|@|Houston|L|70|76|26|58|.448|6|15|.400|12|19|.632|10|32|10|6|0|11|19||26|50|.520|6|14|.429|18|27|.667|5|31|17|6|4|13|21
2|2|2013-11-12||Stephen F. Austin|L|57|64|20|49|.408|2|11|.182|15|23|.652|12|32|6|7|4|17|21||23|51|.451|6|16|.375|12|25|.480|9|25|9|6|3|12|22
3|3|2013-11-16|@|Oral Roberts|L|65|82|26|51|.510|5|17|.294|8|13|.615|7|23|15|2|0|14|18||29|48|.604|10|15|.667|14|19|.737|5|26|17|4|1|9|15
4|4|2013-11-20|@|Southern Methodist|L|49|70|16|50|.320|8|24|.333|9|15|.600|6|23|9|6|2|16|19||25|50|.500|8|18|.444|12|17|.706|8|33|20|10|6|16|19
5|5|2013-11-25||South Dakota|L|56|57|21|61|.344|4|15|.267|10|16|.625|12|43|11|4|5|11|15||22|59|.373|5|17|.294|8|13|.615|9|34|9|4|8|7|12
6|6|2013-11-29|N|Tulane|W|70|52|28|52|.538|5|12|.417|9|13|.692|6|23|15|8|2|12|17||19|40|.475|2|10|.200|12|18|.667|8|24|3|2|3|19|16
7|7|2013-11-30|N|Northern Kentucky|W|70|61|23|43|.535|11|16|.688|13|20|.650|6|26|10|8|5|14|13||22|50|.440|9|22|.409|8|11|.727|7|21|11|9|4|13|15
8|8|2013-12-01|N|Southeast Missouri State|L|74|82|31|63|.492|7|18|.389|5|12|.417|11|27|22|5|1|6|18||29|47|.617|8|13|.615|16|24|.667|6|31|14|4|5|10|12
9|9|2013-12-04||Cedarville|W|79|58|28|56|.500|7|17|.412|16|26|.615|19|44|19|7|4|11|16||19|50|.380|10|24|.417|10|13|.769|6|20|12|7|2|14|21
10|10|2013-12-14|@|Texas|L|53|85|19|64|.297|5|26|.192|10|18|.556|13|35|9|10|3|16|19||27|56|.482|6|15|.400|25|35|.714|10|42|11|11|7|13|15
