ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2013-11-09||Roanoke|W|93|74|30|69|.435|10|23|.435|23|32|.719|11|38|12|9|7|12|19||29|72|.403|7|23|.304|9|15|.600|12|43|20|6|4|20|28
2|2|2013-11-13||South Carolina Upstate|W|82|74|26|55|.473|8|18|.444|22|28|.786|8|31|15|5|4|11|17||27|56|.482|8|19|.421|12|15|.800|4|26|15|4|5|13|22
3|3|2013-11-16|@|Virginia Commonwealth|L|71|92|23|48|.479|8|19|.421|17|25|.680|5|23|12|8|3|24|30||26|60|.433|6|17|.353|34|48|.708|19|42|13|19|3|14|24
4|4|2013-11-19|@|East Tennessee State|W|76|66|29|59|.492|8|17|.471|10|17|.588|9|31|14|7|3|14|23||21|46|.457|6|14|.429|18|29|.621|8|30|15|7|3|17|18
5|5|2013-11-23||Virginia Intermont|W|96|62|39|68|.574|10|26|.385|8|14|.571|13|31|22|8|7|7|15||22|56|.393|8|20|.400|10|11|.909|14|29|9|2|1|21|14
6|6|2013-11-27||James Madison|W|69|57|23|59|.390|6|19|.316|17|27|.630|13|37|10|11|2|13|18||18|54|.333|4|20|.200|17|22|.773|13|39|7|7|5|19|17
7|7|2013-12-03|@|Virginia Tech|L|63|81|23|58|.397|7|22|.318|10|15|.667|5|18|9|6|1|10|20||29|48|.604|9|20|.450|14|20|.700|7|35|16|3|8|18|15
8|8|2013-12-15||Appalachian State|W|80|72|23|52|.442|7|18|.389|27|40|.675|10|31|10|6|4|9|22||24|57|.421|7|18|.389|17|23|.739|11|36|10|3|3|14|29
9|9|2013-12-18|@|North Carolina Central|L|66|72|24|53|.453|10|25|.400|8|12|.667|9|25|16|3|4|18|21||23|49|.469|7|16|.438|19|28|.679|9|28|17|9|6|13|15
10|10|2013-12-21||Wofford|L|56|62|17|47|.362|7|19|.368|15|21|.714|5|28|8|7|5|21|20||21|56|.375|2|15|.133|18|27|.667|10|34|6|13|0|12|18
