ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14|@|California|L|57|91|18|57|.316|3|15|.200|18|28|.643|11|27|4|3|3|10|15||37|71|.521|10|24|.417|7|13|.538|15|40|26|6|7|8|21
2|2|2014-11-16|@|Texas|L|53|85|19|64|.297|7|19|.368|8|11|.727|11|20|5|2|3|8|18||32|56|.571|12|25|.480|9|18|.500|13|43|24|4|9|12|10
3|3|2014-11-21|N|Hampton|L|69|82|20|53|.377|6|13|.462|23|32|.719|11|25|10|4|2|13|22||26|56|.464|7|18|.389|23|26|.885|13|36|16|7|3|17|27
4|4|2014-11-22|N|Kennesaw State|L|80|83|31|69|.449|4|16|.250|14|26|.538|12|35|18|10|4|12|22||29|64|.453|8|24|.333|17|27|.630|14|40|18|4|8|21|19
5|5|2014-11-24||Dillard|W|95|73|35|67|.522|5|19|.263|20|31|.645|12|38|17|9|3|11|16||26|67|.388|3|20|.150|18|24|.750|9|25|7|4|1|10|22
6|6|2014-12-02|@|Troy|L|51|72|20|59|.339|7|23|.304|4|6|.667|10|30|10|5|5|13|19||27|57|.474|5|16|.313|13|22|.591|10|38|18|7|2|9|7
7|7|2014-12-09|@|Iowa|L|44|67|19|58|.328|0|8|.000|6|11|.545|9|31|7|5|2|10|16||24|57|.421|3|19|.158|16|22|.727|13|44|14|3|3|10|12
8|8|2014-12-13|@|Ohio|L|55|66|19|57|.333|3|12|.250|14|16|.875|11|32|6|6|1|15|16||24|51|.471|7|20|.350|11|19|.579|7|32|8|4|3|13|17
9|9|2014-12-17|@|Murray State|L|56|94|21|56|.375|3|11|.273|11|15|.733|13|24|10|5|2|15|22||31|48|.646|13|22|.591|19|27|.704|11|35|25|8|3|15|17
10|10|2014-12-21|@|Texas-El Paso|L|45|78|15|47|.319|3|14|.214|12|20|.600|9|33|5|2|1|19|15||30|62|.484|8|23|.348|10|14|.714|9|31|23|7|6|5|17
11|11|2014-12-22|N|North Dakota State|L|50|61|17|57|.298|2|13|.154|14|21|.667|11|33|6|5|3|8|17||20|51|.392|5|13|.385|16|24|.667|10|41|11|2|3|10|18
12|12|2014-12-30||Concordia (AL)|L|70|79|23|81|.284|4|20|.200|20|29|.690|24|43|7|6|2|5|14||30|63|.476|3|10|.300|16|21|.762|13|44|8|4|6|5|20
13|13|2015-01-03||Texas Southern|L|55|72|21|57|.368|5|21|.238|8|11|.727|11|26|8|3|1|13|21||24|49|.490|6|14|.429|18|26|.692|8|32|10|7|0|10|12
14|14|2015-01-05||Prairie View|W|68|62|21|48|.438|1|14|.071|25|37|.676|10|34|7|6|4|11|14||25|61|.410|4|18|.222|8|12|.667|13|34|8|4|2|12|23
15|15|2015-01-10|@|Jackson State|L|54|64|17|53|.321|4|18|.222|16|25|.640|2|22|7|8|2|8|20||20|52|.385|3|12|.250|21|31|.677|11|45|7|1|1|15|22
16|16|2015-01-12|@|Grambling|W|72|70|26|56|.464|4|16|.250|16|25|.640|7|28|8|12|1|14|19||24|55|.436|5|13|.385|17|22|.773|8|32|8|8|0|13|22
17|17|2015-01-17||Mississippi Valley State|W|87|67|31|54|.574|8|18|.444|17|23|.739|4|33|12|5|3|5|9||27|69|.391|5|17|.294|8|10|.800|12|32|8|4|1|7|14
18|18|2015-01-19||Arkansas-Pine Bluff|L|49|54|13|44|.295|1|15|.067|22|29|.759|14|33|5|9|3|14|13||18|53|.340|4|16|.250|14|17|.824|13|33|7|5|2|10|17
19|19|2015-01-24|@|Alabama State|L|60|84|21|56|.375|1|11|.091|17|23|.739|7|29|7|5|4|15|19||32|70|.457|5|15|.333|15|25|.600|17|50|18|4|4|12|20
20|20|2015-01-26|@|Alabama A&M|L|66|78|24|68|.353|6|20|.300|12|27|.444|16|34|14|9|1|11|20||27|54|.500|6|15|.400|18|31|.581|10|41|22|5|3|14|21
21|21|2015-01-31||Southern|L|56|65|20|61|.328|1|15|.067|15|24|.625|10|35|2|5|2|13|21||20|46|.435|2|9|.222|23|37|.622|10|36|6|6|5|8|15
22|22|2015-02-07||Jackson State|L|61|64|20|49|.408|5|18|.278|16|28|.571|7|30|11|5|1|7|16||24|54|.444|7|16|.438|9|16|.563|6|31|7|6|2|9|21
23|23|2015-02-09||Grambling|W|91|77|29|54|.537|10|20|.500|23|31|.742|7|31|10|4|2|15|19||26|63|.413|7|16|.438|18|28|.643|10|27|7|5|1|10|21
24|24|2015-02-14|@|Mississippi Valley State|L|60|76|24|50|.480|3|15|.200|9|14|.643|9|23|5|6|6|9|14||32|63|.508|5|12|.417|7|14|.500|8|28|12|8|0|15|15
25|25|2015-02-17|@|Arkansas-Pine Bluff|L|70|74|27|64|.422|7|18|.389|9|16|.563|12|30|14|9|3|15|21||26|51|.510|8|18|.444|14|23|.609|9|31|13|6|12|21|15
26|26|2015-02-21||Alabama State|L|67|71|23|64|.359|8|24|.333|13|18|.722|9|26|11|7|1|6|15||25|50|.500|9|15|.600|12|19|.632|9|31|11|4|1|13|15
27|27|2015-02-23||Alabama A&M|L|69|73|22|62|.355|7|18|.389|18|29|.621|7|30|9|4|2|5|19||24|56|.429|6|19|.316|19|26|.731|10|37|10|3|1|8|17
28|28|2015-02-28|@|Southern|L|63|71|18|59|.305|9|32|.281|18|26|.692|11|22|7|7|1|6|20||22|43|.512|4|12|.333|23|27|.852|8|37|11|3|7|13|19
29|29|2015-03-05|@|Texas Southern|L|73|94|23|53|.434|8|22|.364|19|24|.792|8|20|8|3|3|10|23||33|52|.635|6|15|.400|22|30|.733|6|28|17|3|2|7|21
30|30|2015-03-07|@|Prairie View|L|80|83|32|61|.525|8|16|.500|8|16|.500|10|26|13|5|4|13|19||30|60|.500|9|21|.429|14|19|.737|12|29|11|7|5|13|16
31|31|2015-03-10|N|Grambling|W|66|52|27|58|.466|3|15|.200|9|16|.563|13|34|13|10|6|9|15||18|44|.409|3|8|.375|13|19|.684|7|24|7|6|0|15|17
32|32|2015-03-11|N|Texas Southern|L|74|95|28|68|.412|9|24|.375|9|16|.563|8|27|9|7|5|16|22||35|61|.574|7|10|.700|18|27|.667|11|39|19|9|4|15|16
