ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14|@|Hawaii|L|57|85|19|53|.358|5|19|.263|14|23|.609|10|27|9|11|3|15|20||31|67|.463|8|24|.333|15|20|.750|17|43|20|10|3|16|19
2|2|2014-11-15|N|High Point|L|62|74|22|51|.431|8|16|.500|10|15|.667|10|23|7|6|2|14|19||25|47|.532|7|20|.350|17|21|.810|10|27|13|6|2|16|12
3|3|2014-11-17|N|Cal State Bakersfield|W|56|49|18|46|.391|9|16|.563|11|18|.611|10|23|10|6|6|11|19||12|37|.324|6|18|.333|19|24|.792|9|26|6|4|1|13|17
4|4|2014-11-21|N|Valparaiso|L|46|59|17|45|.378|4|15|.267|8|10|.800|6|16|7|9|1|17|16||23|49|.469|5|19|.263|8|14|.571|18|35|11|5|5|17|17
5|5|2014-11-23|@|Central Michigan|L|43|75|17|52|.327|1|13|.077|8|11|.727|11|23|4|11|4|16|22||20|46|.435|15|33|.455|20|23|.870|7|30|16|9|2|17|17
6|6|2014-11-25|@|Ohio|L|60|69|21|64|.328|7|28|.250|11|14|.786|7|27|13|8|2|15|24||22|49|.449|4|17|.235|21|27|.778|9|40|15|9|3|20|13
7|7|2014-12-02|@|Akron|L|60|81|23|57|.404|7|16|.438|7|9|.778|6|23|14|10|0|16|23||24|56|.429|9|25|.360|24|37|.649|14|40|18|8|4|14|14
8|8|2014-12-06|@|Michigan State|L|52|85|17|55|.309|6|24|.250|12|21|.571|6|23|9|15|3|15|23||30|50|.600|10|18|.556|15|27|.556|10|39|27|8|5|18|14
9|9|2014-12-13|@|Air Force|L|47|80|17|40|.425|6|15|.400|7|11|.636|4|13|12|8|3|15|18||26|43|.605|11|21|.524|17|24|.708|9|30|19|9|0|14|16
10|10|2014-12-17|@|Houston|W (1 OT)|61|56|19|57|.333|7|26|.269|16|23|.696|11|33|8|18|0|18|17||18|53|.340|9|33|.273|11|20|.550|11|34|10|8|4|26|20
11|11|2014-12-19|@|Texas Tech|L|51|72|15|48|.313|7|23|.304|14|22|.636|7|23|8|9|4|16|25||23|48|.479|4|13|.308|22|33|.667|8|33|14|10|3|15|17
12|12|2014-12-22|N|Southern Utah|W|70|61|20|43|.465|7|17|.412|23|32|.719|7|29|7|8|6|14|20||19|53|.358|9|20|.450|14|22|.636|10|30|13|5|2|12|26
13|13|2014-12-23|N|Abilene Christian|L|61|69|20|53|.377|5|19|.263|16|20|.800|11|29|5|3|2|14|19||24|45|.533|10|20|.500|11|16|.688|5|27|15|7|2|18|21
14|14|2014-12-29|@|Stanford|L|39|74|13|41|.317|6|14|.429|7|11|.636|5|17|7|6|2|23|18||25|49|.510|11|17|.647|13|19|.684|7|29|22|13|4|14|14
15|15|2015-01-03||Mississippi Valley State|L|63|67|24|67|.358|8|35|.229|7|13|.538|16|33|16|13|4|14|14||22|49|.449|4|8|.500|19|23|.826|11|37|12|10|0|19|16
16|16|2015-01-10||Alabama State|L|71|74|28|59|.475|10|28|.357|5|8|.625|7|21|16|9|3|9|21||24|48|.500|8|13|.615|18|25|.720|12|33|14|4|3|16|11
17|17|2015-01-12||Alabama A&M|L|48|51|22|48|.458|1|10|.100|3|12|.250|10|36|4|7|6|12|15||17|51|.333|9|23|.391|8|15|.533|11|29|11|3|1|12|11
18|18|2015-01-17|@|Southern|L|60|70|19|51|.373|8|19|.421|14|22|.636|11|25|8|5|0|11|20||24|48|.500|4|14|.286|18|30|.600|10|33|14|6|6|11|17
19|19|2015-01-19|@|Alcorn State|W|54|49|18|53|.340|4|16|.250|14|17|.824|13|33|7|5|2|10|17||13|44|.295|1|15|.067|22|29|.759|14|33|5|9|3|14|13
20|20|2015-01-24||Texas Southern|W|66|62|21|54|.389|2|12|.167|22|29|.759|7|28|11|5|4|13|29||19|46|.413|1|13|.077|23|39|.590|8|33|6|5|4|14|23
21|21|2015-01-26||Prairie View|W|105|68|31|49|.633|12|20|.600|31|33|.939|7|25|21|7|5|14|16||26|59|.441|8|16|.500|8|17|.471|16|24|13|8|3|20|20
22|22|2015-01-31|@|Grambling|W|65|53|23|55|.418|3|15|.200|16|24|.667|7|23|13|16|3|9|20||15|29|.517|4|10|.400|19|29|.655|6|31|9|5|2|21|21
