ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-16|N|Northeastern|L|65|71|21|52|.404|8|19|.421|15|20|.750|5|25|17|6|0|8|17||24|54|.444|9|23|.391|14|21|.667|8|32|19|6|3|10|13
2|2|2014-11-19|@|Norfolk State|W|71|63|21|42|.500|9|21|.429|20|32|.625|7|29|16|5|3|16|18||20|52|.385|5|23|.217|18|26|.692|10|27|7|6|6|11|27
3|3|2014-11-21|@|Kentucky|L|65|89|20|52|.385|9|24|.375|16|18|.889|6|21|10|5|1|22|24||34|59|.576|8|21|.381|13|23|.565|8|29|24|9|9|13|21
4|4|2014-11-25|@|New Hampshire|L|68|75|19|52|.365|8|27|.296|22|30|.733|13|36|7|3|2|14|21||23|56|.411|8|24|.333|21|26|.808|6|30|13|4|0|6|21
5|5|2014-11-30||Massachusetts-Lowell|L|59|69|20|56|.357|9|29|.310|10|18|.556|7|25|12|4|0|6|21||22|42|.524|7|21|.333|18|24|.750|3|28|10|0|0|15|17
6|6|2014-12-03||Binghamton|W|77|65|28|54|.519|14|28|.500|7|13|.538|12|31|19|8|1|10|20||22|49|.449|8|21|.381|13|17|.765|7|23|14|3|1|14|18
7|7|2014-12-06||Saint Peter's|L|59|70|19|48|.396|8|26|.308|13|20|.650|5|22|9|3|0|4|18||27|44|.614|11|24|.458|5|16|.313|4|26|18|2|5|3|15
8|8|2014-12-08|@|Harvard|L|56|70|20|50|.400|5|13|.385|11|20|.550|8|25|9|7|4|8|15||20|51|.392|7|23|.304|23|25|.920|11|35|17|4|7|9|14
9|9|2014-12-14||Quinnipiac|W|71|68|22|49|.449|6|21|.286|21|23|.913|8|26|8|8|1|9|18||24|56|.429|7|14|.500|13|17|.765|10|28|10|1|3|11|18
10|10|2014-12-20|@|Dayton|L|62|78|21|42|.500|7|19|.368|13|21|.619|3|27|13|5|0|18|21||26|50|.520|11|23|.478|15|25|.600|7|30|15|9|1|11|18
11|11|2014-12-29||Wentworth|W|69|46|22|59|.373|7|21|.333|18|27|.667|13|39|14|14|4|8|13||17|49|.347|7|24|.292|5|8|.625|4|28|10|6|5|18|20
12|12|2014-12-31|@|Holy Cross|W (1 OT)|75|72|28|46|.609|6|15|.400|13|19|.684|5|37|16|2|6|20|14||31|84|.369|6|30|.200|4|5|.800|16|28|20|12|2|2|19
13|13|2015-01-03||Lehigh|W|75|56|22|54|.407|14|25|.560|17|20|.850|8|32|19|9|3|13|16||19|55|.345|5|14|.357|13|19|.684|10|33|11|7|1|16|14
14|14|2015-01-07|@|Navy|W|70|64|18|38|.474|11|20|.550|23|29|.793|5|28|15|5|2|11|16||24|58|.414|9|20|.450|7|13|.538|11|29|20|6|2|9|19
15|15|2015-01-10||Lafayette|L|62|63|24|55|.436|8|20|.400|6|11|.545|11|32|10|5|5|11|11||28|61|.459|5|20|.250|2|3|.667|9|30|19|5|3|9|11
16|16|2015-01-14|@|Colgate|L|53|62|19|51|.373|5|18|.278|10|12|.833|5|25|6|6|1|8|15||22|46|.478|9|23|.391|9|14|.643|7|30|14|7|6|10|13
17|17|2015-01-18|@|Loyola (MD)|L (1 OT)|86|91|26|54|.481|12|27|.444|22|41|.537|9|34|15|5|3|13|24||30|64|.469|7|20|.350|24|32|.750|10|34|14|7|4|9|27
18|18|2015-01-21||American|W|59|54|20|44|.455|6|17|.353|13|18|.722|5|21|9|11|1|8|14||19|43|.442|7|21|.333|9|12|.750|7|24|14|2|2|13|14
19|19|2015-01-24||Bucknell|L|77|92|24|57|.421|4|15|.267|25|30|.833|11|27|9|2|0|8|15||32|57|.561|13|20|.650|15|16|.938|7|26|19|5|2|6|22
20|20|2015-01-29|@|Army|L|67|71|24|60|.400|6|25|.240|13|22|.591|8|32|11|5|1|15|19||26|52|.500|3|22|.136|16|19|.842|4|27|15|4|2|15|20
21|21|2015-01-31|@|Lehigh|L|86|89|31|63|.492|7|25|.280|17|22|.773|8|25|15|6|1|6|23||29|53|.547|8|14|.571|23|32|.719|6|28|24|2|1|11|18
22|22|2015-02-04||Navy|W|62|59|22|44|.500|7|19|.368|11|17|.647|5|27|15|3|3|13|15||21|51|.412|7|19|.368|10|13|.769|7|22|15|7|4|11|14
23|23|2015-02-09|@|Lafayette|W|74|60|29|56|.518|10|29|.345|6|7|.857|9|29|11|9|3|16|14||21|53|.396|9|28|.321|9|11|.818|7|21|12|7|2|16|13
24|24|2015-02-11||Colgate|L|69|76|22|46|.478|7|21|.333|18|25|.720|5|27|15|4|1|12|19||27|53|.509|9|23|.391|13|20|.650|4|25|16|8|1|6|19
25|25|2015-02-14||Loyola (MD)|W|73|60|21|45|.467|8|19|.421|23|32|.719|9|40|15|8|0|17|17||21|58|.362|6|21|.286|12|18|.667|7|26|12|6|2|12|24
26|26|2015-02-18|@|American|W|61|53|20|42|.476|4|14|.286|17|24|.708|4|28|6|3|4|14|17||18|53|.340|7|26|.269|10|14|.714|9|27|12|5|2|9|19
