ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14||Long Beach State|W|95|90|28|54|.519|11|24|.458|28|33|.848|7|31|19|6|3|17|22||33|61|.541|13|22|.591|11|20|.550|9|24|15|10|3|18|25
2|2|2014-11-18||Arkansas-Little Rock|W|91|62|37|69|.536|7|20|.350|10|20|.500|12|45|22|9|0|11|18||21|61|.344|6|18|.333|14|19|.737|7|28|10|3|4|14|18
3|3|2014-11-19||Southern Virginia|W|101|48|37|68|.544|5|21|.238|22|33|.667|15|47|24|19|5|17|18||18|62|.290|3|21|.143|9|11|.818|10|29|8|9|1|26|26
4|4|2014-11-24|N|San Diego State|L (2 OT)|87|92|30|78|.385|13|30|.433|14|22|.636|12|32|13|6|4|10|24||32|66|.485|9|27|.333|19|31|.613|13|43|17|6|9|15|17
5|5|2014-11-25|N|Chaminade|W|121|85|41|74|.554|17|29|.586|22|26|.846|15|49|28|10|4|15|23||27|72|.375|10|25|.400|21|30|.700|8|27|10|10|6|15|24
6|6|2014-11-26|N|Purdue|L (1 OT)|85|87|27|62|.435|7|21|.333|24|32|.750|8|30|14|9|7|11|30||27|59|.458|5|17|.294|28|36|.778|9|31|14|6|8|16|23
7|7|2014-11-29||Eastern Kentucky|W|90|76|32|55|.582|15|28|.536|11|15|.733|10|31|24|8|0|19|19||24|49|.490|9|24|.375|19|23|.826|5|19|13|8|4|17|20
8|8|2014-12-02|@|Utah State|W|91|81|26|66|.394|5|25|.200|34|39|.872|15|42|13|9|1|6|19||26|57|.456|8|16|.500|21|30|.700|7|31|13|4|2|13|26
9|9|2014-12-06|N|Hawaii|W|90|70|29|60|.483|9|24|.375|23|27|.852|12|47|23|8|3|19|21||25|66|.379|5|18|.278|15|20|.750|8|27|16|13|2|12|20
10|10|2014-12-10||Utah|L|61|65|24|65|.369|7|20|.350|6|10|.600|8|27|12|8|3|7|21||22|48|.458|2|14|.143|19|30|.633|7|38|9|5|6|15|14
