ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14|@|Connecticut|L|53|66|19|56|.339|7|21|.333|8|12|.667|4|24|7|4|2|10|15||25|54|.463|6|19|.316|10|11|.909|5|37|12|5|6|10|13
2|2|2014-11-20||New Hampshire|W|72|63|25|52|.481|8|21|.381|14|18|.778|6|29|12|3|4|12|16||23|59|.390|10|23|.435|7|9|.778|8|28|13|6|3|13|17
3|3|2014-11-26|@|Vermont|L|47|73|16|55|.291|7|27|.259|8|15|.533|7|22|7|6|1|16|25||23|39|.590|3|11|.273|24|36|.667|7|37|12|11|7|18|17
4|4|2014-11-30|@|Akron|L|66|72|21|60|.350|13|28|.464|11|15|.733|7|28|12|8|0|8|19||24|52|.462|9|23|.391|15|23|.652|9|37|13|4|5|13|13
5|5|2014-12-03||Yale|L|60|67|23|55|.418|10|25|.400|4|6|.667|7|25|12|5|1|12|22||23|50|.460|5|16|.313|16|26|.615|12|35|15|6|5|10|10
6|6|2014-12-06|@|Brown|L|62|69|21|64|.328|7|29|.241|13|17|.765|10|27|10|7|7|8|23||21|52|.404|3|13|.231|24|31|.774|12|40|7|4|8|13|17
7|7|2014-12-09|@|Army|W|80|73|28|56|.500|8|18|.444|16|23|.696|11|28|10|9|4|13|20||27|53|.509|4|17|.235|15|22|.682|9|26|10|6|4|13|20
8|8|2014-12-21|@|Denver|W|48|46|16|40|.400|8|18|.444|8|14|.571|5|28|7|5|3|19|20||13|37|.351|1|13|.077|19|19|1.000|1|19|8|8|3|14|19
9|9|2014-12-31||Dartmouth|L|59|76|20|57|.351|5|22|.227|14|16|.875|7|26|9|4|1|9|22||24|55|.436|7|18|.389|21|29|.724|13|40|18|4|2|8|16
10|10|2015-01-03|@|Long Island University|W|67|63|26|62|.419|3|17|.176|12|16|.750|10|40|11|4|1|11|18||21|69|.304|6|25|.240|15|20|.750|16|40|11|6|1|6|17
11|11|2015-01-05|@|St. Francis (NY)|L|47|63|17|53|.321|3|16|.188|10|15|.667|7|24|8|6|1|9|17||23|50|.460|6|20|.300|11|14|.786|9|36|10|4|7|14|14
12|12|2015-01-08||Saint Francis (PA)|W|80|54|33|58|.569|10|21|.476|4|5|.800|10|36|18|3|3|10|15||18|52|.346|7|21|.333|11|20|.550|10|23|7|5|1|7|8
13|13|2015-01-10||Fairleigh Dickinson|W|73|60|20|51|.392|6|20|.300|27|38|.711|13|39|11|8|2|17|20||18|55|.327|4|22|.182|20|29|.690|12|31|9|8|2|17|27
14|14|2015-01-15||Wagner|W|81|73|25|49|.510|4|16|.250|27|36|.750|1|29|12|9|4|12|27||24|63|.381|8|20|.400|17|28|.607|13|34|13|5|2|13|24
15|15|2015-01-17|@|Central Connecticut State|W|70|54|27|50|.540|5|20|.250|11|15|.733|5|27|14|6|2|9|12||21|45|.467|4|15|.267|8|13|.615|4|20|16|7|4|14|12
16|16|2015-01-20||Harvard|L|57|66|17|52|.327|8|22|.364|15|20|.750|8|24|7|3|1|11|17||23|55|.418|3|10|.300|17|20|.850|7|28|12|8|3|8|16
17|17|2015-01-22||Long Island University|W|74|69|23|56|.411|11|29|.379|17|22|.773|13|35|14|2|4|9|16||25|55|.455|7|18|.389|12|17|.706|5|28|13|6|1|7|21
18|18|2015-01-24||Sacred Heart|L|66|83|26|68|.382|7|19|.368|7|11|.636|12|28|14|3|3|1|15||33|59|.559|8|15|.533|9|15|.600|11|37|15|0|8|4|14
19|19|2015-01-29|@|Saint Francis (PA)|L|68|75|19|57|.333|9|25|.360|21|24|.875|14|36|12|5|1|10|18||27|48|.563|8|22|.364|13|19|.684|2|25|13|7|2|10|19
20|20|2015-01-31|@|Robert Morris|W|71|68|27|50|.540|6|16|.375|11|12|.917|8|26|16|2|1|14|15||23|60|.383|9|26|.346|13|14|.929|15|30|14|10|2|10|11
21|21|2015-02-02|@|Pittsburgh|L|67|72|26|51|.510|6|14|.429|9|13|.692|2|25|18|5|2|14|13||27|59|.458|6|15|.400|12|19|.632|8|27|22|8|4|6|14
22|22|2015-02-05||Mount St. Mary's|W|55|53|20|48|.417|5|15|.333|10|12|.833|8|32|13|4|2|10|14||19|53|.358|10|27|.370|5|6|.833|8|25|15|5|2|5|13
23|23|2015-02-07|@|Sacred Heart|L (1 OT)|75|84|26|60|.433|9|27|.333|14|20|.700|8|34|14|7|3|14|22||30|64|.469|6|22|.273|18|27|.667|11|38|15|5|4|13|16
24|24|2015-02-12|@|Fairleigh Dickinson|W|74|71|24|44|.545|10|24|.417|16|24|.667|4|28|14|3|1|14|18||21|55|.382|6|28|.214|23|24|.958|6|24|9|10|3|5|19
25|25|2015-02-14|@|Mount St. Mary's|L|68|75|28|52|.538|8|17|.471|4|7|.571|6|24|14|2|1|12|19||26|56|.464|9|23|.391|14|20|.700|12|29|13|7|4|8|15
