ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14||Chapman|W|87|36|35|52|.673|8|15|.533|9|12|.750|3|31|22|10|11|8|19||12|50|.240|3|10|.300|9|18|.500|15|30|4|2|2|19|16
2|2|2014-11-16||Pacific|W|68|50|24|50|.480|5|16|.313|15|17|.882|11|32|13|4|5|13|20||16|47|.340|8|24|.333|10|20|.500|9|24|10|4|2|15|17
3|3|2014-11-19|@|Arizona|L|54|71|20|54|.370|5|15|.333|9|13|.692|7|24|12|4|1|15|24||19|48|.396|4|14|.286|29|34|.853|13|39|11|11|5|13|14
4|4|2014-11-23|@|Saint Mary's (CA)|L|69|72|24|55|.436|5|13|.385|16|21|.762|10|29|12|5|2|13|20||24|58|.414|4|16|.250|20|25|.800|15|37|12|7|2|13|19
5|5|2014-11-29|@|Loyola Marymount|W|80|72|31|58|.534|6|15|.400|12|20|.600|10|41|21|7|9|11|18||27|62|.435|8|20|.400|10|19|.526|7|31|15|5|4|9|21
6|6|2014-12-03|@|Fresno State|L|63|72|23|65|.354|6|20|.300|11|20|.550|14|37|11|7|6|16|24||24|56|.429|3|11|.273|21|32|.656|11|40|11|10|4|13|20
7|7|2014-12-06||Sacramento State|W|74|62|32|63|.508|4|21|.190|6|8|.750|13|34|15|6|7|11|16||21|51|.412|7|15|.467|13|16|.813|6|25|10|5|2|14|14
8|8|2014-12-13||Texas-Arlington|L|62|70|21|59|.356|4|24|.167|16|23|.696|13|33|13|12|4|12|17||24|49|.490|9|21|.429|13|17|.765|6|33|18|5|6|18|19
9|9|2014-12-16|@|Morgan State|L|62|63|23|42|.548|4|13|.308|12|18|.667|7|25|7|2|1|17|18||23|48|.479|3|10|.300|14|21|.667|7|17|10|5|0|7|19
10|10|2014-12-21|N|Bradley|W|55|47|18|44|.409|8|15|.533|11|18|.611|5|30|9|6|4|16|17||15|56|.268|3|13|.231|14|18|.778|16|39|5|6|4|13|23
11|11|2014-12-22|N|Green Bay|W|72|70|23|49|.469|10|16|.625|16|21|.762|6|27|15|7|4|15|20||24|59|.407|4|18|.222|18|30|.600|13|33|6|5|4|13|19
12|12|2014-12-29|@|Oregon|L (1 OT)|67|69|26|62|.419|6|20|.300|9|12|.750|4|26|12|10|3|10|15||27|63|.429|6|20|.300|9|13|.692|11|33|18|5|4|18|16
13|13|2014-12-31||Hampden-Sydney|W|82|53|37|56|.661|7|14|.500|1|3|.333|6|33|20|5|9|14|14||21|56|.375|8|17|.471|3|6|.500|4|14|14|6|2|9|14
14|14|2015-01-03|@|New Mexico State|L|67|70|26|51|.510|9|14|.643|6|10|.600|2|21|10|7|5|9|22||23|48|.479|6|10|.600|18|30|.600|12|36|7|3|2|12|9
15|15|2015-01-08||Long Beach State|L|82|88|30|56|.536|9|21|.429|13|18|.722|10|26|19|2|3|14|15||30|55|.545|12|24|.500|16|19|.842|8|25|12|7|3|12|17
16|16|2015-01-10||California-Riverside|W|69|55|28|51|.549|7|10|.700|6|12|.500|5|31|14|6|7|14|15||21|53|.396|6|18|.333|7|13|.538|6|25|12|10|2|13|17
17|17|2015-01-15|@|Cal State Fullerton|W|63|58|23|58|.397|4|12|.333|13|18|.722|8|30|15|7|3|10|16||21|50|.420|3|11|.273|13|22|.591|9|39|11|4|1|16|14
18|18|2015-01-22|@|Cal State Northridge|W|80|49|31|62|.500|8|19|.421|10|15|.667|10|37|15|7|5|7|17||16|54|.296|1|10|.100|16|23|.696|8|26|7|4|5|9|12
19|19|2015-01-24|@|Hawaii|W|78|72|28|54|.519|10|15|.667|12|18|.667|8|36|16|3|5|17|15||24|73|.329|9|27|.333|15|18|.833|18|36|11|11|6|9|19
20|20|2015-01-29||Cal Poly|W|67|57|27|58|.466|9|18|.500|4|5|.800|9|33|17|5|8|11|11||24|57|.421|3|9|.333|6|8|.750|3|24|7|5|3|9|12
21|21|2015-01-31||California-Santa Barbara|W|77|55|27|53|.509|11|22|.500|12|13|.923|7|35|19|10|3|12|19||19|52|.365|5|20|.250|12|21|.571|8|28|11|4|3|11|15
22|22|2015-02-05||California-Davis|L|56|75|17|56|.304|3|15|.200|19|27|.704|14|32|8|7|10|11|13||28|52|.538|7|10|.700|12|14|.857|3|25|13|7|3|14|22
23|23|2015-02-07|@|Long Beach State|W|56|55|21|53|.396|4|19|.211|10|13|.769|11|36|11|4|4|12|14||20|60|.333|6|18|.333|9|14|.643|11|30|8|7|2|6|13
24|24|2015-02-14|@|California-Riverside|L|63|70|21|53|.396|8|14|.571|13|16|.813|4|25|11|7|3|16|21||22|53|.415|5|11|.455|21|27|.778|11|39|11|12|2|10|13
25|25|2015-02-19||Hawaii|W|75|60|28|60|.467|10|18|.556|9|10|.900|9|38|22|4|10|7|20||20|65|.308|6|19|.316|14|22|.636|17|39|12|5|5|7|15
26|26|2015-02-21||Cal State Northridge|W|67|58|25|60|.417|8|22|.364|9|11|.818|12|34|12|6|0|6|15||19|44|.432|2|9|.222|18|22|.818|3|24|9|4|2|10|15
27|27|2015-02-26|@|Cal Poly|W|63|56|28|48|.583|4|11|.364|3|8|.375|4|27|16|5|5|8|13||19|56|.339|6|21|.286|12|16|.750|14|30|8|7|0|7|10
28|28|2015-02-28|@|California-Santa Barbara|L|51|54|22|51|.431|2|10|.200|5|15|.333|8|34|14|3|1|11|16||20|50|.400|5|15|.333|9|13|.692|7|29|14|4|4|8|18
