ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-18||Youngstown State|W|75|63|25|64|.391|6|26|.231|19|25|.760|12|48|13|4|7|12|21||21|57|.368|8|29|.276|13|23|.565|2|26|9|3|2|9|22
2|2|2014-11-21||Maine|W|76|48|29|49|.592|13|26|.500|5|13|.385|6|33|20|4|1|16|17||20|54|.370|3|18|.167|5|13|.385|7|23|7|6|1|13|14
3|3|2014-11-23||Arkansas-Pine Bluff|W|75|43|20|46|.435|15|33|.455|20|23|.870|7|30|16|9|2|17|17||17|52|.327|1|13|.077|8|11|.727|11|23|4|11|4|16|22
4|4|2014-11-29||Grand Canyon|W|79|77|27|59|.458|8|25|.320|17|22|.773|7|24|9|6|1|4|19||27|47|.574|9|22|.409|14|20|.700|7|24|9|1|1|15|24
5|5|2014-12-02|@|Bradley|L|73|84|21|48|.438|8|24|.333|23|30|.767|2|19|10|8|2|10|30||24|46|.522|8|20|.400|28|38|.737|10|41|10|4|2|16|25
6|6|2014-12-06||Southern Illinois-Edwardsville|W|94|61|28|55|.509|20|35|.571|18|22|.818|10|36|21|3|5|6|14||22|55|.400|5|16|.313|12|16|.750|4|23|10|4|2|9|21
7|7|2014-12-17|@|Northwestern|W|80|67|28|48|.583|10|18|.556|14|17|.824|7|27|15|5|2|13|14||26|62|.419|6|19|.316|9|11|.818|12|24|17|2|3|8|19
8|8|2014-12-19||Concordia (MI)|W|97|60|33|62|.532|8|28|.286|23|29|.793|12|44|15|11|7|10|10||20|61|.328|15|35|.429|5|9|.556|4|22|15|5|0|16|26
9|9|2014-12-22|@|McNeese State|W|87|58|32|64|.500|9|25|.360|14|21|.667|15|43|15|5|2|9|18||20|60|.333|7|24|.292|11|18|.611|13|30|8|4|4|10|19
10|10|2015-01-02||Central Pennsylvania College|W|125|80|48|84|.571|16|38|.421|13|17|.765|17|54|29|10|6|14|20||32|80|.400|2|12|.167|14|25|.560|13|32|10|11|0|17|18
11|11|2015-01-06|@|Toledo|W|65|62|26|65|.400|7|25|.280|6|8|.750|8|31|14|7|3|3|18||20|50|.400|7|18|.389|15|19|.789|8|38|12|1|4|13|13
12|12|2015-01-10|@|Ball State|L|65|83|22|49|.449|8|27|.296|13|20|.650|4|22|10|7|1|12|19||30|54|.556|9|18|.500|14|19|.737|10|35|17|6|3|11|21
13|13|2015-01-14||Miami (OH)|W|105|77|35|51|.686|19|27|.704|16|23|.696|5|22|22|3|3|8|17||27|50|.540|7|15|.467|16|21|.762|5|17|15|4|1|8|20
14|14|2015-01-17|@|Akron|L|76|82|22|53|.415|6|18|.333|26|33|.788|5|27|9|8|0|12|20||27|60|.450|14|35|.400|14|29|.483|12|35|14|4|6|14|25
15|15|2015-01-21||Buffalo|W|84|73|30|56|.536|16|29|.552|8|15|.533|7|34|18|4|2|12|17||29|61|.475|7|21|.333|8|17|.471|6|27|14|6|2|9|18
16|16|2015-01-24||Eastern Michigan|W|65|51|19|52|.365|10|29|.345|17|25|.680|11|40|15|5|3|12|16||18|59|.305|6|26|.231|9|14|.643|9|35|2|8|1|10|19
17|17|2015-01-27|@|Kent State|L|53|63|19|56|.339|4|23|.174|11|19|.579|4|19|7|11|3|8|24||18|40|.450|6|16|.375|21|33|.636|7|38|9|3|6|18|18
18|18|2015-01-31||Ohio|W|74|69|26|56|.464|11|31|.355|11|19|.579|8|27|12|9|0|8|14||24|51|.471|5|18|.278|16|19|.842|8|31|6|4|3|15|17
19|19|2015-02-04||Bowling Green State|L (1 OT)|74|76|27|66|.409|6|30|.200|14|19|.737|11|32|10|10|0|16|17||28|53|.528|8|19|.421|12|16|.750|5|31|15|9|3|24|17
20|20|2015-02-07||Western Michigan|W|70|65|23|53|.434|10|29|.345|14|19|.737|5|26|12|7|1|7|13||28|58|.483|4|16|.250|5|9|.556|10|36|12|5|1|12|18
21|21|2015-02-10|@|Ohio|W|68|57|22|56|.393|6|28|.214|18|23|.783|12|35|11|10|1|9|15||20|50|.400|6|19|.316|11|13|.846|7|28|11|3|4|14|18
22|22|2015-02-14|@|Buffalo|W|75|74|26|52|.500|6|18|.333|17|24|.708|11|28|8|9|4|14|22||25|57|.439|6|22|.273|18|24|.750|17|35|15|7|3|13|21
23|23|2015-02-18||Northern Illinois|W|68|66|21|46|.457|13|31|.419|13|20|.650|6|23|16|9|1|14|19||23|52|.442|7|16|.438|13|20|.650|10|30|7|5|0|16|21
