ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14|@|Arizona State|L|50|86|17|53|.321|3|20|.150|13|23|.565|12|28|7|5|3|17|30||30|49|.612|7|16|.438|19|34|.559|8|33|17|7|4|11|22
2|2|2014-11-16|@|Creighton|L|66|84|25|55|.455|10|23|.435|6|10|.600|6|29|9|10|1|19|21||26|58|.448|10|30|.333|22|27|.815|9|33|18|8|3|17|16
3|3|2014-11-18||Indiana-Northwest|W|102|49|43|70|.614|5|15|.333|11|19|.579|13|41|20|22|4|13|8||21|56|.375|6|15|.400|1|6|.167|5|23|8|7|4|28|17
4|4|2014-11-22||Trinity Christian|W|75|52|22|61|.361|8|29|.276|23|37|.622|18|43|10|11|4|13|17||18|52|.346|10|27|.370|6|10|.600|8|33|12|4|2|25|28
5|5|2014-11-24|N|Georgia State|L|46|69|14|48|.292|5|21|.238|13|18|.722|10|30|7|6|0|22|25||20|41|.488|5|13|.385|24|33|.727|3|26|13|13|5|13|20
6|6|2014-11-25|@|Oakland|L|57|70|20|57|.351|8|25|.320|9|16|.563|10|36|11|6|5|12|24||23|51|.451|7|17|.412|17|28|.607|6|33|12|4|4|10|12
7|7|2014-11-26|N|Western Carolina|L|61|66|22|61|.361|6|24|.250|11|19|.579|17|38|12|10|4|17|23||21|41|.512|5|14|.357|19|31|.613|5|28|13|12|8|16|19
8|8|2014-11-29|@|Notre Dame|L|42|90|17|55|.309|5|23|.217|3|4|.750|7|25|7|7|2|15|20||31|53|.585|14|25|.560|14|22|.636|6|35|22|9|3|10|8
9|9|2014-12-04||DePaul|L|60|84|21|57|.368|6|18|.333|12|25|.480|10|21|8|14|2|16|28||22|42|.524|8|18|.444|32|41|.780|7|33|9|9|3|22|23
10|10|2014-12-06|@|Toledo|L|59|87|22|56|.393|5|22|.227|10|21|.476|10|23|6|13|0|22|22||31|51|.608|9|18|.500|16|19|.842|7|34|22|10|1|26|24
11|11|2014-12-14|@|Southern Illinois|L|50|65|13|43|.302|4|14|.286|20|24|.833|8|28|5|9|4|21|28||18|43|.419|3|9|.333|26|36|.722|10|28|6|13|2|19|20
12|12|2014-12-17|@|Western Kentucky|L|60|75|23|57|.404|8|23|.348|6|9|.667|13|30|8|6|3|13|22||23|47|.489|11|23|.478|18|25|.720|8|25|13|5|7|8|12
13|13|2014-12-20||Saint Joseph's (IN)|W|76|54|25|63|.397|5|17|.294|21|37|.568|13|36|9|12|2|12|12||22|57|.386|6|23|.261|4|7|.571|9|40|9|6|2|29|24
14|14|2014-12-22|@|Southern Illinois-Edwardsville|L|38|63|16|53|.302|5|20|.250|1|5|.200|7|32|11|9|3|25|26||18|47|.383|8|17|.471|19|35|.543|8|35|13|11|5|18|13
15|15|2014-12-29||Nebraska-Omaha|W|69|66|22|49|.449|8|16|.500|17|22|.773|4|29|12|5|3|18|28||19|53|.358|8|26|.308|20|38|.526|14|38|14|11|4|15|22
16|16|2014-12-31|@|Green Bay|L|50|54|20|61|.328|6|21|.286|4|5|.800|17|35|11|7|4|10|23||19|51|.373|3|14|.214|13|29|.448|14|36|8|3|4|11|10
17|17|2015-01-03|@|Bowling Green State|L|35|58|16|53|.302|2|13|.154|1|4|.250|12|34|4|4|2|9|19||19|49|.388|11|32|.344|9|14|.643|11|34|14|3|5|7|10
18|18|2015-01-10|@|Texas-Pan American|L|59|64|21|55|.382|5|18|.278|12|15|.800|16|33|11|3|2|14|24||18|41|.439|2|12|.167|26|32|.813|9|22|16|11|4|8|15
19|19|2015-01-17|@|Missouri-Kansas City|L|62|64|23|61|.377|7|26|.269|9|13|.692|17|36|8|11|11|17|24||18|57|.316|9|22|.409|19|28|.679|15|32|13|7|3|16|14
20|20|2015-01-22||Seattle|L|67|75|24|58|.414|12|33|.364|7|7|1.000|11|23|13|4|1|10|24||20|36|.556|10|19|.526|25|32|.781|5|24|11|6|0|13|12
21|21|2015-01-24||Cal State Bakersfield|L|41|57|12|45|.267|4|18|.222|13|18|.722|8|25|5|6|3|11|22||19|51|.373|3|16|.188|16|17|.941|11|39|8|6|1|12|14
22|22|2015-01-29|@|Utah Valley|L|62|78|22|61|.361|4|16|.250|14|17|.824|10|29|9|5|6|6|24||23|52|.442|9|20|.450|23|34|.676|14|42|16|2|5|9|18
23|23|2015-01-31|@|Grand Canyon|W|56|55|21|48|.438|4|10|.400|10|15|.667|9|31|7|3|2|10|15||20|51|.392|7|23|.304|8|11|.727|6|22|8|6|2|8|16
24|24|2015-02-05||New Mexico State|L (1 OT)|61|69|26|60|.433|4|16|.250|5|7|.714|10|26|15|12|2|16|17||25|48|.521|6|15|.400|13|22|.591|11|33|13|5|3|20|13
25|25|2015-02-07||Texas-Pan American|W|78|73|25|51|.490|9|15|.600|19|21|.905|11|37|10|5|3|15|26||24|55|.436|8|24|.333|17|28|.607|7|24|16|7|3|8|22
26|26|2015-02-14||Missouri-Kansas City|L|50|61|16|40|.400|4|16|.250|14|19|.737|6|25|7|5|1|13|23||19|45|.422|6|16|.375|17|22|.773|7|24|11|8|4|11|16
27|27|2015-02-19|@|Cal State Bakersfield|L|51|64|19|52|.365|10|23|.435|3|5|.600|8|24|13|9|2|11|12||23|46|.500|11|20|.550|7|10|.700|9|32|15|3|3|13|14
28|28|2015-02-21|@|Seattle|L|31|57|10|48|.208|5|25|.200|6|11|.545|12|25|4|6|1|18|18||21|38|.553|4|12|.333|11|15|.733|3|27|13|9|1|13|13
29|29|2015-02-26||Grand Canyon|W|74|70|26|62|.419|8|19|.421|14|18|.778|11|29|11|7|8|6|16||24|56|.429|9|23|.391|13|15|.867|9|32|13|4|6|11|19
30|30|2015-02-28||Utah Valley|W|65|44|20|53|.377|5|19|.263|20|24|.833|11|34|10|14|1|11|17||17|52|.327|4|21|.190|6|10|.600|11|26|10|5|3|20|17
31|31|2015-03-07|@|New Mexico State|L|57|61|21|54|.389|8|19|.421|7|11|.636|11|19|9|8|1|14|16||22|44|.500|3|6|.500|14|21|.667|10|32|9|6|6|23|8
32|32|2015-03-12|N|Seattle|L|45|49|15|47|.319|6|27|.222|9|15|.600|7|21|6|14|3|15|26||12|28|.429|2|9|.222|23|34|.676|5|29|8|9|0|20|15
