ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14|@|Furman|W|75|40|31|59|.525|11|21|.524|2|4|.500|7|34|20|8|4|7|27||10|41|.244|2|12|.167|18|35|.514|11|31|2|0|1|16|13
2|2|2014-11-17||Gardner-Webb|L|67|80|23|59|.390|7|23|.304|14|21|.667|8|37|8|5|2|11|27||27|63|.429|7|18|.389|19|32|.594|11|40|12|3|0|11|22
3|3|2014-11-20|N|Connecticut|L|57|65|20|46|.435|7|15|.467|10|15|.667|4|23|9|6|3|13|24||21|47|.447|6|16|.375|17|27|.630|4|25|13|3|1|13|17
4|4|2014-11-21|N|Texas A&M|L|50|59|18|49|.367|6|19|.316|8|12|.667|7|26|7|4|2|17|20||18|49|.367|3|16|.188|20|24|.833|9|32|9|8|2|12|16
5|5|2014-11-23|N|George Mason|W|61|60|22|51|.431|6|19|.316|11|19|.579|7|22|20|7|1|14|19||23|54|.426|2|7|.286|12|16|.750|11|33|11|4|5|17|19
6|6|2014-11-29|@|West Virginia|L|57|86|21|44|.477|7|17|.412|8|16|.500|5|24|14|3|3|18|23||30|66|.455|6|20|.300|20|26|.769|19|39|19|12|5|7|19
7|7|2014-12-02||Citadel|W|59|55|21|47|.447|2|12|.167|15|19|.789|6|25|9|10|4|10|18||18|46|.391|9|16|.563|10|13|.769|8|30|11|2|3|17|16
8|8|2014-12-11||South Carolina State|W|50|47|16|52|.308|6|18|.333|12|17|.706|10|32|10|10|3|10|14||17|51|.333|4|14|.286|9|13|.692|12|34|8|5|7|16|15
9|9|2014-12-14||Campbell|W|58|47|20|48|.417|6|19|.316|12|16|.750|10|38|10|2|2|14|16||18|56|.321|4|22|.182|7|13|.538|12|30|6|6|3|10|19
10|10|2014-12-16|@|Charlotte|L (1 OT)|85|90|33|64|.516|16|26|.615|3|5|.600|6|29|16|2|2|16|22||32|61|.525|10|17|.588|16|31|.516|13|36|19|8|4|9|8
11|11|2014-12-20||Davidson|L|68|80|23|53|.434|4|17|.235|18|27|.667|3|27|5|8|5|13|18||31|69|.449|8|24|.333|10|16|.625|12|42|12|5|6|11|22
12|12|2014-12-22|@|Louisiana State|L|47|71|18|64|.281|3|11|.273|8|12|.667|11|31|9|14|1|17|21||22|46|.478|6|13|.462|21|29|.724|7|41|17|8|11|21|16
13|13|2014-12-30|@|Miami (FL)|L|40|67|16|54|.296|2|14|.143|6|9|.667|7|32|7|2|3|13|25||23|51|.451|7|20|.350|14|27|.519|7|33|18|2|2|7|15
14|14|2015-01-03|@|William & Mary|L|45|75|18|51|.353|4|16|.250|5|10|.500|3|23|11|6|2|10|16||32|58|.552|6|15|.400|5|9|.556|9|40|14|7|6|10|14
