ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14||Drexel|W|65|48|22|52|.423|4|13|.308|17|24|.708|7|42|10|6|3|13|16||16|55|.291|7|29|.241|9|14|.643|6|29|7|5|5|12|23
2|2|2014-11-18||Auburn|W|90|59|31|53|.585|5|14|.357|23|29|.793|8|44|15|6|6|12|20||20|69|.290|5|27|.185|14|20|.700|11|27|7|6|1|9|23
3|3|2014-11-22|@|Wyoming|L|33|56|12|43|.279|4|15|.267|5|8|.625|5|25|6|3|0|10|13||22|42|.524|9|22|.409|3|6|.500|0|23|22|9|5|8|13
4|4|2014-11-25||Air Force|W|68|53|21|48|.438|7|16|.438|19|24|.792|10|37|13|7|7|15|22||18|55|.327|4|20|.200|13|20|.650|8|23|11|10|4|10|20
5|5|2014-11-30||Lipscomb|W|84|75|27|49|.551|6|16|.375|24|34|.706|9|39|20|4|9|13|14||26|65|.400|13|33|.394|10|12|.833|7|19|14|7|2|8|28
6|6|2014-12-03||San Francisco|W|72|55|27|53|.509|9|18|.500|9|14|.643|8|22|15|5|4|8|9||24|51|.471|7|20|.350|0|3|.000|9|27|16|4|2|17|15
7|7|2014-12-07|@|Georgia|L|57|64|21|59|.356|2|17|.118|13|18|.722|13|32|6|9|6|13|19||21|44|.477|7|16|.438|15|23|.652|8|31|8|5|3|14|17
8|8|2014-12-10||Colorado State|L|60|62|21|52|.404|5|9|.556|13|20|.650|10|35|6|3|3|14|22||21|46|.457|6|20|.300|14|26|.538|5|24|6|8|5|9|21
9|9|2014-12-13||Northern Colorado|W|93|68|31|49|.633|12|18|.667|19|23|.826|10|35|21|4|6|11|17||24|61|.393|10|18|.556|10|13|.769|13|23|10|5|1|8|21
10|10|2014-12-22|N|DePaul|W|82|68|24|53|.453|3|13|.231|31|38|.816|7|33|12|10|3|12|14||21|63|.333|6|27|.222|20|22|.909|12|35|8|8|2|18|24
11|11|2014-12-23|N|George Washington|L|50|53|19|52|.365|1|12|.083|11|17|.647|12|29|5|5|1|14|18||17|44|.386|1|8|.125|18|25|.720|13|31|6|8|2|13|17
12|12|2014-12-25|@|Hawaii|L|66|69|20|48|.417|5|17|.294|21|30|.700|9|34|10|3|5|14|14||27|60|.450|9|18|.500|6|14|.429|9|27|15|9|6|9|23
13|13|2015-01-02||UCLA|W|62|56|18|48|.375|5|10|.500|21|25|.840|5|39|12|9|8|18|14||22|70|.314|6|26|.231|6|10|.600|11|32|9|10|7|13|22
14|14|2015-01-04||Southern California|W|86|65|32|58|.552|7|15|.467|15|19|.789|9|33|22|10|4|10|16||28|64|.438|4|20|.200|5|11|.455|14|32|10|5|3|13|14
